,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MSIN,EQUITY,11444400000.0,3300,4000000,1175077000,5400000,0,314494330,114156870,59590500,0,0,1672718700,0,1565051800,0,2929200,177700,1133800,4387500,0,914001300,2487681300
1,2022-02-25,MSIN,EQUITY,11444400000.0,5850,4000000,1293063900,15565000,0,350128830,97217970,59479600,0,0,1819455300,0,1376062800,0,82787600,177700,1145600,5217600,0,875553400,2340944700
2,2022-03-31,MSIN,EQUITY,11444400000.0,5525,4000000,1447436000,15565000,0,362788330,66470970,59479600,0,0,1955739900,0,1235774000,0,81620800,160200,2157400,5934400,0,879013300,2204660100
3,2022-04-28,MSIN,EQUITY,11444400000.0,5650,4000000,1444431000,15565000,0,369546630,69048270,62986600,0,0,1965577500,0,1206329900,0,81025500,156200,2210300,5415800,0,899684800,2194822500
4,2022-05-31,MSIN,EQUITY,11444400000.0,5275,4000000,1444431000,15565000,0,376761130,69033170,66491300,0,0,1976281600,0,1194628900,0,80417400,155200,2210300,5430500,0,901276100,2184118400
5,2022-06-30,MSIN,EQUITY,11444400000.0,4940,4000000,1490464900,15565000,0,386699830,69000270,66491300,0,0,2032221300,0,1145192500,0,79542500,150300,1328200,5021100,0,896944100,2128178700
6,2022-07-29,MSIN,EQUITY,11444400000.0,5775,4000000,1793421200,13650000,0,397333430,70710370,66491300,0,0,2345606300,0,840778600,0,80625300,101000,1328200,4677800,0,887282800,1814793700
7,2022-08-31,MSIN,EQUITY,11444400000.0,5725,4000000,2138252700,14700000,0,395958230,69130370,68459378,0,0,2690500678,0,467030700,0,90908600,110100,1328200,5680822,0,904840900,1469899322
8,2022-09-30,MSIN,EQUITY,11444400000.0,4910,4000000,2197010600,14700000,0,426399130,67078170,68459643,0,0,2777647543,3356500,380876400,14984078,75976600,108100,26140879,24582700,189800,856537400,1382752457
9,2022-10-31,MSIN,EQUITY,11444400000.0,5025,4000000,2215156300,14700000,0,427443030,66964670,68459559,0,0,2796723559,3159300,380783600,14984078,76110800,101100,28092263,24669700,1239900,834535700,1363676441
10,2022-11-30,MSIN,EQUITY,11444400000.0,4990,4000000,2338552100,14700000,0,431935830,66380770,68459559,0,0,2924028259,3375600,380986400,14997778,76207812,101100,28269915,24845200,1239900,706348036,1236371741
11,2022-12-30,MSIN,EQUITY,11444400000.0,4820,4000000,2349360100,18450000,0,276024600,63300370,94007559,0,128204430,2933347059,3375600,379010600,15182178,76011933,91100,28976634,24845200,1349400,698210296,1227052941
12,2023-01-31,MSIN,EQUITY,11444400000.0,4530,3984000,2361360100,18450000,0,276949200,61163770,93642559,0,128175930,2943725559,3375600,380161200,15135678,75676033,90900,29135534,24920600,1349400,686829496,1216674441
13,2023-02-28,MSIN,EQUITY,11971970539.0,4460,3984000,2928249916,18450000,0,269132823,60632270,104271359,0,128175930,3512896298,3375600,366090200,14929378,75922833,91100,29266834,24923400,1383400,659091496,1175074241
14,2023-03-31,MSIN,EQUITY,12135235641.0,4070,3984000,3154551813,18450000,0,269725923,60114770,129049059,0,128173330,3764048895,3093400,365525800,13993278,76559933,92100,28508735,24888299,1383400,573141801,1087186746
15,2023-04-28,MSIN,EQUITY,12135235641.0,4030,3984000,3300587013,18450000,0,284914123,60010770,129049083,0,128172330,3925167319,3093400,198027900,13935078,76312833,91100,28563811,24857299,1383400,579803501,926068322
16,2023-05-31,MSIN,EQUITY,12135235641.0,3990,3984000,3385026389,18450000,0,285442023,59894770,129049083,0,128172330,4010018595,3281100,194689800,14013178,76311772,91100,28758072,24810199,1383400,497878425,841217046
17,2023-06-27,MSIN,EQUITY,12135235641.0,3940,3984000,3407517589,18450000,0,289538223,59608770,143684983,0,128172330,4050955895,3281100,181333900,14013178,76038082,91100,28725878,24652999,1383400,470760109,800279746
18,2023-07-31,MSIN,EQUITY,12135235641.0,3780,3984000,3241782589,18450000,0,297532523,59584870,109504783,0,128172330,3859011095,3034500,338419600,13972678,76128882,91100,28709678,24621199,1474600,505772309,992224546
19,2023-08-31,MSIN,EQUITY,12135235641.0,3690,3984000,3241754089,18450000,0,301917623,59467570,112229283,0,128172330,3865974895,3034500,337803100,13747478,76107396,91100,29053698,24333699,1474600,499615175,985260746
20,2023-09-29,MSIN,EQUITY,12135235641.0,3000,3984000,3261953689,18450000,0,339720423,34744870,131088122,0,128172330,3918113434,0,331751500,6412778,96487896,91100,16232398,17084200,1015700,464046635,933122207
21,2023-10-31,MSIN,EQUITY,12135235641.0,3010,3984000,3345819311,18450000,0,344639523,34744870,131108122,0,128172330,4006918156,0,252870778,6123078,95616396,90900,15983398,16855400,34000,456743535,844317485
22,2023-11-30,MSIN,EQUITY,12135235641.0,3000,3984000,3484816311,18450000,0,346800823,34744870,133026722,0,128172330,4149995056,0,252821481,6086769,95310196,90900,15923766,16687638,34000,314285835,701240585
23,2023-12-29,MSIN,EQUITY,12135235641.0,3000,3984000,3564405311,18450000,0,455294853,34744870,135769185,0,0,4212648219,0,251032190,6043724,94803291,90900,15885409,16521073,34000,254176835,638587422
24,2024-01-31,MSIN,EQUITY,12135235641.0,2990,3984000,3472294330,18450000,0,449448253,34744870,135769225,0,0,4114690678,0,242296620,5964654,93776051,310900,20579418,11863304,34000,361720016,736544963
25,2024-02-29,MSIN,EQUITY,12135235641.0,2900,3984000,3472294330,18450000,0,337018523,34744870,138075465,0,0,4004567188,0,356074650,5855254,91065211,258100,20349018,11569404,34000,361462816,846668453
26,2024-03-28,MSIN,EQUITY,12135235641.0,2900,3984000,3472294330,18450000,0,337368923,34744870,140902065,0,0,4007744188,0,344515650,5840754,90297211,228000,20691318,11541204,34000,370343316,843491453
27,2024-04-30,MSIN,EQUITY,12135235641.0,2900,3984000,3557035130,18450000,0,337389723,34744870,140902093,0,0,4092505816,0,316225450,5813754,89542683,180000,20597918,11488404,34000,314847616,758729825
28,2024-05-31,MSIN,EQUITY,12135235641.0,2840,3984000,3729017130,18590000,0,359812023,34591870,140902093,0,0,4286897116,0,236685499,5771634,88289683,139100,20536942,11405451,34000,201476216,564338525
29,2024-06-28,MSIN,EQUITY,12135235641.0,2760,3984000,2855904630,18590000,0,378710323,33854070,901641969,0,0,4192684992,0,321704839,5754434,87979483,91900,19804866,11371651,34000,211809476,658550649
30,2024-07-31,MSIN,EQUITY,12135235641.0,2780,0,3691775119,18590000,0,383855623,33745770,1159006096,0,0,5286972608,0,236396734,5700234,218463556,91900,19194666,11264651,34000,286640792,777786533
31,2024-08-30,MSIN,EQUITY,12135235641.0,7650,0,3487846756,18561300,0,395128623,12449070,1176492396,0,0,5090478145,0,444761057,5393044,218119756,91900,18557011,10658636,34000,276665592,974280996
32,2024-09-30,MSIN,EQUITY,12135235641.0,6775,0,3126946531,18911300,0,384401423,12099070,1160968696,3300,0,4703330320,0,840864382,5215644,217472156,92500,17101711,10308236,34000,270340192,1361428821
33,2024-10-31,MSIN,EQUITY,60676178205.0,1300,0,15602011655,199333350,0,1802486315,59572000,5862089980,16500,0,23525509800,0,3562626556,25188469,1134524080,462500,83632710,49818780,170000,1941862810,6798285905
34,2024-11-29,MSIN,EQUITY,60676178205.0,975,0,15570909255,259345550,0,1757429415,59572000,5872293480,16500,0,23519566200,0,3639394517,23013840,1132234780,462500,79051786,45526472,170000,1884375610,6804229505
35,2024-12-30,MSIN,EQUITY,60676178205.0,840,234000000,15564285855,129269150,0,1675143915,38473600,6506518180,16500,0,24147707200,0,3065502717,21484240,1143051180,8162500,75639786,42947672,170000,1819130410,6176088505
