,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-11-30,MSTI,EQUITY,3138823600.0,1370,101548200,2916500,21099600,0,114386100,115617900,0,937700,0,356506000,0,7991100,0,528900,181700,16800000,0,0,88815900,114317600
1,2023-12-29,MSTI,EQUITY,3138823600.0,1400,101321800,1410500,21651200,0,120070600,117659000,0,937700,0,363050800,0,6014900,0,390000,157500,16800000,0,0,84410400,107772800
2,2024-01-31,MSTI,EQUITY,3138823600.0,1330,101345900,432000,22008900,0,127621900,110606100,0,937700,0,362952500,0,5961100,0,107500,156000,17236100,0,0,84410400,107871100
3,2024-02-29,MSTI,EQUITY,3138823600.0,1335,99631200,417500,20492700,0,138649600,101348500,0,937700,0,361477200,0,5961100,0,357000,155200,18462700,0,0,84410400,109346400
4,2024-03-28,MSTI,EQUITY,3138823600.0,1420,98803900,417500,19758300,0,147218400,94413100,0,937700,0,361548900,0,5961100,0,334500,106000,18462700,0,0,84410400,109274700
5,2024-04-30,MSTI,EQUITY,3138823600.0,1490,137617300,1094300,24403900,0,55662300,120695500,0,1163400,0,340636700,0,5961100,0,1037300,105000,20815300,0,0,102268200,130186900
6,2024-05-31,MSTI,EQUITY,3138823600.0,1530,140384600,1200200,26516400,0,57497800,119092600,0,1313700,0,346005300,0,5961100,0,4334300,93300,25425600,0,0,89004000,124818300
7,2024-06-28,MSTI,EQUITY,3138823600.0,1445,141759200,1139800,27184800,0,57194200,118425800,0,1648800,0,347352600,0,5966000,316600,4597900,93300,25425600,67600,0,87004000,123471000
8,2024-07-31,MSTI,EQUITY,3138823600.0,1495,143172800,1232400,26094000,0,55161300,123615100,0,1839800,0,351115400,0,0,316600,5840600,92500,26454500,0,0,87004000,119708200
9,2024-08-30,MSTI,EQUITY,3138823600.0,1600,145626900,956300,27565400,0,46048700,128335100,0,2018800,0,350551200,0,109400,316600,6944000,263200,26851600,300,0,85787300,120272400
10,2024-09-30,MSTI,EQUITY,3138823600.0,1580,150116400,1335900,28182700,0,54576000,115246000,0,1626400,0,351083400,0,52700,316600,7731600,263200,27186700,38400,0,84151000,119740200
11,2024-10-31,MSTI,EQUITY,3138823600.0,1640,147480700,1358100,28961600,0,57430600,117011900,0,1626400,0,353869300,0,700,316600,5911400,255200,27926700,6900,0,82536800,116954300
12,2024-11-29,MSTI,EQUITY,3138878900.0,1555,154099700,1380300,28961600,0,58913000,112009500,0,1626400,0,356990500,0,0,316600,5152400,254400,27926700,3900,0,80234400,113888400
13,2024-12-30,MSTI,EQUITY,3139416200.0,1685,155350800,1063300,28920600,0,57718400,111817100,0,1626400,0,356496600,0,0,316600,6758500,254300,27926700,3900,0,79659600,114919600
