,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,86000000000,142000000000,11000000000,157000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,86000000000,142000000000,11000000000,157000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,86000000000,142000000000,11000000000,157000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,98000000000,142000000000,11000000000,145000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,98000000000,142000000000,11000000000,145000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,98000000000,142000000000,11000000000,145000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104500000000,0,93000000000,142000000000,11000000000,149500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104500000000,0,93000000000,142000000000,11000000000,149500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104500000000,0,93000000000,142000000000,11000000000,149500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,104000000000,0,93000000000,142000000000,11000000000,150000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,MYOR01CN3,CORPORATE BOND,500000000000.0,1,129000000000,0,93000000000,142000000000,11000000000,125000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,MYOR01CN3,CORPORATE BOND,500000000000.0,1,137000000000,0,93000000000,142000000000,11000000000,117000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,137000000000,0,93000000000,142000000000,11000000000,117000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,MYOR01CN3,CORPORATE BOND,500000000000.0,1,137000000000,0,69000000000,142000000000,11000000000,141000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,MYOR01CN3,CORPORATE BOND,500000000000.0,1,137000000000,0,69000000000,142000000000,11000000000,141000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
