,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-03-31,NANO,EQUITY,4285000000.0,126,0,3000034700,0,0,1279800200,0,0,0,0,4279834900,0,0,0,0,4233100,0,932000,0,0,5165100
1,2022-04-28,NANO,EQUITY,4285000000.0,64,0,3000885700,0,0,1277405300,0,0,0,40000,4278331000,0,0,0,182400,6454600,0,32000,0,0,6669000
2,2022-05-31,NANO,EQUITY,4285000000.0,53,0,3000910600,0,0,1273152200,0,0,0,40000,4274102800,0,0,0,4405600,6459600,0,32000,0,0,10897200
3,2022-06-30,NANO,EQUITY,4285000000.0,57,0,3000910600,0,0,1281834600,0,0,0,40000,4282785200,0,0,0,993500,1164300,0,57000,0,0,2214800
4,2022-07-29,NANO,EQUITY,4285000000.0,51,0,3001509600,0,0,1280105400,0,0,0,40000,4281655000,0,0,0,993500,2264500,0,87000,0,0,3345000
5,2022-08-31,NANO,EQUITY,4285000000.0,50,0,3002069500,0,0,1279420200,0,0,0,40000,4281529700,0,0,0,993500,2344800,0,132000,0,0,3470300
6,2022-09-30,NANO,EQUITY,4285013597.0,49,0,3003369500,0,0,1278133397,0,0,0,40000,4281542897,0,0,0,993500,2345200,0,132000,0,0,3470700
7,2022-10-31,NANO,EQUITY,4285054878.0,43,0,3004025700,0,0,1277743878,0,0,0,40000,4281809578,0,0,0,993500,2119800,0,132000,0,0,3245300
8,2022-11-30,NANO,EQUITY,4285078289.0,28,0,3006414900,0,0,1275856709,0,0,0,40000,4282311609,0,0,0,993500,1773180,0,0,0,0,2766680
9,2022-12-30,NANO,EQUITY,4285102352.0,28,0,3006966000,0,0,1272378632,0,240,0,40000,4279384872,0,900,0,993500,4723080,0,0,0,0,5717480
10,2023-01-31,NANO,EQUITY,4285117385.0,27,0,3006966000,0,0,1272393865,0,40,0,40000,4279399905,0,900,0,993500,4723080,0,0,0,0,5717480
11,2023-02-28,NANO,EQUITY,4285121662.0,27,0,3006966000,0,0,1272397902,0,160,0,40000,4279404062,0,900,0,993600,4723080,0,0,0,0,5717580
12,2023-03-31,NANO,EQUITY,4285153156.0,24,0,3007276000,0,0,1271829276,0,300,0,40000,4279145576,0,900,0,993600,4723080,0,290000,0,0,6007580
13,2023-04-28,NANO,EQUITY,4285178854.0,24,0,3007776100,0,0,1271354974,0,200,0,40000,4279171274,0,900,0,993600,4723080,0,290000,0,0,6007580
14,2023-05-31,NANO,EQUITY,4285183643.0,21,0,3007777600,0,0,1271558343,0,120,0,40000,4279376063,0,900,0,993600,4523080,0,290000,0,0,5807580
15,2023-06-27,NANO,EQUITY,4285186233.0,21,0,3007777600,0,0,1271860273,0,180,0,40000,4279678053,0,900,0,694200,4523080,0,290000,0,0,5508180
16,2023-07-31,NANO,EQUITY,4285192800.0,20,0,3007777500,0,0,1272209160,0,60,0,40000,4280026720,0,900,0,352100,4523080,0,290000,0,0,5166080
17,2023-08-31,NANO,EQUITY,4285196441.0,18,0,3008278000,0,0,1271712161,0,200,0,40000,4280030361,0,900,0,352100,4523080,0,290000,0,0,5166080
