,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,NASI,EQUITY,807400000.0,448,0,0,0,0,199066000,0,0,0,0,199066000,0,0,0,0,934000,0,0,0,0,934000
1,2022-02-25,NASI,EQUITY,807400000.0,332,0,350500,0,0,199564000,0,0,0,0,199914500,0,0,0,0,85500,0,0,0,0,85500
2,2022-03-31,NASI,EQUITY,807400000.0,368,0,600000,0,0,198520000,0,0,0,0,199120000,0,0,0,0,880000,0,0,0,0,880000
3,2022-04-28,NASI,EQUITY,807400000.0,262,0,400000,0,0,197572800,0,0,0,0,197972800,0,0,0,1941800,85400,0,0,0,0,2027200
4,2022-05-31,NASI,EQUITY,807400000.0,332,0,215800,0,0,198853700,0,0,0,0,199069500,0,0,0,845100,85400,0,0,0,0,930500
5,2022-06-30,NASI,EQUITY,807400000.0,214,0,200000,0,0,194907100,0,0,0,0,195107100,0,0,0,4806500,85400,0,1000,0,0,4892900
6,2022-07-29,NASI,EQUITY,807400000.0,222,0,1725500,0,0,197786500,0,0,0,0,199512000,0,0,0,0,487000,0,1000,0,0,488000
7,2022-08-31,NASI,EQUITY,807400000.0,136,0,1600000,0,0,198101400,0,0,0,0,199701400,0,0,0,12200,285400,0,1000,0,0,298600
8,2022-09-30,NASI,EQUITY,807400000.0,151,0,1623500,0,0,198090100,0,0,0,0,199713600,0,0,0,0,285400,0,1000,0,0,286400
9,2022-10-31,NASI,EQUITY,807400000.0,117,0,1630000,0,0,198237300,0,0,0,0,199867300,0,0,0,46300,85400,0,1000,0,0,132700
10,2022-11-30,NASI,EQUITY,807400000.0,104,0,1640100,0,0,198273500,0,0,0,0,199913600,0,0,0,0,85400,0,1000,0,0,86400
11,2022-12-30,NASI,EQUITY,807400000.0,101,0,940100,0,0,194470800,0,4161400,0,0,199572300,0,0,0,49800,150900,0,227000,0,0,427700
12,2023-01-31,NASI,EQUITY,807400000.0,90,0,40940100,0,0,194510600,0,4161400,0,0,239612100,0,0,0,0,160900,0,227000,0,0,387900
13,2023-02-28,NASI,EQUITY,807400000.0,88,0,40290100,0,0,195166000,0,4161400,0,0,239617500,0,0,0,100,155400,0,227000,0,0,382500
14,2023-03-31,NASI,EQUITY,807400000.0,60,0,19040100,0,0,220581900,0,0,0,0,239622000,0,0,0,100,150900,0,227000,0,0,378000
15,2023-04-28,NASI,EQUITY,807400000.0,88,0,9340100,0,0,230343500,0,0,0,0,239683600,0,0,0,17100,151300,0,148000,0,0,316400
16,2023-05-31,NASI,EQUITY,807400000.0,67,0,9340100,0,0,230317000,0,0,0,0,239657100,0,0,0,100,194800,0,148000,0,0,342900
17,2023-06-27,NASI,EQUITY,807400000.0,70,0,9340100,0,0,230305400,0,0,0,10000,239655500,0,0,0,100,196400,0,148000,0,0,344500
18,2023-07-31,NASI,EQUITY,807400000.0,71,0,9340100,0,0,230358900,0,0,0,0,239699000,0,0,0,100,152900,0,148000,0,0,301000
19,2023-08-31,NASI,EQUITY,807400000.0,80,0,9355100,0,0,229808900,0,0,0,0,239164000,0,0,0,100,600900,0,235000,0,0,836000
20,2023-09-29,NASI,EQUITY,807400000.0,86,0,11336200,0,0,227448400,0,95000,0,0,238879600,0,0,0,38400,154000,0,928000,0,0,1120400
