,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,NICL,EQUITY,9662502100.0,62,0,18492100,0,45000,1973322700,0,0,37500,0,1991897300,0,68900,0,0,7885300,0,150600,0,0,8104800
1,2022-02-25,NICL,EQUITY,9662503100.0,76,0,17304500,0,45000,1973453500,0,0,37500,0,1990840500,0,68900,0,0,7943100,0,1150600,0,0,9162600
2,2022-03-31,NICL,EQUITY,9662503494.0,76,0,16394800,0,45000,1970031794,0,0,37500,0,1986509094,0,1242600,0,0,10121200,0,2130600,0,0,13494400
3,2022-04-28,NICL,EQUITY,9662504494.0,69,0,23209900,0,0,1962055794,0,0,37500,45000,1985348194,0,1242600,0,0,12103100,0,1310600,0,0,14656300
4,2022-05-31,NICL,EQUITY,9662504496.0,97,0,22402100,0,0,1957141496,0,0,35000,45000,1979623596,0,1242600,0,7996800,10038900,0,1102600,0,0,20380900
5,2022-06-30,NICL,EQUITY,9662514496.0,85,0,29070900,0,0,1953846196,0,0,0,0,1982917096,0,1242600,0,1781900,11778300,0,2294600,0,0,17097400
6,2022-07-29,NICL,EQUITY,9662514599.0,93,0,28705500,0,0,1951236599,0,0,0,0,1979942099,0,1221600,0,4530000,12221300,0,2099600,0,0,20072500
7,2022-08-31,NICL,EQUITY,9662515101.0,101,0,28888500,0,0,1937989701,0,0,0,0,1966878201,0,1221600,0,18127900,11578300,0,2209100,0,0,33136900
8,2022-09-30,NICL,EQUITY,9662515701.0,91,0,28900500,0,0,1961324601,0,9000,0,0,1990234101,0,1221600,0,1958600,5468300,0,1133100,0,0,9781600
9,2022-10-31,NICL,EQUITY,9662515701.0,90,0,29321500,0,0,1961739001,0,0,0,0,1991060501,0,1221600,0,1243000,5493300,0,997300,0,0,8955200
10,2022-11-30,NICL,EQUITY,9662515703.0,117,0,33585500,0,0,1954103803,0,0,0,0,1987689303,0,1221600,0,5783500,4293300,0,1028000,0,0,12326400
11,2022-12-30,NICL,EQUITY,9662516057.0,155,0,25278700,0,0,1854403757,0,0,0,0,1879682457,0,3402400,0,110267900,3334400,0,3328900,0,0,120333600
12,2023-01-31,NICL,EQUITY,9662518356.0,210,0,25255700,0,0,1855383956,0,142500,100,0,1880782256,0,621600,16419700,59934100,4192100,3689700,5455000,8993700,19930200,119236100
13,2023-02-28,NICL,EQUITY,9662520981.0,296,0,22573700,0,0,1897886081,0,0,100,0,1920459881,0,621600,18098852,7957200,1645300,6603900,795000,10667791,33171457,79561100
14,2023-03-31,NICL,EQUITY,9718063717.0,342,0,15069600,0,0,1932827617,0,0,100,0,1947897317,0,621600,19737971,34064000,990500,6603900,175000,12301972,33171457,107666400
15,2023-04-28,NICL,EQUITY,9724471345.0,288,0,17666800,0,0,1967006145,0,0,100,0,1984673045,0,621600,19737971,3328500,1347500,6603900,185400,12301972,33171457,77298300
16,2023-05-31,NICL,EQUITY,9725347791.0,302,0,15058500,0,0,1970205291,0,0,100,0,1985263891,0,621600,17678271,6080900,1057600,6603900,68200,12301972,33171457,77583900
17,2023-06-27,NICL,EQUITY,10142263737.0,304,0,570400,0,0,2392059037,0,71,100,0,2392629608,0,621600,16419700,9743500,1265400,8822400,135100,12301972,37824457,87134129
18,2023-07-31,NICL,EQUITY,10635644907.0,236,0,538300,0,0,2885164207,0,15071,100,0,2885717678,0,621600,16419700,9776000,1526000,8822400,135100,12301972,37824457,87427229
19,2023-08-31,NICL,EQUITY,10635644907.0,206,0,478400,0,0,2891501007,0,142,100,0,2891979649,0,1562600,11128200,21307400,1572700,4936423,1190800,9859372,29607763,81165258
