,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
1,2022-02-25,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
2,2022-03-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
3,2022-04-28,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
4,2022-05-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
5,2022-06-30,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
6,2022-07-29,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
7,2022-08-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
8,2022-09-30,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742957,576100,265260059,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
9,2022-10-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742870,576100,265260146,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
10,2022-11-30,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,256742870,576100,265260146,0,7111,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
11,2022-12-30,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
12,2023-01-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
13,2023-02-28,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
14,2023-03-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
15,2023-04-28,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
16,2023-05-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
17,2023-06-27,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
18,2023-07-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
19,2023-08-31,NIPS,EQUITY,1635333332.0,282,126496689,579447579,0,0,255772370,576100,265260146,0,977611,1228530495,0,280198957,0,41504000,1050880,12683500,178000,0,4181500,339796837
