,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,NPGF,EQUITY,3240235840.0,75,0,807863192,0,0,616421600,0,1100000,0,0,1425384792,0,0,0,129000,0,0,0,0,0,129000
1,2022-02-25,NPGF,EQUITY,3240235840.0,76,0,807863192,0,0,616421600,0,1100000,0,0,1425384792,0,0,0,129000,0,0,0,0,0,129000
2,2022-03-31,NPGF,EQUITY,3240235840.0,80,0,807863192,0,0,616421200,0,1100000,0,0,1425384392,0,0,0,129000,400,0,0,0,0,129400
3,2022-04-28,NPGF,EQUITY,3240235840.0,104,0,807863192,0,0,616077000,0,1376900,0,0,1425317092,0,0,0,196700,0,0,0,0,0,196700
4,2022-05-31,NPGF,EQUITY,3240235840.0,87,0,808238592,0,0,616831500,0,94500,0,0,1425164592,0,220000,0,129200,0,0,0,0,0,349200
5,2022-06-30,NPGF,EQUITY,3240235840.0,64,0,811948192,0,0,612895900,0,0,0,0,1424844092,0,0,0,369700,300000,0,0,0,0,669700
6,2022-07-29,NPGF,EQUITY,3240235840.0,55,0,792456692,0,0,631776400,0,0,0,0,1424233092,0,0,0,1010700,270000,0,0,0,0,1280700
7,2022-08-31,NPGF,EQUITY,3240235840.0,53,0,792556692,0,0,630471100,0,0,0,0,1423027792,0,0,0,636500,1849500,0,0,0,0,2486000
8,2022-09-30,NPGF,EQUITY,3240235840.0,52,0,784716392,0,0,638558900,0,402500,0,0,1423677792,0,0,0,636500,1199500,0,0,0,0,1836000
9,2022-10-31,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,643606400,0,400000,0,0,3238459840,0,0,0,636500,1139500,0,0,0,0,1776000
10,2022-11-30,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,643945900,0,0,0,0,3238399340,0,0,0,636500,1200000,0,0,0,0,1836500
11,2022-12-30,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,643945700,0,0,0,0,3238399140,0,200,0,636500,1200000,0,0,0,0,1836700
12,2023-01-31,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,643945700,0,0,0,0,3238399140,0,200,0,636500,1200000,0,0,0,0,1836700
13,2023-02-28,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,644145600,0,0,0,0,3238599040,0,200,0,636600,1000000,0,0,0,0,1636800
14,2023-03-31,NPGF,EQUITY,3240235840.0,50,0,2594453440,0,0,644145600,0,0,0,0,3238599040,0,200,0,636600,1000000,0,0,0,0,1636800
15,2023-04-28,NPGF,EQUITY,3240235840.0,58,0,2594453440,0,0,644145600,0,0,0,0,3238599040,0,200,0,636600,1000000,0,0,0,0,1636800
16,2023-05-31,NPGF,EQUITY,3240235840.0,66,1666800,2593897140,0,0,643935100,0,0,0,0,3239499040,0,200,0,636600,100000,0,0,0,0,736800
17,2023-06-27,NPGF,EQUITY,3240235840.0,63,1649000,2593597140,0,0,644760200,0,0,0,0,3240006340,0,200,0,129100,100200,0,0,0,0,229500
18,2023-07-31,NPGF,EQUITY,3240235840.0,63,1846900,2593597240,0,0,644562000,0,0,0,0,3240006140,0,200,0,129100,100400,0,0,0,0,229700
19,2023-08-31,NPGF,EQUITY,3240235840.0,60,1473100,2593597240,0,0,644936100,0,0,0,0,3240006440,0,200,0,129100,100100,0,0,0,0,229400
20,2023-09-29,NPGF,EQUITY,3240235840.0,57,0,2593597240,0,0,646502000,0,7200,0,0,3240106440,0,200,0,129100,100,0,0,0,0,129400
21,2023-10-31,NPGF,EQUITY,3240235840.0,51,0,2594097240,0,0,644674800,0,0,0,0,3238772040,0,200,0,129100,1334500,0,0,0,0,1463800
22,2023-11-30,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
23,2023-12-29,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
24,2024-01-31,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
25,2024-02-29,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645927200,0,2000,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
26,2024-03-28,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645927200,0,2000,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
27,2024-04-30,NPGF,EQUITY,3240235840.0,50,0,2594097240,0,0,645927200,0,2000,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
28,2024-05-31,NPGF,EQUITY,3240235840.0,45,0,2594097240,0,0,645927200,0,2000,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
29,2024-06-28,NPGF,EQUITY,3240235840.0,19,0,2594097240,0,0,645927200,0,2000,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
30,2024-07-31,NPGF,EQUITY,3240235840.0,27,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
31,2024-08-30,NPGF,EQUITY,3240235840.0,40,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
32,2024-09-30,NPGF,EQUITY,3240235840.0,38,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
33,2024-10-31,NPGF,EQUITY,3240235840.0,42,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
34,2024-11-29,NPGF,EQUITY,3240235840.0,33,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
35,2024-12-30,NPGF,EQUITY,3240235840.0,32,0,2594097240,0,0,645929200,0,0,0,0,3240026440,0,200,0,129100,80100,0,0,0,0,209400
