,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-02-25,NTBK-W,WARRANT,700000000.0,16,0,12300,0,0,699608300,0,12100,0,0,699632700,0,0,0,0,367300,0,0,0,0,367300
1,2022-03-31,NTBK-W,WARRANT,700000000.0,12,0,12300,0,0,699627200,0,0,0,0,699639500,0,0,0,0,360500,0,0,0,0,360500
2,2022-04-28,NTBK-W,WARRANT,700000000.0,11,0,12300,0,0,699630200,0,0,0,0,699642500,0,0,0,0,357500,0,0,0,0,357500
3,2022-05-31,NTBK-W,WARRANT,700000000.0,8,0,12300,0,0,699280700,0,0,0,0,699293000,0,0,0,0,707000,0,0,0,0,707000
4,2022-06-30,NTBK-W,WARRANT,700000000.0,8,0,12300,0,0,699882100,0,0,0,0,699894400,0,0,0,0,105600,0,0,0,0,105600
5,2022-07-29,NTBK-W,WARRANT,700000000.0,7,0,0,0,0,699894400,0,0,0,0,699894400,0,0,0,0,105600,0,0,0,0,105600
6,2022-08-31,NTBK-W,WARRANT,699991597.0,8,0,0,0,0,699884997,0,0,0,1000,699885997,0,0,0,0,105600,0,0,0,0,105600
7,2022-09-30,NTBK-W,WARRANT,699983012.0,8,0,0,0,0,699877412,0,0,0,0,699877412,0,0,0,0,105600,0,0,0,0,105600
8,2022-10-31,NTBK-W,WARRANT,699981610.0,6,0,0,0,0,699875010,0,0,0,1000,699876010,0,0,0,0,105600,0,0,0,0,105600
9,2022-11-30,NTBK-W,WARRANT,699978200.0,6,0,0,0,0,699876400,0,0,0,0,699876400,0,0,0,0,101800,0,0,0,0,101800
10,2022-12-30,NTBK-W,WARRANT,699972292.0,3,0,0,0,0,699873792,0,0,0,0,699873792,0,0,0,0,98500,0,0,0,0,98500
11,2023-01-31,NTBK-W,WARRANT,699968164.0,2,0,0,0,0,699869664,0,0,0,0,699869664,0,0,0,0,98500,0,0,0,0,98500
