,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-05-31,OLIV-W,WARRANT,400000000.0,9,0,66000,0,0,399710900,0,0,0,0,399776900,0,0,0,0,223100,0,0,0,0,223100
1,2022-06-30,OLIV-W,WARRANT,400000000.0,8,0,66000,0,0,399737700,0,0,0,0,399803700,0,0,0,0,196300,0,0,0,0,196300
2,2022-07-29,OLIV-W,WARRANT,400000000.0,9,0,0,0,0,399803700,0,0,0,0,399803700,0,0,0,0,196300,0,0,0,0,196300
3,2022-08-31,OLIV-W,WARRANT,400000000.0,13,0,4231900,0,0,395575700,0,0,0,0,399807600,0,0,0,0,192400,0,0,0,0,192400
4,2022-09-30,OLIV-W,WARRANT,400000000.0,10,0,0,0,0,399807100,0,500,0,0,399807600,0,0,0,0,192400,0,0,0,0,192400
5,2022-10-31,OLIV-W,WARRANT,400000000.0,9,0,0,0,0,399807600,0,0,0,0,399807600,0,0,0,0,192400,0,0,0,0,192400
6,2022-11-30,OLIV-W,WARRANT,399995647.0,7,0,0,0,0,399803247,0,0,0,0,399803247,0,0,0,0,192400,0,0,0,0,192400
7,2022-12-30,OLIV-W,WARRANT,399989212.0,8,0,0,0,0,399595660,0,0,0,1152,399596812,0,0,0,0,392400,0,0,0,0,392400
8,2023-01-31,OLIV-W,WARRANT,399983694.0,4,0,0,0,0,398491294,0,0,0,0,398491294,0,0,0,0,1492400,0,0,0,0,1492400
9,2023-02-28,OLIV-W,WARRANT,399978094.0,2,0,0,0,0,399785694,0,0,0,0,399785694,0,0,0,0,192400,0,0,0,0,192400
10,2023-03-31,OLIV-W,WARRANT,399975594.0,2,0,0,0,0,399783194,0,0,0,0,399783194,0,0,0,0,192400,0,0,0,0,192400
11,2023-04-28,OLIV-W,WARRANT,399972970.0,1,0,0,0,0,399781570,0,0,0,0,399781570,0,0,0,0,191400,0,0,0,0,191400
