,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-10-31,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,15000000000,75000000000,52870000000,48000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
1,2023-11-30,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,15000000000,75000000000,52870000000,48000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
2,2023-12-29,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,15000000000,75000000000,52870000000,48000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
3,2024-01-31,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,15000000000,75000000000,52870000000,48000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
4,2024-02-29,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,15000000000,75000000000,52870000000,48000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
5,2024-03-28,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,5000000000,75000000000,52870000000,58000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
6,2024-04-30,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,5000000000,75000000000,52870000000,58000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
7,2024-05-31,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,5000000000,75000000000,52870000000,58000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
8,2024-06-28,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,5000000000,75000000000,52870000000,58000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
9,2024-07-31,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,75000000000,52870000000,63000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
10,2024-08-30,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,75000000000,52870000000,63000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
11,2024-09-30,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,75000000000,52870000000,63000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
12,2024-10-31,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,55000000000,52870000000,83000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
13,2024-11-29,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,0,52870000000,138000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
14,2024-12-30,OPPM01CCN1,CORPORATE BOND,241370000000.0,1,50000000000,0,0,0,52870000000,138000000000,0,0,0,240870000000,0,0,0,0,500000000,0,0,0,0,500000000
