,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-03-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,100000000000,342000000000,90000000000,98000000000,5645000000,375000000000,308000000000,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
1,2022-04-28,OPPM02A,CORPORATE BOND,1318645000000.0,1,10000000000,1000000000,90000000000,0,5645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
2,2022-05-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,10000000000,1000000000,90000000000,0,5645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
3,2022-06-30,OPPM02A,CORPORATE BOND,1318645000000.0,1,10000000000,1000000000,90000000000,0,5645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
4,2022-07-29,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
5,2022-08-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
6,2022-09-30,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,2300000000,90000000000,0,4645000000,1210700000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
7,2022-10-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
8,2022-11-30,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
9,2022-12-30,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
10,2023-01-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
11,2023-02-28,OPPM02A,CORPORATE BOND,1318645000000.0,1,11000000000,1000000000,90000000000,0,4645000000,1212000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
12,2023-03-31,OPPM02A,CORPORATE BOND,1318645000000.0,1,15000000000,1000000000,90000000000,0,4645000000,1208000000000,0,0,0,1318645000000,0,0,0,0,0,0,0,0,0,0
