,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-07-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,0,0,0,9658430000000,0,0,0,0,9658430000000,0,0,0,0,0,0,0,0,0,0
1,2023-08-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,0,0,0,9658430000000,0,0,0,0,9658430000000,0,0,0,0,0,0,0,0,0,0
2,2023-09-29,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,7166000000,0,0,9484496000000,0,2041000000,0,0,9493703000000,0,0,0,0,0,0,0,0,0,0
3,2023-10-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,15994000000,0,420000000,9398037000000,0,2314000000,0,0,9416765000000,0,0,0,0,0,0,0,0,0,0
4,2023-11-30,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,37136000000,0,1321000000,9197977000000,0,8504000000,1500000000,0,9246438000000,0,0,0,0,0,0,0,0,0,0
5,2023-12-29,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,1000000000,47006000000,0,2271000000,9177317000000,0,7616000000,1500000000,0,9236710000000,0,0,0,0,0,0,0,0,0,0
6,2024-01-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,1000000000,50053000000,0,20000000,9147056000000,0,1979000000,1500000000,0,9201608000000,0,0,0,0,0,0,0,0,0,0
7,2024-02-29,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,1000000000,50157000000,0,1020000000,9123213000000,0,757000000,1500000000,0,9177647000000,0,0,0,0,0,0,0,0,0,0
8,2024-03-28,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,1000000000,50200000000,0,1830000000,9119074000000,0,2657000000,1500000000,0,9176261000000,0,0,0,0,0,0,0,0,0,0
9,2024-04-30,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,1000000000,17750000000,0,950000000,9109822000000,0,1891000000,1500000000,0,9132913000000,0,0,0,0,0,0,0,0,0,0
10,2024-05-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,27250000000,0,0,9089487000000,0,798000000,1500000000,200000000,9119235000000,0,0,0,0,0,0,0,0,0,0
11,2024-06-28,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,28532000000,0,1715000000,9046088000000,0,201000000,1500000000,200000000,9078236000000,0,0,0,0,0,0,0,0,0,0
12,2024-07-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,27608000000,0,196000000,8989306000000,0,1974000000,1500000000,700000000,9021284000000,0,0,0,0,0,0,0,0,0,0
13,2024-08-30,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,27608000000,0,0,8973956000000,0,2103000000,1500000000,700000000,9005867000000,0,0,0,0,0,0,0,0,0,0
14,2024-09-30,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,27550000000,0,0,8960201000000,0,1220000000,1500000000,700000000,8991171000000,0,0,0,0,0,0,0,0,0,0
15,2024-10-31,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,25263000000,0,205000000,8934458000000,0,401000000,4000000000,8700000000,8973027000000,0,0,0,0,0,0,0,0,0,0
16,2024-11-29,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,15188000000,0,1401000000,8873698000000,0,1026000000,4000000000,17700000000,8913013000000,0,0,0,0,0,0,0,0,0,0
17,2024-12-30,ORI023T3,GOVERNMENT BOND,20000000000000.0,1,0,13050000000,0,481000000,8827524000000,0,1617000000,4000000000,40700000000,8887372000000,0,0,0,0,0,0,0,0,0,0
