,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-03-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,30000000000,2000000000,100000000000,16500000000,320000000000,0,0,0,471000000000,0,0,0,10000000000,1000000000,0,0,0,0,11000000000
1,2023-04-28,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,30000000000,2000000000,100000000000,16500000000,330000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
2,2023-05-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,30000000000,2000000000,80000000000,16500000000,350000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
3,2023-06-27,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
4,2023-07-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
5,2023-08-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
6,2023-09-29,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
7,2023-10-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
8,2023-11-30,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
9,2023-12-29,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
10,2024-01-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
11,2024-02-29,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
12,2024-03-28,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
13,2024-04-30,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
14,2024-05-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
15,2024-06-28,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
16,2024-07-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
17,2024-08-30,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
18,2024-09-30,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
19,2024-10-31,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
20,2024-11-29,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
21,2024-12-30,PALM01BCN1,CORPORATE BOND,482000000000.0,1,2500000000,0,2000000000,80000000000,16500000000,380000000000,0,0,0,481000000000,0,0,0,0,1000000000,0,0,0,0,1000000000
