,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PBS030,SBSN,7850000000000.0,1,0,0,0,0,14100000000,11000000000,0,0,0,25100000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,PBS030,SBSN,7850000000000.0,1,6000000000,0,0,0,16500000000,19000000000,0,0,0,41500000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,PBS030,SBSN,10055000000000.0,1,16875000000,0,10000000000,0,17000000000,19000000000,0,0,0,62875000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,PBS030,SBSN,10107000000000.0,1,16875000000,0,10000000000,0,17500000000,17000000000,0,0,0,61375000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,PBS030,SBSN,10107000000000.0,1,16875000000,0,10000000000,0,17748000000,17000000000,0,0,0,61623000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,PBS030,SBSN,10507000000000.0,1,21875000000,0,10000000000,0,17748000000,15000000000,0,0,0,64623000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,PBS030,SBSN,16532000000000.0,1,21875000000,0,10000000000,0,18248000000,15000000000,0,0,0,65123000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,PBS030,SBSN,16532000000000.0,1,67611000000,0,10000000000,0,18248000000,15000000000,0,0,0,110859000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,PBS030,SBSN,12052000000000.0,1,67611000000,0,10000000000,0,21248000000,15000000000,0,0,0,113859000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,PBS030,SBSN,12052000000000.0,1,67611000000,0,10000000000,0,21248000000,15000000000,0,0,0,113859000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,PBS030,SBSN,12052000000000.0,1,67611000000,0,10000000000,0,21248000000,15000000000,0,0,0,113859000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,PBS030,SBSN,12052000000000.0,1,67611000000,0,10000000000,0,20768000000,20592000000,0,0,0,118971000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,PBS030,SBSN,12052000000000.0,1,67611000000,500000000,20000000000,0,23268000000,10592000000,0,0,0,121971000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,PBS030,SBSN,12052000000000.0,1,67611000000,500000000,20000000000,0,32268000000,10592000000,0,0,0,130971000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,PBS030,SBSN,12052000000000.0,1,67611000000,500000000,20000000000,0,32268000000,10592000000,0,0,0,130971000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,PBS030,SBSN,12052000000000.0,1,67611000000,500000000,20000000000,0,32498000000,10592000000,0,0,0,131201000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,PBS030,SBSN,12052000000000.0,1,67611000000,500000000,20000000000,0,32498000000,10592000000,0,0,0,131201000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,PBS030,SBSN,12052000000000.0,1,87611000000,500000000,20500000000,0,31998000000,10592000000,0,10000000000,0,161201000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,PBS030,SBSN,12052000000000.0,1,87611000000,500000000,20500000000,0,31998000000,10592000000,0,10000000000,0,161201000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,PBS030,SBSN,12052000000000.0,1,87611000000,500000000,20500000000,0,32098000000,592000000,0,10000000000,0,151301000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,PBS030,SBSN,12052000000000.0,1,87611000000,500000000,20500000000,0,34948000000,11592000000,0,10000000000,0,165151000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,PBS030,SBSN,12052000000000.0,1,87611000000,2500000000,20500000000,0,44220000000,11592000000,0,10000000000,0,176423000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,PBS030,SBSN,12052000000000.0,1,87611000000,2500000000,20500000000,0,44220000000,11592000000,0,10000000000,0,176423000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,PBS030,SBSN,12052000000000.0,1,87611000000,2500000000,20500000000,0,44720000000,11592000000,0,10000000000,0,176923000000,0,0,0,0,0,0,0,0,0,0
