,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-11-30,PDPP,EQUITY,2500000000.0,204,0,2937400,62800,0,1494395400,0,0,100,0,1497395700,0,0,0,624400,1001979900,0,0,0,0,1002604300
1,2022-12-30,PDPP,EQUITY,2500000000.0,206,0,245800,72800,0,1497104100,0,0,100,0,1497422800,0,19900,0,1235100,1001322200,0,0,0,0,1002577200
2,2023-01-31,PDPP,EQUITY,2500000000.0,195,0,2445800,72800,0,1496319100,0,0,100,0,1498837800,0,0,0,0,1001162200,0,0,0,0,1001162200
3,2023-02-28,PDPP,EQUITY,2500000000.0,199,0,645800,20300,0,1497861400,0,0,100,0,1498527600,0,0,0,1410200,1000062200,0,0,0,0,1001472400
4,2023-03-31,PDPP,EQUITY,2500000000.0,226,0,1645400,2800,0,1491560800,0,0,100,0,1493209100,0,388100,0,6339600,1000063200,0,0,0,0,1006790900
5,2023-04-28,PDPP,EQUITY,2500000000.0,274,0,1028100,5000,0,1487970900,0,0,100,0,1489004100,0,100,0,10932700,1000063100,0,0,0,0,1010995900
6,2023-05-31,PDPP,EQUITY,2500000000.0,270,0,1978100,5000,0,1492129100,0,0,100,0,1494112300,0,11500,0,5378100,1000498100,0,0,0,0,1005887700
7,2023-06-27,PDPP,EQUITY,2500000000.0,276,0,2173700,0,0,1493998700,0,0,100,0,1496172500,0,0,0,3329400,1000498100,0,0,0,0,1003827500
8,2023-07-31,PDPP,EQUITY,2500000000.0,318,0,2173700,0,0,1487073300,0,0,100,0,1489247100,0,6800,0,10248000,1000498100,0,0,0,0,1010752900
9,2023-08-31,PDPP,EQUITY,2500000000.0,296,0,2549800,5000,0,1481874300,0,0,100,0,1484429200,0,658700,0,14416200,1000495900,0,0,0,0,1015570800
10,2023-09-29,PDPP,EQUITY,2500000000.0,288,0,2658600,0,0,1486196400,0,0,100,0,1488855100,0,633200,0,9983200,1000528500,0,0,0,0,1011144900
11,2023-10-31,PDPP,EQUITY,2500000000.0,318,0,2549800,0,0,1495144600,0,0,100,0,1497694500,0,0,0,1727000,1000578500,0,0,0,0,1002305500
12,2023-11-30,PDPP,EQUITY,2500000000.0,324,0,2789700,0,0,1496005900,0,0,100,0,1498795700,0,0,0,935800,1000268500,0,0,0,0,1001204300
13,2023-12-29,PDPP,EQUITY,3061341438.0,390,0,95831824,0,0,2473533756,0,100100,22,0,2569465702,0,0,0,1754243,490121468,0,25,0,0,491875736
14,2024-01-31,PDPP,EQUITY,3061341438.0,400,0,95584924,0,0,2461862508,0,390,80,0,2557447902,0,0,0,13998943,489894568,0,25,0,0,503893536
15,2024-02-29,PDPP,EQUITY,3061341438.0,430,0,95584924,0,0,2460096528,0,216,80,0,2555681748,0,0,0,15760097,489899568,0,25,0,0,505659690
16,2024-03-28,PDPP,EQUITY,3061341438.0,505,0,95394824,0,0,2466423315,0,129,80,0,2561818348,0,0,0,9559397,489963668,0,25,0,0,499523090
17,2024-04-30,PDPP,EQUITY,3061341438.0,472,0,95564824,0,0,2467372124,0,220,80,0,2562937248,0,0,0,8245497,490158668,0,25,0,0,498404190
18,2024-05-31,PDPP,EQUITY,3061341438.0,615,0,95773124,0,0,2466888779,0,165,80,0,2562662148,0,0,0,8838097,489841168,0,25,0,0,498679290
19,2024-06-28,PDPP,EQUITY,3061341438.0,605,0,97907624,0,0,2463728515,0,129,80,0,2561636348,0,241100,686200,8925097,489849968,0,2725,0,0,499705090
20,2024-07-31,PDPP,EQUITY,3061341438.0,545,0,98247124,0,0,2458530379,0,165,80,0,2556777748,0,88500,686200,11501897,489930368,0,2356725,0,0,504563690
21,2024-08-30,PDPP,EQUITY,3061341438.0,605,0,97414324,0,0,2462576379,0,165,80,0,2559990948,0,0,686200,9069497,490017368,0,1577425,0,0,501350490
22,2024-09-30,PDPP,EQUITY,3061341438.0,570,0,95954324,0,0,2466920300,0,244,80,0,2562874948,0,144800,0,8319297,489931168,0,71225,0,0,498466490
23,2024-10-31,PDPP,EQUITY,3061341438.0,650,0,96419524,0,0,2386473364,0,70000380,80,0,2552893348,0,687100,0,17827997,489845768,0,87225,0,0,508448090
24,2024-11-29,PDPP,EQUITY,3061341438.0,555,0,96308324,0,0,2391832752,0,70000192,80,0,2558141348,0,436700,0,12694897,489843768,0,224725,0,0,503200090
25,2024-12-30,PDPP,EQUITY,3061341438.0,486,0,96527224,0,0,2463460084,0,260,80,0,2559987648,0,653900,0,10346197,489903768,0,449925,0,0,501353790
