,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PGJO,EQUITY,723859095.0,80,0,310167600,0,0,359149745,0,0,0,0,669317345,0,100000,0,0,1000,0,222000,0,0,323000
1,2022-02-25,PGJO,EQUITY,723859095.0,75,0,310167600,0,0,359149745,0,0,0,0,669317345,0,100000,0,0,1000,0,222000,0,0,323000
2,2022-03-31,PGJO,EQUITY,759859095.0,75,0,346167600,0,0,359146745,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
3,2022-04-28,PGJO,EQUITY,759859095.0,68,0,346167600,0,0,359146745,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
4,2022-05-31,PGJO,EQUITY,759859095.0,77,0,351796600,0,0,353517745,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
5,2022-06-30,PGJO,EQUITY,759859095.0,71,0,352277300,0,0,353037045,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
6,2022-07-29,PGJO,EQUITY,759859095.0,72,0,355254200,0,0,350060145,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
7,2022-08-31,PGJO,EQUITY,759859095.0,69,0,360404900,0,0,344909445,0,0,0,0,705314345,0,100000,0,0,1000,0,225000,0,0,326000
8,2022-09-30,PGJO,EQUITY,761659095.0,71,0,361064700,0,0,346049645,0,0,0,0,707114345,0,100000,0,0,1000,0,225000,0,0,326000
9,2022-10-31,PGJO,EQUITY,761659095.0,70,0,361064700,0,0,346049645,0,0,0,0,707114345,0,100000,0,0,1000,0,225000,0,0,326000
10,2022-11-30,PGJO,EQUITY,761659095.0,74,0,361064700,0,0,346049645,0,0,0,0,707114345,0,100000,0,0,1000,0,225000,0,0,326000
11,2022-12-30,PGJO,EQUITY,761659095.0,76,0,371862200,0,0,335252145,0,0,0,0,707114345,0,100000,0,0,1000,0,225000,0,0,326000
12,2023-01-31,PGJO,EQUITY,765259095.0,76,0,372062800,0,0,338651545,0,0,0,0,710714345,0,100000,0,0,1000,0,225000,0,0,326000
13,2023-02-28,PGJO,EQUITY,765259095.0,70,0,372062800,0,0,338651445,0,0,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
14,2023-03-31,PGJO,EQUITY,765259095.0,67,0,372062800,0,0,338651445,0,0,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
15,2023-04-28,PGJO,EQUITY,765259095.0,82,0,372086500,0,0,338627705,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
16,2023-05-31,PGJO,EQUITY,765259095.0,90,0,372086500,0,0,338627705,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
17,2023-06-27,PGJO,EQUITY,765259095.0,100,0,372086500,0,0,338627705,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
18,2023-07-31,PGJO,EQUITY,765259095.0,92,0,372086500,0,0,338627705,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
19,2023-08-31,PGJO,EQUITY,765259095.0,80,0,392086500,0,0,318627705,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
20,2023-09-29,PGJO,EQUITY,765259095.0,81,0,392086600,0,0,318627605,0,40,0,0,710714245,0,100000,0,100,1000,0,225000,0,0,326100
21,2023-10-31,PGJO,EQUITY,765259095.0,81,0,392103700,0,0,318645005,0,40,0,0,710748745,0,65500,0,100,1000,0,225000,0,0,291600
22,2023-11-30,PGJO,EQUITY,765259095.0,82,0,392103700,0,0,318645005,0,40,0,0,710748745,0,65500,0,100,1000,0,225000,0,0,291600
23,2023-12-29,PGJO,EQUITY,765259095.0,83,0,381482700,0,0,317266005,12000000,40,0,0,710748745,0,65500,0,100,1000,0,225000,0,0,291600
24,2024-01-31,PGJO,EQUITY,772459095.0,86,0,381482700,0,0,324531505,12000000,40,0,0,718014245,0,0,0,100,1000,0,225000,0,0,226100
25,2024-02-29,PGJO,EQUITY,772459095.0,82,0,381482700,0,0,324531505,12000000,40,0,0,718014245,0,0,0,100,1000,0,225000,0,0,226100
26,2024-03-28,PGJO,EQUITY,772459095.0,85,0,381482700,0,0,324531505,12000000,40,0,0,718014245,0,0,0,100,1000,0,225000,0,0,226100
27,2024-04-30,PGJO,EQUITY,772459095.0,90,0,382155600,0,0,324358605,11500000,40,0,0,718014245,0,0,0,100,1000,0,225000,0,0,226100
28,2024-05-31,PGJO,EQUITY,772459095.0,88,0,382155600,0,0,324359605,11500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
29,2024-06-28,PGJO,EQUITY,772459095.0,90,0,384155600,0,0,324359605,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
30,2024-07-31,PGJO,EQUITY,772459095.0,88,0,384155600,0,0,324359605,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
31,2024-08-30,PGJO,EQUITY,772459095.0,91,0,384155600,0,0,324359605,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
32,2024-09-30,PGJO,EQUITY,772459095.0,87,0,384237300,0,0,324277905,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
33,2024-10-31,PGJO,EQUITY,772459095.0,91,0,384689500,0,0,323825705,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
34,2024-11-29,PGJO,EQUITY,772459095.0,97,0,384986900,0,0,323528305,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
35,2024-12-30,PGJO,EQUITY,772459095.0,95,0,385164800,0,0,323350405,9500000,40,0,0,718015245,0,0,0,100,0,0,225000,0,0,225100
