,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,50500000000,6000000000,44000000000,1400000000000,500000000,10000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,60500000000,6000000000,44000000000,1355000000000,500000000,45000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,60500000000,6000000000,44000000000,1305000000000,500000000,95000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1305000000000,500000000,130000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1335000000000,500000000,100000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1335000000000,500000000,100000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,6000000000,4000000000,1335000000000,500000000,100000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,65500000000,16000000000,4000000000,1335000000000,500000000,90000000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1340000000000,500000000,88200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1340000000000,500000000,88200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1340000000000,500000000,88200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1340000000000,500000000,88200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1340000000000,500000000,88200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
28,2024-05-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
29,2024-06-28,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
30,2024-07-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
31,2024-08-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
32,2024-09-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
33,2024-10-31,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
34,2024-11-29,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
35,2024-12-30,PIHC02BCN2,CORPORATE BOND,1600000000000.0,1,62300000000,16000000000,4000000000,1350000000000,500000000,78200000000,0,14000000000,75000000000,1600000000000,0,0,0,0,0,0,0,0,0,0
