,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PLAN,EQUITY,892857802.0,41,0,101000,0,0,257816602,0,200300,500,0,258118402,0,9639400,0,0,100000,0,0,0,0,9739400
1,2022-02-25,PLAN,EQUITY,892858102.0,32,0,215700,0,0,257702202,0,200300,500,0,258118702,0,9639400,0,0,100000,0,0,0,0,9739400
2,2022-03-31,PLAN,EQUITY,892863102.0,34,0,316000,0,0,257586902,0,200300,500,0,258103702,0,9639400,0,0,120000,0,0,0,0,9759400
3,2022-04-28,PLAN,EQUITY,892863102.0,36,0,341000,0,0,257571102,0,200300,500,0,258112902,0,9639400,0,0,110800,0,0,0,0,9750200
4,2022-05-31,PLAN,EQUITY,892863102.0,35,0,341000,0,0,257571102,0,200300,500,0,258112902,0,9639400,0,0,110800,0,0,0,0,9750200
5,2022-06-30,PLAN,EQUITY,892863103.0,38,0,0,0,0,257912103,0,200300,500,0,258112903,0,9639400,0,0,110800,0,0,0,0,9750200
6,2022-07-29,PLAN,EQUITY,892863105.0,37,0,0,0,0,257912105,0,200300,500,0,258112905,0,9639400,0,0,110800,0,0,0,0,9750200
7,2022-08-31,PLAN,EQUITY,892863180.0,37,0,200,0,0,257911980,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
8,2022-09-30,PLAN,EQUITY,892863180.0,30,0,200,0,0,257911980,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
9,2022-10-31,PLAN,EQUITY,892863180.0,31,0,200,0,0,257911980,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
10,2022-11-30,PLAN,EQUITY,892863180.0,30,0,400,0,0,257911780,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
11,2022-12-30,PLAN,EQUITY,892863180.0,27,0,400,0,0,257911780,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
12,2023-01-31,PLAN,EQUITY,892863180.0,27,0,400,0,0,257911780,0,200300,500,0,258112980,0,9639400,0,0,110800,0,0,0,0,9750200
13,2023-02-28,PLAN,EQUITY,892863180.0,26,0,400,0,0,257893680,0,200300,500,0,258094880,0,9639400,0,100,110800,0,18000,0,0,9768300
14,2023-03-31,PLAN,EQUITY,892863180.0,25,0,400,0,0,257893680,0,200300,500,0,258094880,0,9639400,0,100,110800,0,18000,0,0,9768300
15,2023-04-28,PLAN,EQUITY,892863180.0,25,0,400,0,0,257893680,0,200300,500,0,258094880,0,9639400,0,100,110800,0,18000,0,0,9768300
16,2023-05-31,PLAN,EQUITY,892863180.0,24,0,500,0,0,257893580,0,200300,500,0,258094880,0,9639400,0,100,110800,0,18000,0,0,9768300
17,2023-06-27,PLAN,EQUITY,892863180.0,27,0,500,0,0,258093880,0,0,500,0,258094880,0,9639400,0,100,110800,0,18000,0,0,9768300
18,2023-07-31,PLAN,EQUITY,892863197.0,29,0,400,0,0,258073897,0,0,500,0,258074797,0,9639500,0,100,130800,0,18000,0,0,9788400
19,2023-08-31,PLAN,EQUITY,892863204.0,31,0,700,0,0,258073604,0,0,500,0,258074804,0,9639500,0,100,130800,0,18000,0,0,9788400
20,2023-09-29,PLAN,EQUITY,896709596.0,30,0,700,0,0,261950796,0,0,500,0,261951996,0,9639500,0,100,100000,0,18000,0,0,9757600
21,2023-10-31,PLAN,EQUITY,896709596.0,27,0,700,0,0,261950796,0,0,500,0,261951996,0,9639500,0,100,100000,0,18000,0,0,9757600
22,2023-11-30,PLAN,EQUITY,896709596.0,28,0,281500,0,0,261669996,0,0,500,0,261951996,0,9639500,0,100,100000,0,18000,0,0,9757600
23,2023-12-29,PLAN,EQUITY,896709596.0,28,0,281500,0,0,261669996,0,0,500,0,261951996,0,9639500,0,100,100000,0,18000,0,0,9757600
24,2024-01-31,PLAN,EQUITY,896709596.0,25,0,280800,0,0,261670696,0,0,500,0,261951996,0,9639500,0,100,100000,0,18000,0,0,9757600
