,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PLIN,EQUITY,3550000000.0,2050,35073700,3455971100,0,54900,28864700,0,3483500,0,0,3523447900,0,500,0,1184300,21700,342300,3355100,0,788200,5692100
1,2022-02-25,PLIN,EQUITY,3550000000.0,2100,35073700,3455971100,0,54900,29030000,0,3483500,0,0,3523613200,0,500,0,1019000,21700,342300,3355100,0,788200,5526800
2,2022-03-31,PLIN,EQUITY,3550000000.0,2060,35073700,3455971100,0,54900,29105000,0,3483500,0,0,3523688200,0,500,0,1018900,21800,342300,3355100,0,788200,5526800
3,2022-04-28,PLIN,EQUITY,3550000000.0,2010,35073700,3455971100,0,54900,29105600,0,3483500,0,0,3523688800,0,500,0,1018200,21400,342300,3355600,0,788200,5526200
4,2022-05-31,PLIN,EQUITY,3550000000.0,2210,35073700,3455971100,0,54900,29105900,0,3483500,0,0,3523689100,0,500,0,1017900,21400,342300,3355600,0,788200,5525900
5,2022-06-30,PLIN,EQUITY,3550000000.0,2170,35073700,3455971100,0,54900,29103700,0,3483500,0,0,3523686900,0,500,0,1018000,21500,342300,3355600,0,790200,5528100
6,2022-07-29,PLIN,EQUITY,3550000000.0,2200,35073700,3455971100,0,54900,29103700,0,3483500,0,0,3523686900,0,500,0,1018000,21500,342300,3355600,0,790200,5528100
7,2022-08-31,PLIN,EQUITY,3550000000.0,2130,35073700,3455971100,0,54900,29103700,0,3483500,0,0,3523686900,0,500,0,1018000,21500,342300,3355600,0,790200,5528100
8,2022-09-30,PLIN,EQUITY,3550000000.0,2230,35073700,3455971100,0,54900,29097800,0,3483500,0,0,3523681000,0,500,0,1016900,22800,342300,3355600,0,795900,5534000
9,2022-10-31,PLIN,EQUITY,3550000000.0,2240,35073700,3455971100,0,54900,29097900,0,3483500,0,0,3523681100,0,500,0,1016800,22800,342300,3355600,0,795900,5533900
10,2022-11-30,PLIN,EQUITY,3550000000.0,2150,35073700,3455971100,0,54900,29098000,0,3483500,0,0,3523681200,0,500,0,1016800,22700,342300,3355600,0,795900,5533800
11,2022-12-30,PLIN,EQUITY,3550000000.0,2080,35073700,3455971100,0,54900,29097400,0,3483500,0,0,3523680600,0,500,0,1016700,23400,342300,3355600,0,795900,5534400
12,2023-01-31,PLIN,EQUITY,3550000000.0,2090,35073700,3455971100,0,54900,29336800,0,3483500,0,0,3523920000,0,500,0,1011300,24400,342300,3355600,0,795900,5530000
13,2023-02-28,PLIN,EQUITY,3550000000.0,2050,35073700,3455971100,0,54900,29340100,0,3483500,0,0,3523923300,0,500,0,1008000,24400,342300,3355600,0,795900,5526700
14,2023-03-31,PLIN,EQUITY,3550000000.0,2100,35073700,3455971100,0,54900,29342200,0,3483500,0,0,3523925400,0,500,0,1005900,24400,342300,3355600,0,795900,5524600
15,2023-04-28,PLIN,EQUITY,3550000000.0,2180,35073700,3455974200,0,54900,29347000,0,3483500,0,0,3523933300,0,500,0,1003000,24400,342300,3355600,0,790900,5516700
16,2023-05-31,PLIN,EQUITY,3550000000.0,2140,35073700,3456017300,0,54900,29418300,0,3483500,0,0,3524047700,0,500,0,975200,24400,342300,3354000,0,705900,5402300
17,2023-06-27,PLIN,EQUITY,3550000000.0,2100,35073700,3456020600,0,54900,29415400,0,3483500,0,0,3524048100,0,500,0,974800,24400,342300,3354000,0,705900,5401900
