,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PNLF,EQUITY,32022073293.0,173,316636620,3339110660,180773464,0,5226349673,1450746600,283948109,1406664,0,10798971790,14952944,742296983,148805657,735473139,673977000,1072547796,505018344,8417900,414800316,4316290079
1,2022-02-25,PNLF,EQUITY,32022073293.0,169,316636620,3333547560,179879664,0,5324187773,1370670500,295753509,1406664,0,10822082290,14952944,742866783,148805657,662283739,724360700,1086595556,480448344,11068400,421797456,4293179579
2,2022-03-31,PNLF,EQUITY,32022073293.0,172,303093520,3331804660,179507364,0,5270482773,1332497400,340205009,1406664,0,10758997390,14952944,740058983,163884357,653238739,739181500,1104959756,490679044,18860900,430448256,4356264479
3,2022-04-28,PNLF,EQUITY,32022073293.0,236,314444820,3329433760,171405064,0,4982860173,1437725000,338586809,1406664,0,10575862290,14952944,739715183,154548057,703452039,887063500,1108013156,489289044,18860900,423504756,4539399579
4,2022-05-31,PNLF,EQUITY,32022073293.0,280,329099920,3322792560,159305064,0,4936939773,1535641200,339086009,1406664,0,10624271190,14952944,715007183,159476957,693966639,926356400,1055055556,485359644,18860900,421954456,4490990679
5,2022-06-30,PNLF,EQUITY,32022073293.0,428,511239200,4666794580,119809164,0,4158783273,1556762800,45704145,2597664,0,11061690826,14952944,125327269,170214957,582771753,1238692600,1027419856,490241644,2695200,401254820,4053571043
6,2022-07-29,PNLF,EQUITY,32022073293.0,392,515270000,5123234380,93825664,0,4936683273,1762201800,37854161,1191064,0,12470260342,14952944,130664129,190636957,460202993,32327200,980165360,466206673,16741700,353103571,2645001527
7,2022-08-31,PNLF,EQUITY,32022073293.0,382,534687000,5119348880,90278064,0,4196831673,1713545000,47256452,1191064,0,11703138133,14952944,121287734,176700671,1037339688,282411500,959297864,464442373,16741700,338949262,3412123736
8,2022-09-30,PNLF,EQUITY,32022073293.0,490,541746900,5086909080,89836764,0,4202885373,1755220800,39182098,1707564,0,11717488579,14952944,125821994,167828866,961106474,348980200,969724369,457039373,16741700,335577370,3397773290
9,2022-10-31,PNLF,EQUITY,32022073293.0,635,537679500,5130471880,96792164,1000000,4158589573,1843929300,33094272,1707564,700000,11803964253,14952944,125252320,172025966,945054948,366124400,919618969,432862573,16741700,318663796,3311297616
