,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,POLI,EQUITY,2010526400.0,1410,0,462559300,0,0,1149408900,0,0,0,0,1611968200,0,0,0,1400,5000,0,397551800,0,0,397558200
1,2022-02-25,POLI,EQUITY,2010526400.0,1325,0,462559300,0,0,1149415000,0,0,0,0,1611974300,0,0,0,300,0,0,397551800,0,0,397552100
2,2022-03-31,POLI,EQUITY,2010526400.0,970,0,462559300,0,0,1149415300,0,0,0,0,1611974600,0,0,0,0,0,0,397551800,0,0,397551800
3,2022-04-28,POLI,EQUITY,2010526400.0,1165,0,462559300,0,0,1149415300,0,0,0,0,1611974600,0,0,0,0,0,0,397551800,0,0,397551800
4,2022-05-31,POLI,EQUITY,2010526400.0,1220,0,462559300,0,0,1149409900,0,0,0,0,1611969200,0,0,0,5400,0,0,397551800,0,0,397557200
5,2022-06-30,POLI,EQUITY,2010526400.0,965,0,462559300,0,0,1149415300,0,0,0,0,1611974600,0,0,0,0,0,0,397551800,0,0,397551800
6,2022-07-29,POLI,EQUITY,2010526400.0,810,0,462559300,0,0,1149412700,0,0,0,0,1611972000,0,0,0,2600,0,0,397551800,0,0,397554400
7,2022-08-31,POLI,EQUITY,2010526400.0,800,0,462559300,0,0,1149339300,0,0,0,0,1611898600,0,100,0,67900,8000,0,397551800,0,0,397627800
8,2022-09-30,POLI,EQUITY,2010526400.0,915,0,462559300,0,0,1149195500,0,0,0,0,1611754800,0,0,0,0,8000,0,397763600,0,0,397771600
9,2022-10-31,POLI,EQUITY,2010526400.0,875,0,462559300,0,0,1149070800,0,0,0,0,1611630100,0,159000,0,55700,8000,0,397673600,0,0,397896300
10,2022-11-30,POLI,EQUITY,2010526400.0,875,0,462559300,0,0,1149131100,0,0,0,0,1611690400,0,159000,0,3400,0,0,397673600,0,0,397836000
11,2022-12-30,POLI,EQUITY,2010526400.0,805,0,462559300,0,0,1149176800,0,0,0,0,1611736100,0,107400,0,9300,0,0,397673600,0,0,397790300
12,2023-01-31,POLI,EQUITY,2010526400.0,790,0,462559300,0,0,1149285200,0,0,0,0,1611844500,0,0,0,8300,0,0,397673600,0,0,397681900
13,2023-02-28,POLI,EQUITY,2010526400.0,795,0,462559300,0,0,1149285200,0,0,0,0,1611844500,0,0,0,8300,0,0,397673600,0,0,397681900
14,2023-03-31,POLI,EQUITY,2010526400.0,840,0,462559300,0,0,1149283900,0,0,0,0,1611843200,0,0,0,9600,0,0,397673600,0,0,397683200
15,2023-04-28,POLI,EQUITY,2010526400.0,820,0,462559300,0,0,1149284700,0,0,0,0,1611844000,0,0,0,8800,0,0,397673600,0,0,397682400
16,2023-05-31,POLI,EQUITY,2010526400.0,780,0,541258400,0,0,1149323300,0,0,0,0,1690581700,0,0,0,10400,0,0,318934300,0,0,318944700
17,2023-06-27,POLI,EQUITY,2010526400.0,715,0,618857500,0,0,1149356600,0,0,0,0,1768214100,0,0,0,2200,0,0,241310100,0,0,241312300
18,2023-07-31,POLI,EQUITY,2010526400.0,765,0,618857500,0,0,1149408800,0,0,0,0,1768266300,0,0,0,6500,0,0,241253600,0,0,241260100
19,2023-08-31,POLI,EQUITY,2010526400.0,765,0,618857500,0,0,1149413600,0,0,0,0,1768271100,0,0,0,1700,0,0,241253600,0,0,241255300
20,2023-09-29,POLI,EQUITY,2010526400.0,770,0,618857500,0,0,1149410700,0,0,0,0,1768268200,0,0,0,4600,0,0,241253600,0,0,241258200
21,2023-10-31,POLI,EQUITY,2010526400.0,835,0,618857500,0,0,1149415200,0,0,0,0,1768272700,0,0,0,100,0,0,241253600,0,0,241253700
22,2023-11-30,POLI,EQUITY,2010526400.0,845,0,618857500,0,0,1149414700,0,0,0,0,1768272200,0,0,0,600,0,0,241253600,0,0,241254200
23,2023-12-29,POLI,EQUITY,2010526400.0,805,0,618857500,0,0,1149414600,0,0,0,0,1768272100,0,0,0,700,0,0,241253600,0,0,241254300
24,2024-01-31,POLI,EQUITY,2010526400.0,730,0,618857500,0,0,1149410600,0,0,0,0,1768268100,0,0,0,900,3800,0,241253600,0,0,241258300
25,2024-02-29,POLI,EQUITY,2010526400.0,760,0,618857500,0,0,1149412200,0,0,0,0,1768269700,0,0,0,3100,0,0,241253600,0,0,241256700
26,2024-03-28,POLI,EQUITY,2010526400.0,735,0,618857500,0,0,1149414100,0,0,0,0,1768271600,0,0,0,1200,0,0,241253600,0,0,241254800
27,2024-04-30,POLI,EQUITY,2010526400.0,710,0,618857500,0,0,1149413200,0,0,0,0,1768270700,0,0,0,100,2000,0,241253600,0,0,241255700
28,2024-05-31,POLI,EQUITY,2010526400.0,685,0,618857500,0,0,1149415200,0,0,0,0,1768272700,0,0,0,100,0,0,241253600,0,0,241253700
29,2024-06-28,POLI,EQUITY,2010526400.0,635,0,618857500,0,0,1149415200,0,0,0,0,1768272700,0,0,0,100,0,0,241253600,0,0,241253700
30,2024-07-31,POLI,EQUITY,2010526400.0,755,0,618857500,0,0,1149415000,0,0,0,0,1768272500,0,0,0,300,0,0,241253600,0,0,241253900
31,2024-08-30,POLI,EQUITY,2010526400.0,760,0,618857500,0,0,1149414400,0,0,0,0,1768271900,0,0,0,900,0,0,241253600,0,0,241254500
32,2024-09-30,POLI,EQUITY,2010526400.0,870,0,618857500,0,0,1149414400,0,0,0,0,1768271900,0,0,0,900,0,0,241253600,0,0,241254500
33,2024-10-31,POLI,EQUITY,2010526400.0,845,0,860111100,0,0,1149414400,0,0,0,0,2009525500,0,0,0,900,0,0,0,0,0,900
34,2024-11-29,POLI,EQUITY,2010526400.0,785,0,860111100,0,0,1149414400,0,0,0,0,2009525500,0,0,0,900,0,0,0,0,0,900
35,2024-12-30,POLI,EQUITY,2010526400.0,770,0,860111100,0,0,1149414400,0,0,0,0,2009525500,0,0,0,900,0,0,0,0,0,900
