,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,POLU,EQUITY,750000000.0,525,0,186500,0,0,1313900,0,0,0,0,1500400,0,0,0,0,100,0,148499500,0,0,148499600
1,2022-02-25,POLU,EQUITY,750000000.0,615,0,186500,0,0,1313900,0,0,0,0,1500400,0,0,0,0,100,0,148499500,0,0,148499600
2,2022-03-31,POLU,EQUITY,750000000.0,600,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
3,2022-04-28,POLU,EQUITY,750000000.0,590,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
4,2022-05-31,POLU,EQUITY,750000000.0,625,0,186500,0,0,1308800,0,0,0,0,1495300,0,0,0,0,5100,0,148499600,0,0,148504700
5,2022-06-30,POLU,EQUITY,750000000.0,690,0,186500,0,0,1308800,0,0,0,0,1495300,0,0,0,0,5100,0,148499600,0,0,148504700
6,2022-07-29,POLU,EQUITY,750000000.0,575,0,186500,0,0,1308800,0,0,0,0,1495300,0,0,0,0,5100,0,148499600,0,0,148504700
7,2022-08-31,POLU,EQUITY,750000000.0,468,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
8,2022-09-30,POLU,EQUITY,750000000.0,464,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
9,2022-10-31,POLU,EQUITY,750000000.0,505,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
10,2022-11-30,POLU,EQUITY,750000000.0,422,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
11,2022-12-30,POLU,EQUITY,750000000.0,286,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
12,2023-01-31,POLU,EQUITY,750000000.0,282,0,186500,0,0,1308900,0,0,0,0,1495400,0,0,0,0,5100,0,148499500,0,0,148504600
13,2023-02-28,POLU,EQUITY,750000000.0,264,0,186500,0,0,1308800,0,0,0,0,1495300,0,0,0,100,5100,0,148499500,0,0,148504700
14,2023-03-31,POLU,EQUITY,750000000.0,234,0,186500,0,0,1307900,0,0,0,0,1494400,0,0,0,1000,5100,0,148499500,0,0,148505600
15,2023-04-28,POLU,EQUITY,750000000.0,206,0,186500,0,0,1308200,0,0,0,0,1494700,0,0,0,700,5100,0,148499500,0,0,148505300
16,2023-05-31,POLU,EQUITY,750000000.0,288,0,186500,0,0,1307700,0,0,0,0,1494200,0,0,0,1200,5100,0,148499500,0,0,148505800
17,2023-06-27,POLU,EQUITY,750000000.0,250,0,186500,0,0,1308700,0,0,0,0,1495200,0,0,0,200,5100,0,148499500,0,0,148504800
18,2023-07-31,POLU,EQUITY,750000000.0,250,0,186500,0,0,1308700,0,0,0,0,1495200,0,0,0,200,5100,0,148499500,0,0,148504800
19,2023-08-31,POLU,EQUITY,750000000.0,250,0,186500,0,0,1308700,0,0,0,0,1495200,0,0,0,200,5100,0,148499500,0,0,148504800
20,2023-09-29,POLU,EQUITY,750000000.0,825,0,224500,0,0,1272300,0,0,0,0,1496800,0,0,0,100,3600,0,148499500,0,0,148503200
21,2023-10-31,POLU,EQUITY,750000000.0,825,0,186500,0,0,1310300,0,0,0,0,1496800,0,0,0,100,3600,0,148499500,0,0,148503200
22,2023-11-30,POLU,EQUITY,750000000.0,825,0,186500,0,0,1310300,0,0,0,0,1496800,0,0,0,100,3600,0,148499500,0,0,148503200
23,2023-12-29,POLU,EQUITY,750000000.0,825,0,186500,0,0,1310300,0,0,0,0,1496800,0,0,0,100,3600,0,148499500,0,0,148503200
