,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PORT,EQUITY,2813941985.0,640,0,2237125885,0,0,1169000,0,0,0,0,2238294885,0,242391600,0,148226000,0,0,184997300,0,32200,575647100
1,2022-02-25,PORT,EQUITY,2813941985.0,590,0,2237125885,0,0,1169200,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
2,2022-03-31,PORT,EQUITY,2813941985.0,600,0,2237159785,0,0,1135100,0,0,0,0,2238294885,0,242391600,0,148226000,0,0,184997300,0,32200,575647100
3,2022-04-28,PORT,EQUITY,2813941985.0,580,0,2237159785,0,0,1135300,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
4,2022-05-31,PORT,EQUITY,2813941985.0,595,0,2237159785,0,0,1135300,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
5,2022-06-30,PORT,EQUITY,2813941985.0,560,0,2237159785,0,0,1135300,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
6,2022-07-29,PORT,EQUITY,2813941985.0,575,0,2237159785,0,0,1135300,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
7,2022-08-31,PORT,EQUITY,2813941985.0,625,0,2237159785,0,0,1135300,0,0,0,0,2238295085,0,242391600,0,148225800,0,0,184997300,0,32200,575646900
8,2022-09-30,PORT,EQUITY,2813941985.0,670,0,2237150385,0,0,1144600,0,0,0,0,2238294985,0,242391600,0,148225900,0,0,184997300,0,32200,575647000
9,2022-10-31,PORT,EQUITY,2813941985.0,660,0,2237150385,0,0,1144600,0,0,0,0,2238294985,0,242391600,0,148225900,0,0,184997300,0,32200,575647000
10,2022-11-30,PORT,EQUITY,2813941985.0,985,0,2237125885,0,0,1168900,0,0,0,0,2238294785,0,242391600,0,148226100,0,0,184997300,0,32200,575647200
11,2022-12-30,PORT,EQUITY,2813941985.0,820,0,2237125885,0,0,1161100,0,0,0,0,2238286985,0,242391600,0,148233900,0,0,184997300,0,32200,575655000
12,2023-01-31,PORT,EQUITY,2813941985.0,825,0,2237125885,0,0,1160700,0,0,0,0,2238286585,0,242391600,0,148234300,0,0,184997300,0,32200,575655400
13,2023-02-28,PORT,EQUITY,2813941985.0,990,0,2237213385,0,0,1073000,0,0,0,0,2238286385,0,242391600,0,148234500,0,0,184997300,0,32200,575655600
14,2023-03-31,PORT,EQUITY,2813941985.0,930,0,2237213385,0,0,997000,0,0,0,0,2238210385,0,242391600,0,148310500,0,0,184997300,0,32200,575731600
15,2023-04-28,PORT,EQUITY,2813941985.0,955,0,2237213385,0,0,900100,0,0,0,0,2238113485,0,242391600,0,148407400,0,0,184997300,0,32200,575828500
16,2023-05-31,PORT,EQUITY,2813941985.0,985,0,2237213385,0,0,853100,0,0,0,0,2238066485,0,242391600,0,148454400,0,0,184997300,0,32200,575875500
17,2023-06-27,PORT,EQUITY,2813941985.0,1010,0,2237213385,0,0,930000,0,0,0,0,2238143385,0,242391600,0,148377500,0,0,184997300,0,32200,575798600
18,2023-07-31,PORT,EQUITY,2813941985.0,915,0,2237213385,0,0,1080500,0,0,0,0,2238293885,0,242391600,0,148227000,0,0,184997300,0,32200,575648100
19,2023-08-31,PORT,EQUITY,2813941985.0,805,0,2237213385,0,0,1072500,0,0,0,0,2238285885,0,242391600,0,148235000,0,0,184997300,0,32200,575656100
