,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PPGL,EQUITY,750021341.0,121,0,25000,0,0,749250341,0,0,0,0,749275341,0,0,0,0,206000,0,40000,0,0,246000
1,2022-02-25,PPGL,EQUITY,750021341.0,119,0,18600,0,0,749256741,0,0,0,0,749275341,0,0,0,0,206000,0,40000,0,0,246000
2,2022-03-31,PPGL,EQUITY,750021344.0,126,0,0,0,0,749255344,0,0,0,0,749255344,0,0,0,0,206000,0,60000,0,0,266000
3,2022-04-28,PPGL,EQUITY,750021541.0,144,0,0,0,0,749138741,0,0,0,0,749138741,0,0,0,0,322800,0,60000,0,0,382800
4,2022-05-31,PPGL,EQUITY,754136441.0,180,0,0,0,0,753353641,0,0,0,0,753353641,0,0,0,0,222800,0,60000,0,0,282800
5,2022-06-30,PPGL,EQUITY,768515417.0,147,0,0,0,0,767732617,0,0,0,0,767732617,0,0,0,0,222800,0,60000,0,0,282800
6,2022-07-29,PPGL,EQUITY,771178020.0,147,0,0,0,0,770395220,0,0,0,0,770395220,0,0,0,0,222800,0,60000,0,0,282800
7,2022-08-31,PPGL,EQUITY,771178020.0,128,0,0,0,0,770395220,0,0,0,0,770395220,0,0,0,0,222800,0,60000,0,0,282800
8,2022-09-30,PPGL,EQUITY,771178020.0,113,0,0,0,0,770495220,0,0,0,0,770495220,0,0,0,0,122800,0,60000,0,0,182800
9,2022-10-31,PPGL,EQUITY,771178020.0,112,0,0,0,0,770495220,0,0,0,0,770495220,0,0,0,0,122800,0,60000,0,0,182800
10,2022-11-30,PPGL,EQUITY,771178020.0,132,0,0,0,0,770555220,0,0,0,0,770555220,0,0,0,0,122800,0,0,0,0,122800
11,2022-12-30,PPGL,EQUITY,771178020.0,135,0,0,0,0,770555220,0,0,0,0,770555220,0,0,0,0,122800,0,0,0,0,122800
12,2023-01-31,PPGL,EQUITY,771178020.0,128,0,0,0,0,770555220,0,0,0,0,770555220,0,0,0,0,122800,0,0,0,0,122800
13,2023-02-28,PPGL,EQUITY,771178020.0,131,0,0,0,0,770552120,0,0,0,0,770552120,0,0,0,100,125800,0,0,0,0,125900
14,2023-03-31,PPGL,EQUITY,771178020.0,121,0,70000,0,0,770485020,0,0,0,0,770555020,0,0,0,100,122900,0,0,0,0,123000
15,2023-04-28,PPGL,EQUITY,771178020.0,123,0,70000,0,0,770484620,0,0,0,0,770554620,0,0,0,100,123300,0,0,0,0,123400
16,2023-05-31,PPGL,EQUITY,771178020.0,126,0,1644600,0,0,768910020,0,0,0,0,770554620,0,0,0,100,123300,0,0,0,0,123400
17,2023-06-27,PPGL,EQUITY,771178020.0,124,0,1104600,0,0,769450020,0,0,0,0,770554620,0,0,0,100,123300,0,0,0,0,123400
18,2023-07-31,PPGL,EQUITY,771178020.0,122,0,70000,0,0,770484620,0,0,0,0,770554620,0,0,0,100,123300,0,0,0,0,123400
19,2023-08-31,PPGL,EQUITY,771178020.0,102,0,70000,0,0,770454620,0,0,0,0,770524620,0,0,0,100,153300,0,0,0,0,153400
20,2023-09-29,PPGL,EQUITY,771178020.0,104,0,70500,0,0,770454120,0,0,0,0,770524620,0,0,0,100,153300,0,0,0,0,153400
21,2023-10-31,PPGL,EQUITY,771178020.0,101,0,70000,0,0,770454120,0,0,0,0,770524120,0,0,0,100,153800,0,0,0,0,153900
22,2023-11-30,PPGL,EQUITY,771178020.0,102,0,70000,0,0,770453920,0,0,0,0,770523920,0,0,0,100,154000,0,0,0,0,154100
23,2023-12-29,PPGL,EQUITY,771178020.0,102,0,70000,0,0,770453920,0,0,0,0,770523920,0,0,0,100,154000,0,0,0,0,154100
24,2024-01-31,PPGL,EQUITY,771178020.0,99,0,70000,0,0,770453920,0,0,0,0,770523920,0,0,0,100,154000,0,0,0,0,154100
25,2024-02-29,PPGL,EQUITY,771178020.0,89,0,70000,0,0,770453620,0,0,0,0,770523620,0,0,0,100,154300,0,0,0,0,154400
26,2024-03-28,PPGL,EQUITY,771178020.0,87,0,70000,0,0,770453620,0,0,0,0,770523620,0,0,0,100,154300,0,0,0,0,154400
27,2024-04-30,PPGL,EQUITY,771178020.0,94,0,70000,0,0,770453220,0,0,0,0,770523220,0,0,0,100,154700,0,0,0,0,154800
28,2024-05-31,PPGL,EQUITY,771178020.0,90,0,70000,0,0,770459220,0,0,0,0,770529220,0,0,0,100,148700,0,0,0,0,148800
29,2024-06-28,PPGL,EQUITY,771178020.0,93,0,70000,0,0,770459220,0,0,0,0,770529220,0,0,0,100,148700,0,0,0,0,148800
30,2024-07-31,PPGL,EQUITY,771178020.0,99,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
31,2024-08-30,PPGL,EQUITY,771178020.0,105,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
32,2024-09-30,PPGL,EQUITY,771178020.0,105,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
33,2024-10-31,PPGL,EQUITY,771178020.0,106,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
34,2024-11-29,PPGL,EQUITY,771178020.0,102,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
35,2024-12-30,PPGL,EQUITY,771178020.0,104,0,70000,0,0,770459020,0,0,0,0,770529020,0,0,0,100,148900,0,0,0,0,149000
