,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,197000000000,0,236000000000,183700000000,9300000000,39000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
1,2022-02-25,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,203000000000,0,236000000000,183700000000,9300000000,33000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
2,2022-03-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,203000000000,0,236000000000,183700000000,9300000000,33000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
3,2022-04-28,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,203000000000,0,241000000000,186700000000,9300000000,25000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
4,2022-05-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,203000000000,0,241000000000,186700000000,7950000000,25000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
5,2022-06-30,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,203000000000,0,241000000000,186700000000,7950000000,25000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
6,2022-07-29,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,153700000000,7950000000,43000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
7,2022-08-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,153700000000,7950000000,43000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
8,2022-09-30,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,153700000000,7950000000,43000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
9,2022-10-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,153700000000,7950000000,43000000000,0,19000000000,0,682650000000,0,0,0,2350000000,0,12000000000,0,0,0,14350000000
10,2022-11-30,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,155050000000,7950000000,43000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
11,2022-12-30,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,155050000000,7950000000,43000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
12,2023-01-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,0,241000000000,155050000000,7950000000,43000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
13,2023-02-28,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,18000000000,172000000000,155050000000,7950000000,94000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
14,2023-03-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,218000000000,18000000000,172000000000,155050000000,7950000000,94000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
15,2023-04-28,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,238000000000,18000000000,172000000000,135050000000,7950000000,94000000000,0,19000000000,0,684000000000,0,0,0,1000000000,0,12000000000,0,0,0,13000000000
16,2023-05-31,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,232000000000,18000000000,178000000000,135050000000,6680000000,94000000000,0,19000000000,0,682730000000,0,0,0,2270000000,0,12000000000,0,0,0,14270000000
17,2023-06-27,PPLN01BCN1,CORPORATE BOND,697000000000.0,1,232000000000,18000000000,178000000000,135050000000,6680000000,94000000000,0,19000000000,0,682730000000,0,0,0,2270000000,0,12000000000,0,0,0,14270000000
