,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-11-30,PRAY,EQUITY,13959422300.0,780,0,12606342200,10000,0,493653600,0,0,0,0,13100005800,0,731162100,0,30300,76400,128147700,0,0,0,859416500
1,2022-12-30,PRAY,EQUITY,13959422300.0,790,0,12638297100,10000,0,461726100,0,0,0,0,13100033200,0,731162100,0,100,79200,128147700,0,0,0,859389100
2,2023-01-31,PRAY,EQUITY,13959422300.0,880,0,12642640600,10000,0,457230100,0,0,0,0,13099880700,0,731162100,0,100,231700,128147700,0,0,0,859541600
3,2023-02-28,PRAY,EQUITY,13959422300.0,800,0,8932478243,20000,0,187215000,0,0,0,0,9119713243,0,4180791924,0,658884933,32200,0,0,0,0,4839709057
4,2023-03-31,PRAY,EQUITY,13959422300.0,780,0,8911770443,20000,0,208384700,0,0,0,100000,9120275143,0,4180222224,0,658892733,32200,0,0,0,0,4839147157
5,2023-04-28,PRAY,EQUITY,13959422300.0,755,0,8911770443,20000,0,208477300,0,0,0,0,9120267743,0,4180222224,0,658900233,32100,0,0,0,0,4839154557
6,2023-05-31,PRAY,EQUITY,13959422300.0,700,0,8911355443,20000,0,208891900,0,0,0,0,9120267343,0,4180222224,0,658900633,32100,0,0,0,0,4839154957
7,2023-06-27,PRAY,EQUITY,13959422300.0,710,0,2424140176,30000,0,208866200,0,0,0,0,2633036376,0,4180222224,0,658916333,32100,0,0,0,0,4839170657
8,2023-07-31,PRAY,EQUITY,13959422300.0,745,0,2423591276,30000,0,209382600,0,0,0,0,2633003876,0,4180222224,0,658963533,17400,0,0,0,0,4839203157
9,2023-08-31,PRAY,EQUITY,13959422300.0,720,0,2423511476,30000,0,209540800,0,0,0,0,2633082276,0,4180222224,0,658886533,16000,0,0,0,0,4839124757
10,2023-09-29,PRAY,EQUITY,13959422300.0,720,0,2423548076,30000,0,209453700,0,0,0,0,2633031776,0,4180222224,0,658937033,16000,0,0,0,0,4839175257
11,2023-10-31,PRAY,EQUITY,13959422300.0,705,0,2423507976,30000,0,209534100,0,0,0,0,2633072076,0,4180222224,0,658896733,16000,0,0,0,0,4839134957
12,2023-11-30,PRAY,EQUITY,13959422300.0,695,0,2423507976,30000,0,209532200,0,0,0,0,2633070176,0,4180222224,0,658898633,16000,0,0,0,0,4839136857
13,2023-12-29,PRAY,EQUITY,13959422300.0,705,0,2423507976,100000,0,209464300,0,0,0,0,2633072276,0,4180222224,0,658899133,13400,0,0,0,0,4839134757
14,2024-01-31,PRAY,EQUITY,13959422300.0,695,0,2423507976,75000,0,209490400,0,0,0,0,2633073376,0,4180222224,0,658898033,13400,0,0,0,0,4839133657
15,2024-02-29,PRAY,EQUITY,13959422300.0,690,0,2423507976,75000,0,209489800,0,0,0,0,2633072776,0,4180222224,0,658898633,13400,0,0,0,0,4839134257
16,2024-03-28,PRAY,EQUITY,13959422300.0,690,0,2423507976,75000,0,209482000,0,0,0,0,2633064976,0,4180222224,0,658906433,13400,0,0,0,0,4839142057
17,2024-04-30,PRAY,EQUITY,13959422300.0,670,0,2423507976,75000,0,209483600,0,0,0,0,2633066576,0,4180222224,0,658904833,13400,0,0,0,0,4839140457
18,2024-05-31,PRAY,EQUITY,13959422300.0,650,0,2423507976,84000,0,209489200,0,0,0,0,2633081176,0,4180222224,0,658891433,12200,0,0,0,0,4839125857
19,2024-06-28,PRAY,EQUITY,13959422300.0,605,0,2423507976,84000,0,209487600,0,0,0,0,2633079576,0,4180222224,0,658893033,12200,0,0,0,0,4839127457
20,2024-07-31,PRAY,EQUITY,13959422300.0,610,0,2423507976,84000,0,209487900,0,0,0,0,2633079876,0,4180222224,0,658892733,12200,0,0,0,0,4839127157
21,2024-08-30,PRAY,EQUITY,13959422300.0,615,0,2423506476,84000,0,209488000,0,0,0,0,2633078476,0,4180222224,0,658894133,12200,0,0,0,0,4839128557
22,2024-09-30,PRAY,EQUITY,13959422300.0,630,0,2423506476,84000,0,209484000,0,0,0,0,2633074476,0,4180222224,0,658898133,12200,0,0,0,0,4839132557
23,2024-10-31,PRAY,EQUITY,13959422300.0,615,0,2423506476,84000,0,209486000,0,0,0,0,2633076476,0,4180222224,0,658896133,12200,0,0,0,0,4839130557
24,2024-11-29,PRAY,EQUITY,13959422300.0,620,0,2423506376,84000,0,209478900,0,0,0,0,2633069276,0,4180222224,0,658903333,12200,0,0,0,0,4839137757
25,2024-12-30,PRAY,EQUITY,13959422300.0,665,0,2423506376,84000,0,209479800,0,0,0,0,2633070176,0,4180222224,0,658902433,12200,0,0,0,0,4839136857
