,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,2360000000,224945000000,4900000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,2360000000,224945000000,4900000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,4260000000,224945000000,3000000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,4260000000,224945000000,3000000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,4260000000,224945000000,3000000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,4160000000,224945000000,3100000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,7260000000,224945000000,0,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,5760000000,224945000000,1500000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,7260000000,224945000000,0,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,PSAB01CN7,CORPORATE BOND,257260000000.0,1,0,0,25055000000,0,5360000000,224945000000,1900000000,0,0,257260000000,0,0,0,0,0,0,0,0,0,0
