,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PTBA,EQUITY,11520659250.0,2850,527014176,283934897,125489450,4400000,1177470796,369363262,196368042,14689100,912300,2699642023,21600672,32289194,206551988,122564676,7129007,475617302,98208710,40792393,180920785,1185674727
1,2022-02-25,PTBA,EQUITY,11520659250.0,3140,439820876,282147209,126010550,4400000,1170762896,365021441,212775890,14603100,780500,2616322462,21600672,47935194,214425292,168753872,6011907,482646611,97834234,41234493,188552013,1268994288
2,2022-03-31,PTBA,EQUITY,11520659250.0,3290,399923876,273069409,115273450,4400000,1168415596,340540100,219665153,15060300,861800,2537209684,16862472,90339494,217961155,333828287,4554607,343590557,99308334,32303593,209358567,1348107066
3,2022-04-28,PTBA,EQUITY,11520659250.0,3820,389634176,259755309,112723850,4400000,1173432896,360616672,239078483,14690300,964500,2555296186,16862472,92886890,217278791,310267359,4324207,351755609,100931074,32303593,203410569,1330020564
4,2022-05-31,PTBA,EQUITY,11520659250.0,4530,378203576,249797109,115049050,4400000,1364467196,357245766,250265737,16611900,937000,2736977334,16889209,61794986,217427232,223884024,4700207,305900303,100771109,26312393,190659953,1148339416
5,2022-06-30,PTBA,EQUITY,11520659250.0,3820,396887076,258843909,111040850,4400000,1361068072,358157703,249335717,18149500,907200,2758790027,18280909,61060092,227573093,135768813,3808207,326480289,103210717,17124593,233220010,1126526723
6,2022-07-29,PTBA,EQUITY,11520659250.0,4300,467568976,249652109,84121350,4400000,1199826872,355126672,264694227,13442000,945800,2639778006,18173501,70442788,245207957,179866517,3784107,334105154,106467501,17124593,270366626,1245538744
7,2022-08-31,PTBA,EQUITY,11520659250.0,4250,465055376,238544309,78585150,4400000,1155063472,333354126,265802671,12348900,998800,2554152804,17948201,81763800,253186557,223902951,5562707,338778249,110050345,16862693,283108443,1331163946
8,2022-09-30,PTBA,EQUITY,11520659250.0,4170,493670876,242514409,72060550,4400000,1157534300,332318328,271299783,12529000,1048700,2587375946,17941651,94494737,263765215,176637729,5956807,351300539,107803097,15410393,264630636,1297940804
9,2022-10-31,PTBA,EQUITY,11520659250.0,3910,454795176,246825009,70482950,4400000,1212891500,262558714,293159265,12331700,847600,2558291914,16945651,57937117,267591885,192478631,6084507,397494871,106646950,15265393,266579831,1327024836
10,2022-11-30,PTBA,EQUITY,11520659250.0,3800,457661176,246610609,75549050,4400000,1183715500,226459280,308263133,10338700,523900,2513521348,17033451,61590737,297833005,161538366,3546307,408934068,109421741,16019093,295878634,1371795402
11,2022-12-30,PTBA,EQUITY,11520659250.0,3690,476213976,245676609,74524550,4400000,1174309000,224042205,314853717,10505600,871900,2525397557,17728151,58912213,297062154,141779604,3497007,414940483,121751643,16019093,288228845,1359919193
12,2023-01-31,PTBA,EQUITY,11520659250.0,3400,452634076,247448109,79374250,4400000,1191884900,227649693,324231171,8602500,520700,2536745399,17514051,58069159,295625395,135303455,3662007,416582446,118449146,16019093,287346599,1348571351
13,2023-02-28,PTBA,EQUITY,11520659250.0,3860,450370849,247647609,77917289,4400000,1175088800,216925792,322749659,7557900,516700,2503174598,17563051,61115769,296108495,144773443,3448907,418830671,122391795,16019093,301890928,1382142152
14,2023-03-31,PTBA,EQUITY,11520659250.0,3990,464783649,243256309,78655489,4400000,1106333900,249207178,316316937,7253400,950800,2471157662,16661051,51587879,283709757,130137821,5084507,460459584,124465948,15100493,326952048,1414159088
15,2023-04-28,PTBA,EQUITY,11520659250.0,4140,470090949,240056009,72618989,4400000,1403601300,281311449,1832195,7439600,1017800,2482368291,11563651,51821917,282889657,131995226,5775407,447186766,127667051,15100493,328948291,1402948459
16,2023-05-31,PTBA,EQUITY,11520659250.0,3060,438290649,240589309,89169689,4400000,1195857700,212659580,327612121,6895700,1304300,2516779048,11491451,51879345,282290158,104359604,5919907,442790121,127920756,15019793,326866567,1368537702
17,2023-06-27,PTBA,EQUITY,11520659250.0,2680,392650049,240564909,97228889,6000000,1720281000,174964124,1221997,8477600,1927800,2643316368,11233551,37385544,253414914,61381110,4988107,419194808,126830957,14824793,312746598,1242000382
18,2023-07-31,PTBA,EQUITY,11520659250.0,2770,385447849,244039409,98504089,6000000,1435368500,157540633,302929537,11173800,1320500,2642324317,10760951,43372444,256951083,66414562,9110807,432560944,104731156,15608893,303481593,1242992433
19,2023-08-31,PTBA,EQUITY,11520659250.0,2860,381516049,245558509,95114339,6000000,1405278700,191304880,277258730,10273100,940800,2613245107,10760951,47348644,256376724,76005548,11745307,437051125,106538356,15608893,310636095,1272071643
