,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PTSP,EQUITY,220808000.0,6025,9995800,83417166,0,0,1857500,0,0,0,0,95270466,0,5000000,0,120236434,6000,0,35200,0,0,125277634
1,2022-02-25,PTSP,EQUITY,220808000.0,5500,9995800,83431866,0,0,1842800,0,0,0,0,95270466,0,5000000,0,120236434,6000,0,35200,0,0,125277634
2,2022-03-31,PTSP,EQUITY,220808000.0,6000,9995800,83446566,0,0,1828100,0,0,0,0,95270466,0,5000000,0,120236434,6000,0,35200,0,0,125277634
3,2022-04-28,PTSP,EQUITY,220808000.0,4530,9995800,83446566,0,0,1828100,0,0,0,0,95270466,0,5000000,0,120236434,6000,0,35200,0,0,125277634
4,2022-05-31,PTSP,EQUITY,220808000.0,4040,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
5,2022-06-30,PTSP,EQUITY,220808000.0,3230,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
6,2022-07-29,PTSP,EQUITY,220808000.0,5150,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
7,2022-08-31,PTSP,EQUITY,220808000.0,4240,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
8,2022-09-30,PTSP,EQUITY,220808000.0,5100,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
9,2022-10-31,PTSP,EQUITY,220808000.0,3570,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
10,2022-11-30,PTSP,EQUITY,220808000.0,3330,9995800,83446566,0,0,1828600,0,0,0,0,95270966,0,5000000,0,116307434,6000,0,35200,0,3929000,125277634
11,2022-12-30,PTSP,EQUITY,220808000.0,3500,9988000,83446566,0,0,958900,0,0,0,877500,95270966,0,22020000,0,99287434,6000,0,35200,0,3929000,125277634
12,2023-01-31,PTSP,EQUITY,220808000.0,2500,9972500,83446566,0,0,992300,0,0,0,859600,95270966,0,22020000,0,99287434,6000,0,35200,0,3929000,125277634
13,2023-02-28,PTSP,EQUITY,220808000.0,2090,9972500,83527466,0,0,991200,0,0,0,779700,95270866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
14,2023-03-31,PTSP,EQUITY,220808000.0,1965,9972500,83707666,0,0,991400,0,0,0,599300,95270866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
15,2023-04-28,PTSP,EQUITY,220808000.0,1960,9972500,83777666,0,0,1007900,0,0,0,512800,95270866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
16,2023-05-31,PTSP,EQUITY,220808000.0,1840,9972200,83909366,0,0,1007200,0,0,0,382100,95270866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
17,2023-06-27,PTSP,EQUITY,220808000.0,1605,9942200,83959966,0,0,1006700,0,0,0,362000,95270866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
18,2023-07-31,PTSP,EQUITY,220808000.0,1770,9942200,83959966,0,0,1047000,0,0,0,361700,95310866,0,22020000,0,99287534,6000,0,35200,0,3929000,125277734
19,2023-08-31,PTSP,EQUITY,220808000.0,1780,9942200,83509966,0,0,1052600,0,0,0,0,94504766,0,22020000,0,100093634,6000,0,35200,0,3929000,126083834
20,2023-09-29,PTSP,EQUITY,220808000.0,1500,9942200,83509966,0,0,1051800,0,0,0,0,94503966,0,22020000,0,100094434,6000,0,35200,0,3929000,126084634
21,2023-10-31,PTSP,EQUITY,220808000.0,1565,9942200,83085766,0,0,1054300,0,0,0,0,94082266,0,22020000,0,100516134,6000,0,35200,0,3929000,126506334
22,2023-11-30,PTSP,EQUITY,220808000.0,5525,9942200,83085766,0,0,1054800,0,0,0,0,94082766,0,22020000,0,100516034,5600,0,35200,0,3929000,126505834
23,2023-12-29,PTSP,EQUITY,220808000.0,2590,9937300,82993966,0,0,1062600,0,0,0,0,93993866,0,22020000,0,100615134,5000,0,25600,0,3929000,126594734
24,2024-01-31,PTSP,EQUITY,220808000.0,2250,9904800,82425266,0,0,1089100,0,0,0,0,93419166,0,22020000,0,101189834,5000,0,25600,0,3929000,127169434
25,2024-02-29,PTSP,EQUITY,220808000.0,1345,9161700,81810766,0,0,1668600,0,0,0,0,92641066,0,22020000,0,101967934,5000,0,25600,0,3929000,127947534
26,2024-03-28,PTSP,EQUITY,220808000.0,1220,9142700,81723066,0,0,1682100,0,0,0,0,92547866,0,22020000,0,102061134,5000,0,25600,0,3929000,128040734
27,2024-04-30,PTSP,EQUITY,220808000.0,1215,8911800,81693066,0,0,1927200,0,0,0,0,92532066,0,22020000,0,102076934,5000,0,25600,0,3929000,128056534
28,2024-05-31,PTSP,EQUITY,220808000.0,900,8620300,81693066,0,0,2198700,0,0,0,0,92512066,0,22020000,0,102076934,25000,0,25600,0,3929000,128076534
29,2024-06-28,PTSP,EQUITY,220808000.0,975,8392000,81693066,0,0,2040800,0,0,0,0,92125866,0,22020000,0,102463134,25000,0,25600,0,3929000,128462734
30,2024-07-31,PTSP,EQUITY,220808000.0,960,8335400,81693066,0,0,2089200,0,0,0,0,92117666,0,22020000,0,102471334,25000,0,25600,0,3929000,128470934
31,2024-08-30,PTSP,EQUITY,220808000.0,1015,8089300,81693066,0,0,2338800,0,0,0,0,92121166,0,22020000,0,102467834,25000,0,25600,0,3929000,128467434
32,2024-09-30,PTSP,EQUITY,220808000.0,1110,7971800,81693066,0,0,2456300,0,0,0,0,92121166,0,22020000,0,102467834,25000,0,25600,0,3929000,128467434
33,2024-10-31,PTSP,EQUITY,220808000.0,955,6454300,81693066,0,0,3745300,0,1500,0,0,91894166,0,22020000,0,102694834,25000,0,25600,0,3929000,128694434
34,2024-11-29,PTSP,EQUITY,220808000.0,895,6441700,81693066,0,0,3578600,0,1500,0,0,91714866,0,22020000,0,102874134,25000,0,25600,0,3929000,128873734
35,2024-12-30,PTSP,EQUITY,220808000.0,865,6093900,81693066,0,0,3589700,0,1500,0,0,91378166,0,22020000,0,103210834,25000,0,25600,0,3929000,129210434
