,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PURA,EQUITY,5907145049.0,51,0,2626385980,0,0,3259210269,0,0,0,0,5885596249,0,1450000,0,400000,2398800,0,17300000,0,0,21548800
1,2022-02-25,PURA,EQUITY,5941264082.0,50,0,2645868880,0,0,3270716402,0,0,0,0,5916585282,0,1450000,0,400000,2528800,0,20300000,0,0,24678800
2,2022-03-31,PURA,EQUITY,5946264082.0,50,0,2646037180,0,0,3275498102,0,0,0,0,5921535282,0,1450000,0,400000,2578800,0,20300000,0,0,24728800
3,2022-04-28,PURA,EQUITY,5952264082.0,50,0,2641122180,0,0,3286413102,0,0,0,0,5927535282,0,1450000,0,400000,2578800,0,20300000,0,0,24728800
4,2022-05-31,PURA,EQUITY,5954264082.0,50,0,2641122180,0,0,3288403102,0,0,0,0,5929525282,0,1450000,0,400000,2588800,0,20300000,0,0,24738800
5,2022-06-30,PURA,EQUITY,5963695782.0,50,0,2644922280,0,0,3294034702,0,0,0,0,5938956982,0,1450000,0,400000,2588800,0,20300000,0,0,24738800
6,2022-07-29,PURA,EQUITY,5963695782.0,50,0,2642662180,0,0,3296284802,0,0,0,0,5938946982,0,1450000,0,400000,2598800,0,20300000,0,0,24748800
7,2022-08-31,PURA,EQUITY,5968695782.0,52,0,2638679880,0,0,3306792102,0,0,0,0,5945471982,0,0,0,400000,2523800,0,20300000,0,0,23223800
8,2022-09-30,PURA,EQUITY,5989424083.0,50,0,2642075980,0,0,3344099303,0,0,0,0,5986175283,0,0,0,400000,2548800,0,300000,0,0,3248800
9,2022-10-31,PURA,EQUITY,5999424083.0,50,0,2645846980,0,0,3350328303,0,0,0,0,5996175283,0,0,0,400000,2548800,0,300000,0,0,3248800
10,2022-11-30,PURA,EQUITY,5999424083.0,50,0,2645080080,0,0,3351095203,0,0,0,0,5996175283,0,0,0,400000,2548800,0,300000,0,0,3248800
11,2022-12-30,PURA,EQUITY,6057226083.0,50,0,2654519480,0,0,3399457703,0,0,0,100,6053977283,0,0,0,400000,2548800,0,300000,0,0,3248800
12,2023-01-31,PURA,EQUITY,6301930902.0,50,0,2731065280,0,0,3567616722,0,0,0,100,6298682102,0,0,0,400000,2548800,0,300000,0,0,3248800
13,2023-02-28,PURA,EQUITY,6301930902.0,50,0,2730843680,0,0,3567838222,0,0,0,100,6298682002,0,0,0,400100,2548800,0,300000,0,0,3248900
14,2023-03-31,PURA,EQUITY,6301930902.0,50,0,2730501680,0,0,3568180222,0,0,0,100,6298682002,0,0,0,400100,2548800,0,300000,0,0,3248900
15,2023-04-28,PURA,EQUITY,6301930902.0,50,0,2735214680,0,0,3563536422,0,0,0,100,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
16,2023-05-31,PURA,EQUITY,6301930902.0,50,0,2742681580,0,0,3556069522,0,0,0,100,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
17,2023-06-27,PURA,EQUITY,6301930902.0,50,0,2745387380,0,0,3553363722,0,0,0,100,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
18,2023-07-31,PURA,EQUITY,6301930902.0,50,0,2745667880,0,0,3553083222,0,0,0,100,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
19,2023-08-31,PURA,EQUITY,6301930902.0,50,0,2745549080,0,0,3553202022,0,0,0,100,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
20,2023-09-29,PURA,EQUITY,6301930902.0,50,0,2746486580,0,0,3552264522,0,100,0,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
21,2023-10-31,PURA,EQUITY,6301930902.0,50,0,2746586080,0,0,3552165022,0,100,0,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
22,2023-11-30,PURA,EQUITY,6301930902.0,50,0,2746586080,0,0,3552164122,0,1000,0,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
23,2023-12-29,PURA,EQUITY,6301930902.0,50,0,2746586080,0,0,3552164122,0,1000,0,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
24,2024-01-31,PURA,EQUITY,6301930902.0,50,0,2746686180,0,0,3552054022,0,1000,10000,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
25,2024-02-29,PURA,EQUITY,6301930902.0,50,0,2746686180,0,0,3552053922,0,1100,10000,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
26,2024-03-28,PURA,EQUITY,6301930902.0,34,0,2746686180,0,0,3552053922,0,1100,10000,0,6298751202,0,0,0,400100,2479600,0,300000,0,0,3179700
27,2024-04-30,PURA,EQUITY,6301930902.0,11,0,2747719080,0,0,3550991022,0,1100,10000,0,6298721202,0,0,0,400100,2509600,0,300000,0,0,3209700
28,2024-05-31,PURA,EQUITY,6301930902.0,9,0,2749519080,0,0,3549191222,0,900,10000,0,6298721202,0,0,0,400100,2509600,0,300000,0,0,3209700
