,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,PWON,EQUITY,48159602400.0,430,1131281050,8467819728,214875515,80600,1291894677,1348545780,6579928,45670800,2176200,12508924278,167423800,531263012,1458663173,1114795380,9391100,5315939107,542738276,422921455,1178848315,10741983618
1,2022-02-25,PWON,EQUITY,48159602400.0,458,932367050,8485226928,224477815,80600,1272651377,1331704068,5924400,44058600,2176200,12298667038,171391000,470946312,1910303298,1139553424,9559500,5436797320,549836774,25982655,1237870575,10952240858
2,2022-03-31,PWON,EQUITY,48159602400.0,484,839929650,8485270028,219822315,80600,1123815177,1516850568,5456037,41521100,2172200,12234917675,165382900,459126412,1948219898,823369118,12360700,5786003207,545854474,25717467,1249956045,11015990221
3,2022-04-28,PWON,EQUITY,48159602400.0,560,724661350,8472384628,210420815,80600,905069777,1284048093,2962436,42549900,2172200,11644349799,161415700,461389412,2009047295,938652052,9312100,6036196522,566844910,25390661,1398309445,11606558097
4,2022-05-31,PWON,EQUITY,48159602400.0,510,648967450,8472336828,209124315,80600,937253677,1175542921,4959643,42549900,2172200,11492987534,148599500,454084712,1944939465,1010746763,7366800,6093518084,563550330,22399345,1512715363,11757920362
5,2022-06-30,PWON,EQUITY,48159602400.0,472,659836050,8472013928,203809815,80600,1030891977,1024102175,4996331,42549900,2172200,11440452976,148599500,333858212,2046175812,1003534033,7402800,6148436466,567456630,20566862,1534424605,11810454920
6,2022-07-29,PWON,EQUITY,48159602400.0,456,647628350,8468461728,203814815,80600,1155538077,916080423,5029668,42549900,2172200,11441355761,148599500,336062912,2040557290,976146248,7433000,6169783532,555443086,20493062,1555033505,11809552135
7,2022-08-31,PWON,EQUITY,48159602400.0,484,741410550,8362405628,200591715,80600,1064666577,897714065,3262182,46830200,2172200,11319133717,148599500,335708412,2034510869,979367581,7323900,6210757826,581570733,20197718,1613737640,11931774179
8,2022-09-30,PWON,EQUITY,48159602400.0,452,831892150,8357767828,205786615,80600,1062710077,982450756,3742230,47253200,2173200,11493856656,132872100,316907112,2013896651,912383682,7326600,6201269365,576783812,19451218,1576168300,11757058840
9,2022-10-31,PWON,EQUITY,48159602400.0,438,858261350,8367534028,203813915,80600,1237893917,858809706,9252033,48052100,2173200,11585870849,132530400,320775112,1996323986,907439114,7418300,6149975794,552768444,19135341,1578809196,11665175687
10,2022-11-30,PWON,EQUITY,48159602400.0,474,859378750,8371860128,196235515,80600,1187032217,895298235,9311236,48052100,1200,11567249981,146420400,304926612,2009163599,924900185,7562100,6157031617,558182947,18436926,1557172169,11683796555
11,2022-12-30,PWON,EQUITY,48159602400.0,456,957869950,8369516028,191981415,80600,1159396817,865948609,7674533,48052100,1200,11600521252,163881600,311452612,2022405854,909882202,7487100,6085220799,558536592,18436926,1573237199,11650540884
12,2023-01-31,PWON,EQUITY,48159602400.0,448,988034150,8388419628,193331615,80600,1166780417,856553314,6446045,48052100,1200,11647699069,166939100,314603612,2024734630,919332191,7538800,6071803911,556947392,18327677,1525865754,11606093067
13,2023-02-28,PWON,EQUITY,48159602400.0,462,1002265350,8391061428,187242815,80600,1136976617,851661190,6503434,48052100,1200,11623844734,166939100,318384312,2015216825,917830081,7799100,6086914891,532714992,18262077,1565910024,11629971402
14,2023-03-31,PWON,EQUITY,48159602400.0,454,918363650,8389835828,183172315,80600,1171983717,876460983,6481144,48052100,1200,11594431537,168302600,320187012,1993983859,921466209,7977400,6066937552,532539804,17491941,1630513422,11659399799
15,2023-04-28,PWON,EQUITY,48159602400.0,486,852896950,8386183828,185166715,80600,986214017,1093038955,6953136,46933400,1200,11557468801,167158800,358451012,1986514617,926678867,7949200,5986328223,532508824,17223026,1713549966,11696362535
16,2023-05-31,PWON,EQUITY,48159602400.0,468,865939450,8383407428,191105515,80600,1014321497,1288191721,1113206,51108800,1200,11795269417,169914600,394162812,1928140017,906061447,8094100,5775316121,533459210,14801426,1728612186,11458561919
17,2023-06-27,PWON,EQUITY,48159602400.0,488,980642850,8383520428,185529515,1406700,971022197,1265833015,3742216,48701300,1200,11840399421,169914600,398462812,1990189635,906009219,7784400,5634392329,534258410,14801426,1757619084,11413431915
18,2023-07-31,PWON,EQUITY,48159602400.0,480,1037923550,8383736028,176086915,80600,986539797,1158690558,5978243,47019400,1200,11796056291,169590200,415342618,2005125935,928895486,7778700,5594596483,526541625,14609366,1795294632,11457775045
19,2023-08-31,PWON,EQUITY,48159602400.0,450,938349150,8383975528,176558215,2573300,1204049097,995347578,7389563,41313600,1200,11749557231,169590200,414563005,1998838135,889041988,7985300,5671237937,530682444,14609366,1807725730,11504274105
20,2023-09-29,PWON,EQUITY,48159602400.0,438,873476950,8390996828,178963915,2573300,1449108797,787401572,8825947,41313600,1200,11732662109,169590200,429083831,1925448775,892849103,8262800,5775297748,522081410,8440055,1790115305,11521169227
21,2023-10-31,PWON,EQUITY,48159602400.0,400,819026050,8388990728,181435215,2573300,1686509197,749294989,9787173,41313600,1200,11878931452,169590200,439955989,1910348132,912703324,8198100,5715241643,510852174,8440055,1699570267,11374899884
22,2023-11-30,PWON,EQUITY,48159602400.0,412,805651050,8391924628,177194615,2573300,1720699697,753744483,8612168,40465600,1200,11900866741,162402600,505798910,1879033149,880446588,8415100,5866448017,497201013,5979509,1547239709,11352964595
23,2023-12-29,PWON,EQUITY,48159602400.0,454,796280750,8398911528,166789415,2573300,1626707197,790194379,8526695,40465600,1200,11830450064,160899200,526402522,1845238489,852202434,8150000,5974607373,497061213,2201432,1556618609,11423381272
24,2024-01-31,PWON,EQUITY,48159602400.0,420,792916600,8397329728,166079215,3689300,1585154797,827912801,14837721,40465600,1200,11828386962,160899200,538139537,1775235453,797049192,8069900,6217737728,383806113,758200,1543749051,11425444374
25,2024-02-29,PWON,EQUITY,48159602400.0,406,762125300,8409445228,146554215,3689300,1689182397,693293581,13699757,40465600,481100,11758936478,160899200,499272737,1789625145,801108740,8106900,6318652356,384371213,758200,1532100367,11494894858
26,2024-03-28,PWON,EQUITY,48159602400.0,424,765928800,8415976628,173510015,3719300,1810236297,690927489,14134074,45163400,1200,11919597203,160899200,496594437,1788852645,811336440,8147900,6264625374,390903335,758200,1412116602,11334234133
27,2024-04-30,PWON,EQUITY,48159602400.0,402,851632400,8395359428,173072915,3689300,1745886197,790368477,27025229,46398000,1200,12033433146,157943900,542886185,1796156845,756243529,8014600,6254963428,386822592,758200,1316608911,11220398190
28,2024-05-31,PWON,EQUITY,48159602400.0,394,875329000,8416380028,187669615,3689300,1803173197,865544380,26358528,50712800,1200,12228858048,13318500,585000364,1829777245,666219009,8239000,6377031729,383669944,758200,1160959297,11024973288
29,2024-06-28,PWON,EQUITY,48159602400.0,366,929606400,8436872028,191604115,3689300,1809143741,873196536,27665624,53892600,1141200,12326811544,13874900,589521864,1821101645,658680909,8387700,6330398173,366534944,758200,1137761457,10927019792
30,2024-07-31,PWON,EQUITY,48159602400.0,426,1073103100,8408457228,188256015,3689300,1669716241,1066297613,26909605,52293200,3247200,12491969502,14384900,588671364,1703247237,697450217,10798400,6263036807,376702944,758200,1106811765,10761861834
31,2024-08-30,PWON,EQUITY,48159602400.0,476,1325361900,8390810228,172352415,80600,1203537941,1252024344,28049359,53743100,3247200,12429207087,14384900,580285864,1759997737,694186417,11075900,6217814310,368394744,758200,1177726177,10824624249
32,2024-09-30,PWON,EQUITY,48159602400.0,515,1332581100,8380845228,154694315,80600,1060706341,1192443842,29379238,48545600,3247100,12202523364,14384900,593406464,1828894222,677554819,11216500,6382795312,364420841,758200,1177876714,11051307972
33,2024-10-31,PWON,EQUITY,48159602400.0,478,1257325700,8386765428,151040615,80600,1113732541,1048977116,17155960,48327900,1414500,12024820360,12515500,608610864,1790534776,704479885,8742900,6545382385,353372920,758200,1204613546,11229010976
34,2024-11-29,PWON,EQUITY,48159602400.0,418,1196045700,8388019528,150635615,80600,1204389041,990703865,17628150,48327900,1414500,11997244899,12968000,537626230,1861913476,791854799,8759300,6517353116,358636870,758200,1166716446,11256586437
35,2024-12-30,PWON,EQUITY,48159602400.0,398,1213325800,8397253028,157417215,80600,1388881241,975326137,17338659,48327900,1414500,12199365080,12968000,484062078,1833726776,817101249,10060300,6425101364,349975043,758200,1120713246,11054466256
