,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,RBMS,EQUITY,2656212826.0,82,124303000,50812701,238000,0,2294132147,157670300,10039578,1594200,65000,2638854926,0,0,0,11542200,1201400,0,3009300,0,0,15752900
1,2022-02-25,RBMS,EQUITY,2656212826.0,64,124303000,53820401,238000,0,2305045047,157670300,10039578,1594200,65000,2652775526,0,0,0,521600,1301400,0,9300,0,0,1832300
2,2022-03-31,RBMS,EQUITY,2656212826.0,67,124303000,54962701,238000,0,2276100947,157670300,10039578,1594200,65000,2624973726,0,0,0,28273400,1351400,0,9300,0,0,29634100
3,2022-04-28,RBMS,EQUITY,2656212826.0,59,124303000,59591601,238000,0,2299649647,157670300,10039578,1594200,65000,2653151326,0,0,0,15100,1441400,0,0,0,0,1456500
4,2022-05-31,RBMS,EQUITY,2656212826.0,58,124303000,63480801,238000,0,2295520647,157670300,10038078,1594200,65000,2652910026,0,0,0,206400,1491400,0,0,0,0,1697800
5,2022-06-30,RBMS,EQUITY,2656212826.0,51,124303000,69507901,248500,0,2289504047,157670300,10038078,1594200,65000,2652931026,0,0,0,144900,1542400,0,0,0,0,1687300
6,2022-07-29,RBMS,EQUITY,2656212826.0,51,124303000,70050901,248500,0,2289490847,157670300,10038078,1594200,65000,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
7,2022-08-31,RBMS,EQUITY,2656212826.0,50,124303000,73283001,248500,0,2286258747,157670300,10038078,1594200,65000,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
8,2022-09-30,RBMS,EQUITY,2656212826.0,53,124303000,72845501,248500,0,2286696247,157670300,10038078,1659200,0,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
9,2022-10-31,RBMS,EQUITY,2656212826.0,50,124303000,69345501,248500,0,2290196247,157670300,10038078,1659200,0,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
10,2022-11-30,RBMS,EQUITY,2656212826.0,50,124303000,69401701,248500,0,2288477148,157670300,10038177,1659200,1662800,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
11,2022-12-30,RBMS,EQUITY,2656212826.0,50,124303000,69401701,248500,0,2242663948,157670300,10038177,1659200,47476000,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
12,2023-01-31,RBMS,EQUITY,2656212826.0,50,124303000,69401701,248500,0,2242663948,157670300,10038177,1659200,47476000,2653460826,0,0,0,15100,1142400,0,0,0,0,1157500
13,2023-02-28,RBMS,EQUITY,2656212826.0,50,124303000,69401701,248500,0,2242663848,157670300,10038177,1659200,47476000,2653460726,0,0,0,15200,1142400,0,0,0,0,1157600
