,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,REAL,EQUITY,6633610151.0,61,0,886276400,0,0,1911558651,0,100000,0,0,2797935051,0,2496600,0,1686800,1424400,0,577427300,0,0,583035100
1,2022-02-25,REAL,EQUITY,6633610151.0,56,0,886221900,0,0,1914316251,0,100000,0,0,2800638151,0,2496600,0,15100,1530400,0,576289900,0,0,580332000
2,2022-03-31,REAL,EQUITY,6633610151.0,50,0,886809800,0,0,2035140751,0,200000,0,0,2922150551,0,2496600,0,15100,1663700,0,454644200,0,0,458819600
3,2022-04-28,REAL,EQUITY,6633610151.0,50,0,888069800,0,0,2033570151,0,200000,500,0,2921840451,0,2496600,0,369200,1663700,0,454600200,0,0,459129700
4,2022-05-31,REAL,EQUITY,6633610151.0,50,0,888069800,0,0,2033569651,0,200000,500,0,2921839951,0,2496600,0,369700,1663700,0,454600200,0,0,459130200
5,2022-06-30,REAL,EQUITY,6633610151.0,50,0,888069800,0,0,2033569651,0,200000,500,0,2921839951,0,2496600,0,369700,1663700,0,454600200,0,0,459130200
6,2022-07-29,REAL,EQUITY,6633610151.0,50,0,888069800,0,0,2033569651,0,200000,500,0,2921839951,0,2496600,0,369700,1663700,0,454600200,0,0,459130200
7,2022-08-31,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2028737951,0,200000,500,0,2921864851,0,2496600,0,344800,1663700,0,454600200,0,0,459105300
8,2022-09-30,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2029037951,0,200000,500,0,2922164851,0,2496600,0,344800,1363700,0,454600200,0,0,458805300
9,2022-10-31,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2029034951,0,203000,500,0,2922164851,0,2496600,0,344800,1363700,0,454600200,0,0,458805300
10,2022-11-30,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2029034951,0,203000,500,0,2922164851,0,2496600,0,344800,1363700,0,454600200,0,0,458805300
11,2022-12-30,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2029034951,0,203000,500,0,2922164851,0,2496600,0,344800,1363700,0,454600200,0,0,458805300
12,2023-01-31,REAL,EQUITY,6633610151.0,50,0,892926400,0,0,2029034951,0,203000,500,0,2922164851,0,2496600,0,344800,1363700,0,454600200,0,0,458805300
13,2023-02-28,REAL,EQUITY,6633610151.0,50,0,893203100,0,0,2028758151,0,203000,500,0,2922164751,0,2496600,0,344900,1363700,0,454600200,0,0,458805400
14,2023-03-31,REAL,EQUITY,6633610151.0,50,0,893203100,0,0,2028758151,0,203000,500,0,2922164751,0,2496600,0,344900,1363700,0,454600200,0,0,458805400
15,2023-04-28,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029100051,0,203000,500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
16,2023-05-31,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029100051,0,203000,500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
17,2023-06-27,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029100051,0,203000,500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
18,2023-07-31,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029100051,0,203000,500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
19,2023-08-31,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029100051,0,203000,500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
20,2023-09-29,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029070051,0,203000,30500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
21,2023-10-31,REAL,EQUITY,6633610151.0,50,0,893207100,0,0,2029070051,0,203000,30500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
22,2023-11-30,REAL,EQUITY,6633610151.0,45,0,893207100,0,0,2029068851,0,204200,30500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
23,2023-12-29,REAL,EQUITY,6633610151.0,9,0,893207100,0,0,2029068851,0,204200,30500,0,2922510651,0,2496600,0,344900,1017800,0,454600200,0,0,458459500
24,2024-01-31,REAL,EQUITY,6633610151.0,9,0,893207100,0,0,2029418851,0,204200,30500,0,2922860651,0,2496600,0,344900,1017800,0,454250200,0,0,458109500
25,2024-02-29,REAL,EQUITY,6633610151.0,8,0,893307600,0,0,2029318351,0,204200,30500,0,2922860651,0,2496600,0,344900,1017800,0,454250200,0,0,458109500
26,2024-03-28,REAL,EQUITY,6633610151.0,5,0,893207600,0,0,2029418351,0,204200,30500,0,2922860651,0,2496600,0,344900,1017800,0,454250200,0,0,458109500
27,2024-04-30,REAL,EQUITY,6633610151.0,6,0,893207600,0,0,2029433451,0,204200,30500,0,2922875751,0,2496600,0,329800,1017800,0,454250200,0,0,458094400
28,2024-05-31,REAL,EQUITY,6633610151.0,6,0,893457600,0,0,2029367651,0,20000,30500,0,2922875751,0,2496600,0,329800,1017800,0,454250200,0,0,458094400
29,2024-06-28,REAL,EQUITY,6633610151.0,6,0,893227600,0,0,2029597651,0,20000,30500,0,2922875751,0,2496600,0,329800,1017800,0,454250200,0,0,458094400
30,2024-07-31,REAL,EQUITY,6633610151.0,8,0,892987600,0,0,2029837651,0,20000,30500,0,2922875751,0,2496600,0,329800,1017800,0,454250200,0,0,458094400
31,2024-08-30,REAL,EQUITY,6633610151.0,12,0,892987600,0,0,2029837751,0,20000,30500,0,2922875851,0,2496600,0,329800,1017700,0,454250200,0,0,458094300
32,2024-09-30,REAL,EQUITY,6633610151.0,9,0,892987600,0,0,2029837751,0,20000,30500,0,2922875851,0,2496600,0,329800,1017700,0,454250200,0,0,458094300
33,2024-10-31,REAL,EQUITY,6633610151.0,8,0,892987600,0,0,2029837751,0,20000,30500,0,2922875851,0,2496600,0,329800,1017700,0,454250200,0,0,458094300
34,2024-11-29,REAL,EQUITY,6633610151.0,8,0,892987600,0,0,2029837751,0,20000,30500,0,2922875851,0,2496600,0,329800,1017700,0,454250200,0,0,458094300
35,2024-12-30,REAL,EQUITY,6633610151.0,8,0,892987600,0,0,2029837751,0,20000,30500,0,2922875851,0,2496600,0,329800,1017700,0,454250200,0,0,458094300
