,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-02-25,REFI01A,CORPORATE BOND,100000000000.0,1,0,0,0,550000000,2260000000,2000000000,95190000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
1,2022-03-31,REFI01A,CORPORATE BOND,100000000000.0,1,0,150000000,0,500000000,2610000000,2000000000,94740000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
2,2022-04-28,REFI01A,CORPORATE BOND,100000000000.0,1,0,650000000,0,400000000,3820000000,2400000000,92730000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
3,2022-05-31,REFI01A,CORPORATE BOND,100000000000.0,1,0,650000000,0,350000000,4520000000,2400000000,92080000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
4,2022-06-30,REFI01A,CORPORATE BOND,100000000000.0,1,0,830000000,0,0,4870000000,2400000000,91900000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
5,2022-07-29,REFI01A,CORPORATE BOND,100000000000.0,1,0,830000000,0,0,2870000000,2100000000,94200000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
6,2022-08-31,REFI01A,CORPORATE BOND,100000000000.0,1,0,830000000,0,0,4950000000,2500000000,91720000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
7,2022-09-30,REFI01A,CORPORATE BOND,100000000000.0,1,0,830000000,0,0,4950000000,3000000000,91220000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
8,2022-10-31,REFI01A,CORPORATE BOND,100000000000.0,1,0,1030000000,0,0,5350000000,2600000000,91020000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
9,2022-11-30,REFI01A,CORPORATE BOND,100000000000.0,1,0,1030000000,0,0,5340000000,2600000000,91030000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
10,2022-12-30,REFI01A,CORPORATE BOND,100000000000.0,1,0,530000000,0,0,5340000000,1500000000,92630000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
11,2023-01-31,REFI01A,CORPORATE BOND,100000000000.0,1,0,530000000,0,0,5140000000,0,94330000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
