,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-02-25,REFI01B,CORPORATE BOND,100000000000.0,1,10000000000,0,0,150000000,30130000000,0,59720000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
1,2022-03-31,REFI01B,CORPORATE BOND,100000000000.0,1,10000000000,0,0,150000000,30310000000,0,59540000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
2,2022-04-28,REFI01B,CORPORATE BOND,100000000000.0,1,20000000000,0,0,150000000,30510000000,0,49340000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
3,2022-05-31,REFI01B,CORPORATE BOND,100000000000.0,1,20000000000,0,0,150000000,31260000000,0,48590000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
4,2022-06-30,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,100000000,35610000000,0,34040000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
5,2022-07-29,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,40000000,34710000000,0,35000000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
6,2022-08-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,40000000,35310000000,0,34400000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
7,2022-09-30,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,36110000000,0,33640000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
8,2022-10-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,36460000000,0,33290000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
9,2022-11-30,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,36560000000,0,33190000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
10,2022-12-30,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,36560000000,0,33190000000,0,250000000,100000000000,0,0,0,0,0,0,0,0,0,0
11,2023-01-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,38460000000,0,31190000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
12,2023-02-28,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,39610000000,0,30040000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
13,2023-03-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,39650000000,0,30000000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
14,2023-04-28,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,39650000000,0,30000000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
15,2023-05-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,0,0,0,39650000000,0,30000000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
16,2023-06-27,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,20000000,0,0,41150000000,0,28480000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
17,2023-07-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,20000000,0,0,41100000000,0,28530000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
18,2023-08-31,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,20020000000,0,0,41240000000,0,8390000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
19,2023-09-29,REFI01B,CORPORATE BOND,100000000000.0,1,30000000000,20020000000,0,0,41240000000,0,8390000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
20,2023-10-31,REFI01B,CORPORATE BOND,100000000000.0,1,20000000000,20020000000,0,0,41340000000,0,18290000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
21,2023-11-30,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,20000000,0,0,41500000000,0,18130000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
22,2023-12-29,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,20000000,0,0,41500000000,0,18130000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
23,2024-01-31,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,20000000,0,0,42000000000,0,17630000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
24,2024-02-29,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,20000000,0,0,42000000000,0,17630000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
25,2024-03-28,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,20000000,0,0,41670000000,0,17960000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
26,2024-04-30,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,0,0,0,41910000000,0,17740000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
27,2024-05-31,REFI01B,CORPORATE BOND,100000000000.0,1,40000000000,0,0,0,41380000000,0,18270000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
28,2024-06-28,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,41650000000,0,58000000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
29,2024-07-31,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,42210000000,0,57440000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
30,2024-08-30,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,40360000000,0,59290000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
31,2024-09-30,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,40120000000,0,59530000000,0,350000000,100000000000,0,0,0,0,0,0,0,0,0,0
32,2024-10-31,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,39590000000,0,60410000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
33,2024-11-29,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,34590000000,0,65410000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
34,2024-12-30,REFI01B,CORPORATE BOND,100000000000.0,1,0,0,0,0,34190000000,0,65810000000,0,0,100000000000,0,0,0,0,0,0,0,0,0,0
