,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,RIGS,EQUITY,609130000.0,330,0,490604500,1025000,0,88421850,0,555000,0,0,580606350,0,20100,0,3833700,377300,0,21941130,0,170,26172400
1,2022-02-25,RIGS,EQUITY,609130000.0,324,0,490604530,1025000,0,87100350,0,555000,0,0,579284880,0,20100,0,5152200,380300,0,21941100,0,170,27493870
2,2022-03-31,RIGS,EQUITY,609130000.0,338,0,490604530,1025000,0,87028850,0,555000,0,0,579213380,0,20100,0,5223700,380300,0,21941100,0,170,27565370
3,2022-04-28,RIGS,EQUITY,609130000.0,364,0,490604530,1025000,0,87028950,0,555000,0,0,579213480,0,20100,0,5223700,380200,0,21941100,0,170,27565270
4,2022-05-31,RIGS,EQUITY,609130000.0,565,0,490604530,1025000,0,87029050,0,555000,0,0,579213580,0,20100,0,5223700,380100,0,21941100,0,170,27565170
5,2022-06-30,RIGS,EQUITY,609130000.0,630,0,490604530,200000,0,87900450,0,555000,0,0,579259980,0,20100,0,5223700,377100,0,21897700,0,170,27518770
6,2022-07-29,RIGS,EQUITY,609130000.0,630,0,490604530,0,0,88039250,0,555000,0,0,579198780,0,20000,0,5282900,379100,0,21897800,0,170,27579970
7,2022-08-31,RIGS,EQUITY,609130000.0,750,0,491484530,0,0,83582150,0,555000,0,0,575621680,0,20000,0,8892000,377100,0,21897800,0,170,31187070
8,2022-09-30,RIGS,EQUITY,609130000.0,600,0,492051930,0,0,83177150,0,555000,0,0,575784080,0,20000,0,9023400,372100,0,21609000,0,170,31024670
9,2022-10-31,RIGS,EQUITY,609130000.0,580,0,492258430,0,0,83042950,0,555000,0,0,575856380,0,20000,0,8961100,372100,0,21609000,0,170,30962370
10,2022-11-30,RIGS,EQUITY,609130000.0,520,0,492206830,0,0,83151050,0,555000,0,0,575912880,0,20000,0,8904600,372100,0,21609000,0,170,30905870
11,2022-12-30,RIGS,EQUITY,609130000.0,505,0,491736430,0,0,83171450,0,555000,0,450000,575912880,0,20000,0,8904600,372100,0,21609000,0,170,30905870
