,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-07-31,RMKO,EQUITY,1250000000.0,560,0,1918600,800,0,244242000,0,3724800,800,0,249887000,0,0,0,0,112200,0,0,0,800,113000
1,2023-08-31,RMKO,EQUITY,1250000000.0,338,0,7181100,0,0,229940000,10058300,2163000,0,0,249342400,0,0,0,3400,654200,0,0,0,0,657600
2,2023-09-29,RMKO,EQUITY,1250000000.0,302,0,7115500,0,0,229504100,10558300,2160000,0,0,249337900,0,0,0,260100,402000,0,0,0,0,662100
3,2023-10-31,RMKO,EQUITY,1250000000.0,262,0,5898000,0,0,230657000,10558300,1907000,0,0,249020300,0,0,0,921100,58600,0,0,0,0,979700
4,2023-11-30,RMKO,EQUITY,1250000000.0,272,0,6035800,0,0,231022700,10558300,1605500,0,0,249222300,0,0,0,720800,56900,0,0,0,0,777700
5,2023-12-29,RMKO,EQUITY,1250000000.0,268,0,5522200,0,0,231717200,10558300,1205500,0,0,249003200,0,0,0,934900,61900,0,0,0,0,996800
6,2024-01-31,RMKO,EQUITY,1250000000.0,258,0,6122200,0,0,231295900,10558300,1205500,0,0,249181900,0,0,0,755300,62800,0,0,0,0,818100
7,2024-02-29,RMKO,EQUITY,1250000000.0,228,0,6122200,0,0,230670400,10558300,1205500,0,0,248556400,0,0,0,630700,812900,0,0,0,0,1443600
8,2024-03-28,RMKO,EQUITY,1250000000.0,208,0,6122200,0,0,230713900,10558300,1205500,0,0,248599900,0,0,0,452200,947900,0,0,0,0,1400100
9,2024-04-30,RMKO,EQUITY,1250000000.0,202,0,6122200,0,0,230681000,10558300,1205500,0,0,248567000,0,0,0,485100,947900,0,0,0,0,1433000
10,2024-05-31,RMKO,EQUITY,1250000000.0,200,0,6122200,0,0,230769900,10558300,1205500,0,0,248655900,0,0,0,400900,943200,0,0,0,0,1344100
11,2024-06-28,RMKO,EQUITY,1250000000.0,208,0,6122200,0,0,231099100,10558300,1205500,0,0,248985100,0,0,0,71700,943200,0,0,0,0,1014900
12,2024-07-31,RMKO,EQUITY,1250000000.0,218,0,6122200,0,0,230954700,10558300,1205500,0,0,248840700,0,0,0,216100,943200,0,0,0,0,1159300
13,2024-08-30,RMKO,EQUITY,1250000000.0,236,0,6272200,0,0,227658100,10558300,2205500,0,0,246694100,0,0,0,279200,3026700,0,0,0,0,3305900
14,2024-09-30,RMKO,EQUITY,1250000000.0,202,0,5934400,0,0,226140100,10558300,2205500,0,0,244838300,0,0,0,955500,4206200,0,0,0,0,5161700
15,2024-10-31,RMKO,EQUITY,1250000000.0,200,0,6103800,0,0,225951100,10558300,2205500,0,0,244818700,0,0,0,975200,4206100,0,0,0,0,5181300
16,2024-11-29,RMKO,EQUITY,1250000000.0,143,0,6103800,0,0,226309400,10558300,2205500,0,0,245177000,0,0,0,616900,4206100,0,0,0,0,4823000
17,2024-12-30,RMKO,EQUITY,1250000000.0,147,0,6103800,0,0,225577100,10558300,2205500,0,0,244444700,0,0,0,1351000,4204300,0,0,0,0,5555300
