,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,RODA,EQUITY,13592128209.0,80,755811832,13862774,5012495,0,12539957948,25146133,10464677,251919,0,13350507778,0,0,0,0,241517431,0,103000,0,0,241620431
1,2022-02-25,RODA,EQUITY,13592128209.0,85,755811832,13862774,5012495,0,12539957948,25146133,10464677,251919,0,13350507778,0,0,0,0,241517431,0,103000,0,0,241620431
2,2022-03-31,RODA,EQUITY,13592128209.0,80,755811832,13862474,5012495,0,12539958248,25146133,10464677,251919,0,13350507778,0,0,0,0,241517431,0,103000,0,0,241620431
3,2022-04-28,RODA,EQUITY,13592128209.0,69,755811832,13862474,5012495,0,12539958248,25146133,10464677,251919,0,13350507778,0,0,0,0,241517431,0,103000,0,0,241620431
4,2022-05-31,RODA,EQUITY,13592128209.0,96,755811832,13862474,5012495,0,12540070486,25030995,10464677,251919,0,13350504878,0,0,0,900,241519431,0,103000,0,0,241623331
5,2022-06-30,RODA,EQUITY,13592128209.0,89,658640732,13817274,5012495,0,12540152144,122165637,10464677,251919,0,13350504878,0,0,0,900,241519431,0,103000,0,0,241623331
6,2022-07-29,RODA,EQUITY,13592128209.0,87,658640732,13817274,5012495,0,12540152344,122165637,10464677,251919,0,13350505078,0,0,0,700,241519431,0,103000,0,0,241623131
7,2022-08-31,RODA,EQUITY,13592128209.0,88,658640732,13817274,5012495,0,12540152644,122165637,10464677,251919,0,13350505378,0,0,0,400,241519431,0,103000,0,0,241622831
8,2022-09-30,RODA,EQUITY,13592128209.0,77,76910732,595547274,5012495,0,12540152544,122165637,10464677,251919,0,13350505278,0,0,0,500,241519431,0,103000,0,0,241622931
9,2022-10-31,RODA,EQUITY,13592128209.0,75,76910732,595547274,5012495,0,12540105844,122165637,10464677,251919,0,13350458578,0,0,0,47200,241519431,0,103000,0,0,241669631
10,2022-11-30,RODA,EQUITY,13592128209.0,72,76910732,595668433,5012495,0,12536534817,122044478,10464677,251919,3571027,13350458578,0,0,0,47200,241519431,0,103000,0,0,241669631
11,2022-12-30,RODA,EQUITY,13592128209.0,57,76910732,111957435,5012495,0,12536482666,24016176,10464677,251919,3632478,12768728578,0,0,0,47200,241519431,0,103000,0,581730000,823399631
12,2023-01-31,RODA,EQUITY,13592128209.0,59,76910732,14786335,5012495,0,12540115066,24016176,10464677,251919,78,12671557478,0,0,0,47200,241519431,0,103000,0,678901100,920570731
13,2023-02-28,RODA,EQUITY,13592128209.0,57,76910732,14786335,5012495,0,12540114966,24016176,10464677,251919,78,12671557378,0,0,0,47300,241519431,0,103000,0,678901100,920570831
14,2023-03-31,RODA,EQUITY,13592128209.0,55,76910732,14786335,5012495,0,12540114966,24016176,10464677,251919,78,12671557378,0,0,0,47300,241519431,0,103000,0,678901100,920570831
15,2023-04-28,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12539932866,24016176,10464677,251919,78,12671375278,0,0,0,279500,241519431,0,52900,0,678901100,920752931
16,2023-05-31,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12539932866,24016176,10464677,251919,78,12671375278,0,0,0,279500,241519431,0,52900,0,678901100,920752931
17,2023-06-27,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12539957466,24016176,10464677,251919,78,12671399878,0,0,0,254900,241519431,0,52900,0,678901100,920728331
18,2023-07-31,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12540212266,24016176,10464677,251919,78,12671654678,0,0,0,100,241519431,0,52900,0,678901100,920473531
19,2023-08-31,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12540165966,24016176,10464677,251919,78,12671608378,0,0,0,46400,241519431,0,52900,0,678901100,920519831
20,2023-09-29,RODA,EQUITY,13592128209.0,50,76910732,14786335,5012495,0,12540075166,24016176,10464677,251919,78,12671517578,0,0,0,137200,241519431,0,52900,0,678901100,920610631
21,2023-10-31,RODA,EQUITY,13592128209.0,54,75705309,14786335,4800095,0,12541531266,24016176,10464800,251919,78,12671555978,0,0,0,98800,241519431,0,52900,0,678901100,920572231
22,2023-11-30,RODA,EQUITY,13592128209.0,51,75705309,14786335,4800095,0,12542583866,24016176,9309900,251919,78,12671453678,0,0,0,201100,241519431,0,52900,0,678901100,920674531
23,2023-12-29,RODA,EQUITY,13592128209.0,50,75705309,14786335,4800095,0,12542685766,24016176,9309900,251919,78,12671555578,0,0,0,99200,241519431,0,52900,0,678901100,920572631
24,2024-01-31,RODA,EQUITY,13592128209.0,50,75705309,14786335,4800095,0,12542754266,24016176,9309900,251919,78,12671624078,0,0,0,30700,241519431,0,52900,0,678901100,920504131
25,2024-02-29,RODA,EQUITY,13592128209.0,50,75705309,14786335,4800095,0,12542782766,24016176,9309900,251919,78,12671652578,0,0,0,2200,241519431,0,52900,0,678901100,920475631
26,2024-03-28,RODA,EQUITY,13592128209.0,34,75705309,14786335,4800095,0,12542784866,24016176,9309900,251919,78,12671654678,0,0,0,100,241519431,0,52900,0,678901100,920473531
