,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,RONY,EQUITY,1250000000.0,800,0,0,0,0,250000000,0,0,0,0,250000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,RONY,EQUITY,1250000000.0,800,0,0,0,0,7500000,0,0,0,0,7500000,0,0,0,0,0,0,0,0,242500000,242500000
12,2023-01-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,7500000,0,0,0,0,7500000,0,0,0,0,0,0,0,0,242500000,242500000
13,2023-02-28,RONY,EQUITY,1250000000.0,800,0,0,0,0,7500000,0,0,0,0,7500000,0,0,0,0,0,0,0,0,242500000,242500000
14,2023-03-31,RONY,EQUITY,1250000000.0,800,0,0,0,0,457500000,0,0,0,0,457500000,0,0,0,0,0,0,0,0,242500000,242500000
15,2023-04-28,RONY,EQUITY,1250000000.0,800,0,550000000,0,0,457500000,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
16,2023-05-31,RONY,EQUITY,1250000000.0,800,0,550000000,0,0,457500000,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
17,2023-06-27,RONY,EQUITY,1250000000.0,800,0,550000000,0,0,457500000,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
18,2023-07-31,RONY,EQUITY,1250000000.0,800,0,550000000,0,0,457500000,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
19,2023-08-31,RONY,EQUITY,1250000000.0,540,0,550000000,0,0,457500000,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
20,2023-09-29,RONY,EQUITY,1250000000.0,388,0,550002900,0,0,457497100,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
21,2023-10-31,RONY,EQUITY,1250000000.0,380,0,550002900,0,0,457497100,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
22,2023-11-30,RONY,EQUITY,1250000000.0,238,0,1000002800,0,0,7497200,0,0,0,0,1007500000,0,0,0,0,0,0,0,0,242500000,242500000
23,2023-12-29,RONY,EQUITY,1250000000.0,306,0,1000002800,0,0,7467100,0,0,0,0,1007469900,0,0,0,28900,1200,0,0,0,242500000,242530100
24,2024-01-31,RONY,EQUITY,1250000000.0,292,0,1181877800,0,0,7484100,0,0,0,0,1189361900,0,0,0,6900,6200,0,0,0,60625000,60638100
25,2024-02-29,RONY,EQUITY,1250000000.0,280,0,1181877800,0,0,7484100,0,0,0,0,1189361900,0,0,0,7300,5800,0,0,0,60625000,60638100
26,2024-03-28,RONY,EQUITY,1250000000.0,278,0,1181877800,0,0,7496400,0,0,0,0,1189374200,0,0,0,0,800,0,0,0,60625000,60625800
27,2024-04-30,RONY,EQUITY,1250000000.0,228,0,1181877800,0,0,7493800,0,0,0,0,1189371600,0,0,0,2600,800,0,0,0,60625000,60628400
28,2024-05-31,RONY,EQUITY,1250000000.0,226,0,1186874800,0,0,2498900,0,0,0,0,1189373700,0,0,0,500,800,0,0,0,60625000,60626300
29,2024-06-28,RONY,EQUITY,1250000000.0,210,0,1186874800,0,0,2495500,0,0,0,0,1189370300,0,0,0,3900,800,0,0,0,60625000,60629700
30,2024-07-31,RONY,EQUITY,1250000000.0,214,0,1186874800,0,0,2495700,0,0,0,0,1189370500,0,0,0,3700,800,0,0,0,60625000,60629500
31,2024-08-30,RONY,EQUITY,1250000000.0,138,0,1186874800,0,0,2496400,0,0,0,0,1189371200,0,0,0,3000,800,0,0,0,60625000,60628800
32,2024-09-30,RONY,EQUITY,1250000000.0,332,0,1186874800,0,0,2497200,0,0,0,0,1189372000,0,0,0,3000,0,0,0,0,60625000,60628000
33,2024-10-31,RONY,EQUITY,1250000000.0,400,0,1247499800,0,0,2497200,0,0,0,0,1249997000,0,0,0,3000,0,0,0,0,0,3000
34,2024-11-29,RONY,EQUITY,1250000000.0,530,0,1247499800,0,0,2497200,0,0,0,0,1249997000,0,0,0,3000,0,0,0,0,0,3000
35,2024-12-30,RONY,EQUITY,1250000000.0,1815,0,1245011600,0,0,4944600,0,0,0,40000,1249996200,0,0,0,3800,0,0,0,0,0,3800
