,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-02-28,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
1,2023-03-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
2,2023-04-28,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
3,2023-05-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
4,2023-06-27,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
5,2023-07-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
6,2023-08-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
7,2023-09-29,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
8,2023-10-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
9,2023-11-30,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
10,2023-12-29,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
11,2024-01-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
12,2024-02-29,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
13,2024-03-28,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
14,2024-04-30,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
15,2024-05-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
16,2024-06-28,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
17,2024-07-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
18,2024-08-30,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
19,2024-09-30,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
20,2024-10-31,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
21,2024-11-29,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
22,2024-12-30,RTDPECF,EQUITY CROWDFUNDING (ECF),2820000.0,1000,0,705000,0,0,2095500,0,0,0,0,2800500,0,0,0,0,19500,0,0,0,0,19500
