,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,RUNS,EQUITY,983557875.0,218,0,22000,0,0,179092500,15626800,1500,0,0,194742800,0,11800,0,1310000,51300,0,684100,0,0,2057200
1,2022-02-25,RUNS,EQUITY,983557875.0,194,0,22000,0,0,178921100,15798200,1500,0,0,194742800,0,11800,0,1310000,51300,0,684100,0,0,2057200
2,2022-03-31,RUNS,EQUITY,983557875.0,198,0,22000,0,0,178594200,16058400,1500,0,0,194676100,0,11800,0,1310000,51700,0,750400,0,0,2123900
3,2022-04-28,RUNS,EQUITY,983557875.0,250,0,32000,0,0,178464200,16058400,1500,0,0,194556100,0,11800,0,1310000,171700,0,750400,0,0,2243900
4,2022-05-31,RUNS,EQUITY,983557875.0,240,0,32000,0,0,178464200,16058400,1500,0,0,194556100,0,11800,0,1310000,171700,0,750400,0,0,2243900
5,2022-06-30,RUNS,EQUITY,983557875.0,202,0,32000,0,0,178464200,16058400,1500,0,0,194556100,0,11800,0,1310000,171700,0,750400,0,0,2243900
6,2022-07-29,RUNS,EQUITY,983557875.0,190,0,32000,0,0,178464200,16058400,1500,0,0,194556100,0,0,0,1310000,171700,0,762200,0,0,2243900
7,2022-08-31,RUNS,EQUITY,983557875.0,175,0,37000,0,0,178341600,16058400,1500,0,0,194438500,0,0,0,1310000,289300,0,762200,0,0,2361500
8,2022-09-30,RUNS,EQUITY,983557875.0,151,0,37000,0,0,177811600,16058400,1500,0,0,193908500,0,0,0,1310000,819300,0,762200,0,0,2891500
9,2022-10-31,RUNS,EQUITY,983557875.0,220,0,3585100,0,0,448604675,16058400,1500,0,0,468249675,0,0,0,1310000,221700,0,762200,0,0,2293900
10,2022-11-30,RUNS,EQUITY,983557875.0,198,0,4513900,0,0,447673875,16058400,1500,0,0,468247675,0,0,0,1310000,223700,0,762200,0,0,2295900
11,2022-12-30,RUNS,EQUITY,983557875.0,157,0,4513900,0,0,447672575,16058400,1500,0,0,468246375,0,0,0,1310000,225000,0,762200,0,0,2297200
12,2023-01-31,RUNS,EQUITY,983557875.0,157,0,4513900,0,0,447722575,16058400,1500,0,0,468296375,0,0,0,1310000,175000,0,762200,0,0,2247200
13,2023-02-28,RUNS,EQUITY,983557875.0,140,0,4513900,0,0,447722375,16058400,1500,0,0,468296175,0,0,0,1310100,175100,0,762200,0,0,2247400
14,2023-03-31,RUNS,EQUITY,983557875.0,178,0,4513900,0,0,447722375,16058400,1500,0,0,468296175,0,0,0,1310100,175100,0,762200,0,0,2247400
15,2023-04-28,RUNS,EQUITY,983557875.0,187,0,4513900,0,0,447945675,15688400,1500,0,0,468149475,0,0,0,1390800,241100,0,762200,0,0,2394100
16,2023-05-31,RUNS,EQUITY,983557875.0,137,0,4513900,0,0,448615475,15158400,1500,0,0,468289275,0,0,0,1317000,175100,0,762200,0,0,2254300
17,2023-06-27,RUNS,EQUITY,983557875.0,71,0,4513900,0,0,448623875,15158400,0,0,0,468296175,0,0,0,1310100,175100,0,762200,0,0,2247400
18,2023-07-31,RUNS,EQUITY,983557875.0,68,0,4548900,0,0,448408675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
19,2023-08-31,RUNS,EQUITY,983557875.0,65,0,4548900,0,0,448408675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
20,2023-09-29,RUNS,EQUITY,983557875.0,64,0,4586300,0,0,448369375,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
21,2023-10-31,RUNS,EQUITY,983557875.0,57,0,4548900,0,0,448406775,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
22,2023-11-30,RUNS,EQUITY,983557875.0,53,0,4548900,0,0,448406775,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
23,2023-12-29,RUNS,EQUITY,983557875.0,48,0,4548900,0,0,448406775,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
24,2024-01-31,RUNS,EQUITY,983557875.0,54,0,4548900,0,0,448406775,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
25,2024-02-29,RUNS,EQUITY,983557875.0,60,0,4489900,0,0,448465775,15158400,0,0,0,468114075,0,0,0,1331600,335700,0,762200,0,0,2429500
26,2024-03-28,RUNS,EQUITY,983557875.0,61,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
27,2024-04-30,RUNS,EQUITY,983557875.0,56,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
28,2024-05-31,RUNS,EQUITY,983557875.0,56,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
29,2024-06-28,RUNS,EQUITY,983557875.0,52,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
30,2024-07-31,RUNS,EQUITY,983557875.0,54,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
31,2024-08-30,RUNS,EQUITY,983557875.0,52,0,4489900,0,0,448467675,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
32,2024-09-30,RUNS,EQUITY,983557875.0,58,0,2703500,0,0,450254075,15158400,0,0,0,468115975,0,0,0,1329700,335700,0,762200,0,0,2427600
33,2024-10-31,RUNS,EQUITY,983557875.0,78,0,2703500,0,0,450277375,15158400,0,0,0,468139275,0,0,0,1329700,312400,0,762200,0,0,2404300
34,2024-11-29,RUNS,EQUITY,983557875.0,74,0,2703500,0,0,450277375,15158400,0,0,0,468139275,0,0,0,1329700,312400,0,762200,0,0,2404300
35,2024-12-30,RUNS,EQUITY,983557875.0,47,0,2703500,0,0,450277375,15158400,0,0,0,468139275,0,0,0,1329700,312400,0,762200,0,0,2404300
