,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SAMF,EQUITY,5125000000.0,715,0,576713100,0,0,196418800,0,100,0,0,773132000,0,0,0,545900,198000,406300,717800,0,0,1868000
1,2022-02-25,SAMF,EQUITY,5125000000.0,585,0,598485200,0,0,175053900,0,100,0,0,773539200,0,0,0,0,200000,0,1260800,0,0,1460800
2,2022-03-31,SAMF,EQUITY,5125000000.0,605,0,598482800,0,0,174981300,0,0,0,0,773464100,0,0,0,0,200000,0,1335900,0,0,1535900
3,2022-04-28,SAMF,EQUITY,5125000000.0,615,0,606077500,0,0,166970400,0,0,0,0,773047900,0,0,0,0,220000,351200,1380900,0,0,1952100
4,2022-05-31,SAMF,EQUITY,5125000000.0,625,0,592579400,0,0,179056400,0,0,0,0,771635800,0,0,0,1700,313800,1667800,1380900,0,0,3364200
5,2022-06-30,SAMF,EQUITY,5125000000.0,478,0,560411500,0,0,211826200,0,0,0,0,772237700,0,15200,0,786400,447200,0,1513500,0,0,2762300
6,2022-07-29,SAMF,EQUITY,5125000000.0,470,0,562211300,0,0,210179000,0,0,0,0,772390300,0,0,0,174400,509800,0,1925500,0,0,2609700
7,2022-08-31,SAMF,EQUITY,5125000000.0,450,0,563756900,0,0,207939900,0,0,0,0,771696800,0,0,0,1900,890400,0,2410900,0,0,3303200
8,2022-09-30,SAMF,EQUITY,5125000000.0,450,0,564839900,0,0,206822500,0,0,0,0,771662400,0,0,0,0,906600,0,2431000,0,0,3337600
9,2022-10-31,SAMF,EQUITY,5125000000.0,472,0,565017400,0,0,206632000,0,0,0,0,771649400,0,0,0,0,919600,0,2431000,0,0,3350600
10,2022-11-30,SAMF,EQUITY,5125000000.0,510,0,574806000,0,0,196845200,0,0,0,0,771651200,0,0,0,4700,913100,0,2431000,0,0,3348800
11,2022-12-30,SAMF,EQUITY,5125000000.0,470,0,591342400,0,0,180149300,0,0,0,0,771491700,0,0,0,39200,838100,0,2631000,0,0,3508300
12,2023-01-31,SAMF,EQUITY,5125000000.0,442,0,591342400,0,0,180108500,0,0,0,0,771450900,0,0,0,0,918100,0,2631000,0,0,3549100
13,2023-02-28,SAMF,EQUITY,5125000000.0,450,0,591187400,0,0,180255400,0,0,0,0,771442800,0,0,0,8100,918100,0,2631000,0,0,3557200
14,2023-03-31,SAMF,EQUITY,5125000000.0,610,0,600414700,0,0,171699800,0,0,0,0,772114500,0,0,0,30000,653600,0,2201900,0,0,2885500
15,2023-04-28,SAMF,EQUITY,5125000000.0,685,0,604377100,0,0,168104500,0,0,0,0,772481600,0,0,0,112700,203800,0,2201900,0,0,2518400
16,2023-05-31,SAMF,EQUITY,5125000000.0,770,0,610472800,0,0,161682500,0,0,0,0,772155300,0,0,0,590500,182200,0,2072000,0,0,2844700
