,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SDMU,EQUITY,1135225000.0,97,205000000,7948425,0,0,296555800,80456900,1075,0,0,589962200,0,0,0,90550,16269450,0,40300,0,0,16400300
1,2022-02-25,SDMU,EQUITY,1135225000.0,55,205000000,10187225,0,0,284392800,76956900,1075,0,0,576538000,0,0,0,13514750,16269450,0,40300,0,0,29824500
2,2022-03-31,SDMU,EQUITY,1135225000.0,80,205000000,11675225,0,0,478622800,400,75,0,0,695298500,0,0,0,54250,16269450,0,40300,0,0,16364000
3,2022-04-28,SDMU,EQUITY,1135225000.0,111,205000000,11145225,0,0,512340000,400,75,0,0,728485700,0,0,0,666550,16219950,0,40300,0,0,16926800
4,2022-05-31,SDMU,EQUITY,1135225000.0,95,205000000,11120225,0,0,512011000,400,75,0,0,728131700,0,0,0,1020550,16219950,0,40300,0,0,17280800
5,2022-06-30,SDMU,EQUITY,1135225000.0,89,205000000,11075225,0,0,509531600,400,75,0,0,725607300,0,0,0,3544950,16219950,0,40300,0,0,19805200
6,2022-07-29,SDMU,EQUITY,1135225000.0,75,205000000,11075225,0,0,507444000,400,75,0,0,723519700,0,0,0,5883050,15969450,0,40300,0,0,21892800
7,2022-08-31,SDMU,EQUITY,1135225000.0,66,205000000,11075225,0,0,510396900,400,75,0,0,726472600,0,0,0,2930150,15969450,0,40300,0,0,18939900
8,2022-09-30,SDMU,EQUITY,1135225000.0,56,205000000,11075225,0,0,512455900,400,75,0,0,728531600,0,0,0,866150,15974450,0,40300,0,0,16880900
9,2022-10-31,SDMU,EQUITY,1135225000.0,83,205000000,11075225,100000,0,512254000,400,75,0,0,728429700,0,0,0,1005750,15977050,0,0,0,0,16982800
10,2022-11-30,SDMU,EQUITY,1135225000.0,73,205000000,11075225,100000,0,511693600,400,75,0,0,727869300,0,0,0,866150,16677050,0,0,0,0,17543200
11,2022-12-30,SDMU,EQUITY,1135225000.0,70,205000000,11184025,309100,0,507106900,400,75,0,4864600,728465100,0,0,0,970350,15977050,0,0,0,0,16947400
12,2023-01-31,SDMU,EQUITY,1135225000.0,68,205000000,11184025,309100,0,511971500,400,75,0,0,728465100,0,0,0,970350,15977050,0,0,0,0,16947400
13,2023-02-28,SDMU,EQUITY,1135225000.0,62,205000000,11075225,309100,0,512067200,400,75,0,0,728452000,0,0,0,970450,15990050,0,0,0,0,16960500
14,2023-03-31,SDMU,EQUITY,1135225000.0,60,205000000,11075225,309100,0,512080200,400,75,0,0,728465000,0,0,0,970450,15977050,0,0,0,0,16947500
15,2023-04-28,SDMU,EQUITY,1135225000.0,57,205000000,11075225,309100,0,512080200,400,75,0,0,728465000,0,0,0,970450,15977050,0,0,0,0,16947500
16,2023-05-31,SDMU,EQUITY,1135225000.0,53,205000000,11075225,309100,0,512080200,400,75,0,0,728465000,0,0,0,970450,15977050,0,0,0,0,16947500
17,2023-06-27,SDMU,EQUITY,1135225000.0,50,205000000,11075225,309100,0,512336700,400,75,0,0,728721500,0,0,0,713950,15977050,0,0,0,0,16691000
18,2023-07-31,SDMU,EQUITY,1135225000.0,50,205000000,51075225,309100,0,472336700,400,75,0,0,728721500,0,0,0,713950,15977050,0,0,0,0,16691000
19,2023-08-31,SDMU,EQUITY,1135225000.0,50,205000000,51275225,309100,0,472136700,400,75,0,0,728721500,0,0,0,713950,15977050,0,0,0,0,16691000
20,2023-09-29,SDMU,EQUITY,1135225000.0,50,205000000,51277225,309100,0,472134700,400,75,0,0,728721500,0,0,0,713950,15977050,0,0,0,0,16691000
21,2023-10-31,SDMU,EQUITY,1135225000.0,50,205000000,54459825,309100,0,478808600,400,75,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
22,2023-11-30,SDMU,EQUITY,1135225000.0,50,205000000,54459825,309100,0,478808600,400,75,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
23,2023-12-29,SDMU,EQUITY,1135225000.0,50,205000000,44461625,309100,0,488806800,400,75,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
24,2024-01-31,SDMU,EQUITY,1135225000.0,50,205000000,21461625,309100,0,511806800,400,75,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
25,2024-02-29,SDMU,EQUITY,1135225000.0,50,205000000,21461625,309100,0,511805300,400,1575,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
26,2024-03-28,SDMU,EQUITY,1135225000.0,34,205000000,21461625,309100,0,511805300,400,1575,0,0,738578000,0,0,0,713950,6120550,0,0,0,0,6834500
27,2024-04-30,SDMU,EQUITY,1135225000.0,17,205000000,21464625,309100,0,499528600,400,1575,0,0,726304300,0,0,0,604050,18504150,0,0,0,0,19108200
28,2024-05-31,SDMU,EQUITY,1135225000.0,18,205000000,21464625,309100,0,499595500,400,75,0,0,726369700,0,0,0,604050,18438750,0,0,0,0,19042800
29,2024-06-28,SDMU,EQUITY,1135225000.0,20,205000000,21464625,309100,0,499595500,400,75,0,0,726369700,0,0,0,604050,18438750,0,0,0,0,19042800
30,2024-07-31,SDMU,EQUITY,1135225000.0,24,205000000,21464625,309100,0,498893000,400,75,0,0,725667200,0,0,0,604050,19141250,0,0,0,0,19745300
31,2024-08-30,SDMU,EQUITY,1135225000.0,25,205000000,21464625,309100,0,498293900,400,75,0,0,725068100,0,0,0,604050,19740350,0,0,0,0,20344400
32,2024-09-30,SDMU,EQUITY,1135225000.0,25,205000000,21464625,309100,0,498293900,400,75,0,0,725068100,0,0,0,604050,19740350,0,0,0,0,20344400
33,2024-10-31,SDMU,EQUITY,1135225000.0,24,205000000,21464625,309100,0,498293900,400,75,0,0,725068100,0,0,0,604050,19740350,0,0,0,0,20344400
34,2024-11-29,SDMU,EQUITY,1135225000.0,25,205000000,21464625,309100,0,498293900,400,75,0,0,725068100,0,0,0,604050,19740350,0,0,0,0,20344400
35,2024-12-30,SDMU,EQUITY,1135225000.0,26,205000000,21464625,309100,0,498293900,400,75,0,0,725068100,0,0,0,604050,19740350,0,0,0,0,20344400
