,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SDRA,EQUITY,8568234364.0,585,0,397764103,0,139639538,799074015,0,2500,150,0,1336480306,0,13134800,0,7214840231,538207,0,0,0,45000,7228558238
1,2022-02-25,SDRA,EQUITY,8568234364.0,575,0,397816103,0,139639538,799020615,0,2500,150,0,1336478906,0,13134800,0,7214841631,538207,0,0,0,45000,7228559638
2,2022-03-31,SDRA,EQUITY,8568234364.0,570,0,397824103,0,139639538,799033476,0,2500,150,0,1336499767,0,13134800,0,7214840231,518746,0,0,0,45000,7228538777
3,2022-04-28,SDRA,EQUITY,8568234364.0,575,0,397814103,0,139639538,799443776,0,2500,150,0,1336900067,0,13134800,0,7214840531,118146,0,0,0,45000,7228138477
4,2022-05-31,SDRA,EQUITY,8568234364.0,560,0,397804103,0,139639538,799454076,0,2500,150,0,1336900367,0,13134800,0,7214840231,118146,0,0,0,45000,7228138177
5,2022-06-30,SDRA,EQUITY,8568234364.0,575,0,397804103,0,139639538,798682876,0,2500,150,0,1336129167,0,13906000,0,7214840231,118146,0,0,0,45000,7228909377
6,2022-07-29,SDRA,EQUITY,8568234364.0,570,0,397779103,0,139639538,798212476,0,2500,150,0,1335633767,0,13937100,0,7214840231,316746,0,265700,0,45000,7229404777
7,2022-08-31,SDRA,EQUITY,8568234364.0,590,0,397849903,0,139639538,780490676,0,2500,150,0,1317982767,0,13937100,0,7214841231,316746,0,265700,0,17695000,7247055777
8,2022-09-30,SDRA,EQUITY,8568234364.0,580,0,397764103,0,139639538,780569076,0,2500,150,0,1317975367,0,13937100,0,7214848631,316746,0,265700,0,17695000,7247063177
9,2022-10-31,SDRA,EQUITY,8568234364.0,585,0,397764103,0,139639538,780564756,0,2520,150,0,1317971067,0,13937100,0,7214852931,316746,0,265700,0,17695000,7247067477
10,2022-11-30,SDRA,EQUITY,8568234364.0,590,0,397764103,0,139639538,780573156,0,2520,150,0,1317979467,0,13937100,0,7214844531,316746,0,265700,0,17695000,7247059077
11,2022-12-30,SDRA,EQUITY,8568234364.0,570,0,397764103,0,139639538,780681556,0,2520,150,0,1318087867,0,13937100,0,7214852331,200546,0,265700,0,17695000,7246950677
12,2023-01-31,SDRA,EQUITY,8568234364.0,575,0,397764103,0,139639538,780689456,0,2520,150,0,1318095767,0,13937100,0,7214844431,200546,0,265700,0,17695000,7246942777
13,2023-02-28,SDRA,EQUITY,8568234364.0,585,0,978816127,0,139639538,208600232,0,2520,150,0,1327058567,0,13937100,0,7214844831,247346,0,265700,0,8685000,7237979977
14,2023-03-31,SDRA,EQUITY,8568234364.0,595,0,978817827,0,139639538,208637832,0,2520,150,0,1327097867,0,13937100,0,7214848331,204546,0,265700,0,8685000,7237940677
15,2023-04-28,SDRA,EQUITY,8568234364.0,570,0,978817827,0,139639538,208897532,0,2520,150,0,1327357567,0,13937100,0,7214855131,203746,0,0,0,8685000,7237680977
16,2023-05-31,SDRA,EQUITY,8568234364.0,565,0,978817827,0,139639538,208904732,0,2520,150,0,1327364767,0,13937100,0,7214847931,203746,0,0,0,8685000,7237673777
17,2023-06-27,SDRA,EQUITY,8568234364.0,590,0,978817827,0,139639538,208884932,0,2520,150,0,1327344967,0,13937100,0,7214886631,184846,0,0,0,8685000,7237693577
