,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SGRO,EQUITY,1890000000.0,2000,76244500,312287200,3189100,0,72239268,1024300,13729,50000,0,465048097,0,1359873157,229500,45746985,165000,10799541,5452569,0,2285151,1424551903
1,2022-02-25,SGRO,EQUITY,1890000000.0,2160,76244500,312625200,3189100,0,71724168,1200600,13729,50000,0,465047297,0,1359873157,229500,45747785,165000,10799541,5452569,0,2285151,1424552703
2,2022-03-31,SGRO,EQUITY,1890000000.0,2250,76244500,312078700,3189100,0,72306368,1098800,13729,50000,0,464981197,0,1359873157,263700,45757685,187000,10799541,5452569,0,2285151,1424618803
3,2022-04-28,SGRO,EQUITY,1818622000.0,2230,76244500,240421700,3189100,0,72529768,1029800,13729,50000,0,393478597,0,1359876657,263700,45766085,299700,10799541,5452569,0,2285151,1424743403
4,2022-05-31,SGRO,EQUITY,1818622000.0,2290,76244500,239266500,3189100,0,75133068,1148500,13729,50000,0,395045397,0,1357776657,429500,45853785,396700,10915541,5452569,0,2351851,1423176603
5,2022-06-30,SGRO,EQUITY,1818622000.0,2120,76244500,238646400,3189100,0,63666868,1272400,11587229,50000,0,394656497,0,1357776657,573300,46282785,346700,10915541,5668669,0,2001851,1423565503
6,2022-07-29,SGRO,EQUITY,1818622000.0,2180,76244500,238841200,3189100,0,74884068,1292300,13729,50000,0,394514897,0,1357776657,573300,46271585,346700,10915541,5821469,0,2001851,1423707103
7,2022-08-31,SGRO,EQUITY,1818622000.0,2140,76244500,238851200,3189100,0,74833368,1331400,13729,50000,0,394513297,0,1357776657,573300,46273185,346700,10915541,5821469,0,2001851,1423708703
8,2022-09-30,SGRO,EQUITY,1818622000.0,2100,76244500,238871200,3189100,0,74403068,1268000,13729,50000,0,394039597,0,1357780757,573300,46277285,346400,11401341,5801469,0,2001851,1424182403
9,2022-10-31,SGRO,EQUITY,1818622000.0,2160,76244500,239820900,3189100,0,73550068,1295600,13729,50000,0,394163897,0,1357780757,573300,46282385,217000,11401341,5801469,0,2001851,1424058103
10,2022-11-30,SGRO,EQUITY,1818622000.0,2160,76244500,239970900,3193600,0,73326368,1317200,13729,50000,50000,394166297,0,1357780757,573300,46279985,217000,11401341,5801469,0,2001851,1424055703
11,2022-12-30,SGRO,EQUITY,1818622000.0,2100,76244500,240024500,3193600,0,73147968,1369800,13729,50000,121500,394165597,0,1357780757,573300,46280685,217000,11401341,5801469,0,2001851,1424056403
12,2023-01-31,SGRO,EQUITY,1818622000.0,2120,76244500,240207900,3193600,0,73025168,1425600,13729,50000,0,394160497,0,1357780757,573300,46284785,217000,11401341,5802469,0,2001851,1424061503
13,2023-02-28,SGRO,EQUITY,1818622000.0,2160,76244500,240278500,3193600,0,72806268,1569200,13729,50000,0,394155797,0,1357780757,573300,46288085,211000,11401341,5809869,0,2001851,1424066203
14,2023-03-31,SGRO,EQUITY,1818622000.0,2160,76244500,240407300,3193600,0,72743868,1573000,13729,50000,0,394225997,0,1357780757,573300,46213885,211000,11401341,5813869,0,2001851,1423996003
15,2023-04-28,SGRO,EQUITY,1818622000.0,2110,76244500,240506300,3193600,0,72659768,1573000,13729,50000,0,394240897,0,1357780757,573300,46198985,211000,11401341,5813869,0,2001851,1423981103
16,2023-05-31,SGRO,EQUITY,1818622000.0,2010,76244500,241642900,3193600,0,71560668,1528900,13729,50000,0,394234297,0,1357780757,573300,46201585,211000,11401341,5817869,0,2001851,1423987703
17,2023-06-27,SGRO,EQUITY,1818622000.0,1995,76244500,242140500,3193600,0,72102568,1528900,13729,50000,0,395273797,0,1357780757,573300,45189985,181100,11401341,5819869,0,2001851,1422948203
18,2023-07-31,SGRO,EQUITY,1818622000.0,2020,76244500,242331800,3193600,0,72667768,1594600,13729,50000,0,396095997,0,1358296757,573300,43836785,181100,11401341,5834869,0,2001851,1422126003
19,2023-08-31,SGRO,EQUITY,1818622000.0,2080,76244500,244120200,3193600,0,71884868,1594600,13729,50000,0,397101497,0,1358296757,343800,43060785,181100,11401341,5834869,0,2001851,1421120503
20,2023-09-29,SGRO,EQUITY,1818622000.0,2060,76244500,245350100,3193600,0,71238268,1594600,13729,50000,0,397684797,0,1358292657,343800,42440485,181100,11442441,5834869,0,2001851,1420537203
21,2023-10-31,SGRO,EQUITY,1818622000.0,2020,76244500,246198100,3193600,0,70296368,1571700,13729,50000,0,397567997,0,1358292657,343800,42446285,181600,11552441,5835369,0,2001851,1420654003
22,2023-11-30,SGRO,EQUITY,1818622000.0,2010,76244500,246465800,3193600,0,70102168,1571700,13729,50000,0,397641497,0,1358292657,343800,42439985,181600,11552441,5834869,0,1935151,1420580503
23,2023-12-29,SGRO,EQUITY,1818622000.0,2010,76244500,246647100,3193600,0,69850368,1571700,13729,50000,0,397570997,0,1358292657,343800,42420985,181100,11642441,5834869,0,1935151,1420651003
24,2024-01-31,SGRO,EQUITY,1818622000.0,2000,76244500,246718400,3193600,0,69788268,1571700,13729,50000,0,397580197,0,1358292657,343800,41001985,181100,18118800,768310,0,1935151,1420641803
25,2024-02-29,SGRO,EQUITY,1818622000.0,2000,76244500,246805500,3193600,0,69732768,1571700,13729,50000,0,397611797,0,1358292657,343800,40970385,181100,18118800,768310,0,1935151,1420610203
26,2024-03-28,SGRO,EQUITY,1818622000.0,2010,76244500,247426500,3193600,0,69391268,1571700,13729,50000,0,397891297,0,1358366857,343800,40616685,181100,18118800,768310,0,1935151,1420330703
27,2024-04-30,SGRO,EQUITY,1818622000.0,1995,76244500,247782500,3193600,0,69395568,1535300,13729,50000,0,398215197,0,1358492657,343800,40169185,181100,17813000,1071910,0,1935151,1420006803
28,2024-05-31,SGRO,EQUITY,1818622000.0,2000,76244500,247906100,3193600,0,68928768,1535300,13729,50000,0,397871997,0,1358590857,343800,40161585,181100,17803400,1334110,0,1935151,1420350003
29,2024-06-28,SGRO,EQUITY,1818622000.0,1985,76244500,248656400,3193600,0,68243071,1535300,13726,50000,0,397936597,0,1358590857,343800,40168385,181100,17732000,1334110,0,1935151,1420285403
30,2024-07-31,SGRO,EQUITY,1818622000.0,1965,76244500,249232400,3193600,0,67801471,1535300,13726,50000,0,398070997,0,1358590857,343800,40208985,181100,17557000,1334110,0,1935151,1420151003
31,2024-08-30,SGRO,EQUITY,1818622000.0,1990,76244500,251125600,3193600,0,65924571,1535300,13726,50000,0,398087297,0,1358590857,343800,40197385,181100,17552300,1334110,0,1935151,1420134703
32,2024-09-30,SGRO,EQUITY,1818622000.0,2040,76244500,252281100,3193600,0,65416671,1488100,13726,50000,0,398687697,0,1358590857,343800,40197685,171100,16961600,1334110,0,1935151,1419534303
33,2024-10-31,SGRO,EQUITY,1818622000.0,2040,76244500,252909500,3193600,0,64862771,1466300,13726,50000,0,398740397,0,1358590857,343800,40200685,171200,16905800,1334110,0,1935151,1419481603
