,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-04-28,SICO-W,WARRANT,27000000.0,54,0,5050,30,80,25522060,0,380,40,50,25527690,0,40,0,0,1472270,0,0,0,0,1472310
1,2022-05-31,SICO-W,WARRANT,27000000.0,52,0,15050,30,80,25511690,0,750,40,50,25527690,0,40,0,0,1472270,0,0,0,0,1472310
2,2022-06-30,SICO-W,WARRANT,27000000.0,49,0,17530,30,80,25510010,0,750,40,50,25528490,0,40,0,0,1471470,0,0,0,0,1471510
3,2022-07-29,SICO-W,WARRANT,27000000.0,39,0,37530,30,80,25489720,0,770,40,50,25528220,0,40,0,0,1471740,0,0,0,0,1471780
4,2022-08-31,SICO-W,WARRANT,27000000.0,61,0,31270,30,80,25496370,0,740,40,50,25528580,0,40,0,0,1471380,0,0,0,0,1471420
5,2022-09-30,SICO-W,WARRANT,27000000.0,62,0,1270,30,80,25525990,0,1120,40,50,25528580,0,40,0,0,1471380,0,0,0,0,1471420
6,2022-10-31,SICO-W,WARRANT,26995773.0,56,0,1270,30,80,25521103,0,1740,40,90,25524353,0,40,0,0,1471380,0,0,0,0,1471420
7,2022-11-30,SICO-W,WARRANT,26968462.0,51,0,33170,30,80,25553662,0,1550,40,160,25588692,0,40,0,0,1379730,0,0,0,0,1379770
8,2022-12-30,SICO-W,WARRANT,26965353.0,52,0,51180,30,80,25731513,0,2710,40,180,25785733,0,40,0,0,1179580,0,0,0,0,1179620
9,2023-01-31,SICO-W,WARRANT,26962809.0,46,0,71180,30,80,25825719,0,3280,40,60,25900389,0,40,0,0,1062380,0,0,0,0,1062420
10,2023-02-28,SICO-W,WARRANT,26961558.0,38,0,89580,30,80,26257668,0,2210,40,230,26349838,0,40,0,0,611860,0,0,0,0,611900
11,2023-03-31,SICO-W,WARRANT,26960398.0,43,0,114150,30,80,26231908,0,2030,40,260,26348498,0,40,0,0,611860,0,0,0,0,611900
12,2023-04-28,SICO-W,WARRANT,26959450.0,29,0,136150,30,80,26209310,0,1740,170,70,26347550,0,40,0,0,611860,0,0,0,0,611900
13,2023-05-31,SICO-W,WARRANT,26958484.0,28,0,221150,30,80,26122894,0,2180,180,70,26346584,0,40,0,0,611860,0,0,0,0,611900
14,2023-06-27,SICO-W,WARRANT,26957525.0,30,0,221150,30,80,26122385,0,1780,180,50,26345655,0,40,0,0,611830,0,0,0,0,611870
15,2023-07-31,SICO-W,WARRANT,26955633.0,27,0,221150,30,80,26120452,0,1640,360,51,26343763,0,40,0,0,611830,0,0,0,0,611870
16,2023-08-31,SICO-W,WARRANT,26954929.0,28,0,221150,30,80,26119159,0,2230,360,50,26343059,0,40,0,0,611830,0,0,0,0,611870
17,2023-09-29,SICO-W,WARRANT,26954784.0,28,0,232150,30,80,26108714,0,1410,420,110,26342914,0,40,0,0,611830,0,0,0,0,611870
18,2023-10-31,SICO-W,WARRANT,26954078.0,27,0,231150,30,80,26108738,0,1730,420,60,26342208,0,40,0,0,611830,0,0,0,0,611870
19,2023-11-30,SICO-W,WARRANT,26953898.0,26,0,231150,30,80,26108438,0,1800,480,50,26342028,0,40,0,0,611830,0,0,0,0,611870
20,2023-12-29,SICO-W,WARRANT,26952336.0,22,0,261150,30,80,26076476,0,1820,660,50,26340266,0,40,0,0,612030,0,0,0,0,612070
21,2024-01-31,SICO-W,WARRANT,26951916.0,20,0,261150,30,80,26075576,0,2110,880,20,26339846,0,40,0,0,612030,0,0,0,0,612070
22,2024-02-29,SICO-W,WARRANT,26951622.0,15,0,276150,30,80,26061422,0,880,880,110,26339552,0,40,0,0,612030,0,0,0,0,612070
23,2024-03-28,SICO-W,WARRANT,26951182.0,15,0,276150,30,80,26671522,0,940,990,0,26949712,0,40,0,0,1430,0,0,0,0,1470
24,2024-04-30,SICO-W,WARRANT,26950922.0,12,0,289350,30,80,26657822,0,1090,1080,0,26949452,0,40,0,0,1430,0,0,0,0,1470
25,2024-05-31,SICO-W,WARRANT,26950722.0,11,0,339350,30,80,26607862,0,850,1080,0,26949252,0,40,0,0,1430,0,0,0,0,1470
26,2024-06-28,SICO-W,WARRANT,26950388.0,9,0,339350,30,80,26607568,0,800,1080,10,26948918,0,40,0,0,1430,0,0,0,0,1470
27,2024-07-31,SICO-W,WARRANT,26948685.0,12,0,339350,30,80,26605515,0,1090,1080,70,26947215,0,40,0,0,1430,0,0,0,0,1470
28,2024-08-30,SICO-W,WARRANT,26948366.0,9,0,339350,30,80,26605095,0,1250,1080,11,26946896,0,40,0,0,1430,0,0,0,0,1470
29,2024-09-30,SICO-W,WARRANT,26947905.0,26,0,201150,30,80,26743055,0,860,1260,0,26946435,0,40,0,0,1430,0,0,0,0,1470
30,2024-10-31,SICO-W,WARRANT,26947296.0,27,0,201150,30,80,26741776,0,1180,1590,20,26945826,0,40,0,0,1430,0,0,0,0,1470
31,2024-11-29,SICO-W,WARRANT,26947176.0,26,0,201150,30,80,26742026,0,770,1590,20,26945666,0,40,0,0,1470,0,0,0,0,1510
32,2024-12-30,SICO-W,WARRANT,26945116.0,20,0,201150,30,80,26739655,0,1020,1620,51,26943606,0,40,0,0,1470,0,0,0,0,1510
