,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,85000000000,0,135900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,85000000000,0,135900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,85000000000,0,135900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,85000000000,0,135900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,85000000000,0,135900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,0,0,220900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,57500000000,0,0,220900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,47500000000,0,0,230900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,47500000000,0,0,230900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,47500000000,0,0,230900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,SIEXCL01DCN1,SUKUK,425000000000.0,1,146600000000,0,47500000000,0,0,230900000000,0,0,0,425000000000,0,0,0,0,0,0,0,0,0,0
