,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SINI-W,WARRANT,67189750.0,118,0,0,0,0,67186800,0,150,0,0,67186950,0,0,0,0,2800,0,0,0,0,2800
1,2022-02-25,SINI-W,WARRANT,67174450.0,158,0,0,0,0,67174300,0,150,0,0,67174450,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,SINI-W,WARRANT,67174350.0,134,0,0,0,0,67174000,0,150,0,200,67174350,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,SINI-W,WARRANT,65673850.0,148,0,0,0,0,65673700,0,150,0,0,65673850,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,SINI-W,WARRANT,65673850.0,104,0,0,0,0,65673700,0,150,0,0,65673850,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,SINI-W,WARRANT,65650150.0,88,0,0,0,0,65650100,0,50,0,0,65650150,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,SINI-W,WARRANT,64256250.0,124,0,0,0,0,64256200,0,50,0,0,64256250,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,SINI-W,WARRANT,64215950.0,131,0,0,0,0,64215900,0,50,0,0,64215950,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,SINI-W,WARRANT,64176750.0,336,0,0,0,0,64176700,0,50,0,0,64176750,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,SINI-W,WARRANT,60423250.0,129,0,0,0,0,60423200,0,50,0,0,60423250,0,0,0,0,0,0,0,0,0,0
