,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SKBM,EQUITY,1730103217.0,354,0,7070,0,106824963,42594802,0,1289576,0,0,150716411,0,9395600,0,10821327,7000,0,74310267,0,665066115,759600309
1,2022-02-25,SKBM,EQUITY,1730103217.0,348,0,7070,0,106824963,42594802,0,1289576,0,0,150716411,0,9395600,0,10821327,7000,0,74310267,0,665066115,759600309
2,2022-03-31,SKBM,EQUITY,1730103217.0,364,0,7070,0,106824963,50307771,0,1289576,0,0,158429380,0,9395600,0,10821327,7000,0,61401767,0,671520365,753146059
3,2022-04-28,SKBM,EQUITY,1730103217.0,398,0,7070,0,106824963,82629721,0,1289376,0,0,190751130,0,9395600,0,11486927,7000,0,28414417,0,671520365,720824309
4,2022-05-31,SKBM,EQUITY,1730103217.0,370,0,7070,0,106824963,82621821,0,1289376,0,0,190743230,0,9395600,0,11486927,14900,0,28414417,0,671520365,720832209
5,2022-06-30,SKBM,EQUITY,1730103217.0,374,0,7070,0,106824963,84285334,0,1289376,0,0,192406743,0,9395600,0,11486927,7000,0,28414417,0,669864752,719168696
6,2022-07-29,SKBM,EQUITY,1730103217.0,374,0,7070,0,106824963,85699628,0,1289376,0,0,193821037,0,9384900,0,11391827,7000,0,28425117,0,668545558,717754402
7,2022-08-31,SKBM,EQUITY,1730103217.0,420,0,7070,0,106824963,85699628,0,1289376,0,0,193821037,0,1509900,0,11391827,7000,0,28425117,0,676420558,717754402
8,2022-09-30,SKBM,EQUITY,1730103217.0,416,0,7070,0,106824963,85713628,0,1275376,0,0,193821037,0,1509900,0,11391827,7000,0,28425117,0,676420558,717754402
9,2022-10-31,SKBM,EQUITY,1730103217.0,396,0,7070,0,106824963,85704128,0,1275376,0,0,193811537,0,1509900,0,11401327,7000,0,28425117,0,676420558,717763902
10,2022-11-30,SKBM,EQUITY,1730103217.0,390,0,7070,0,106824963,85704128,0,1275376,0,0,193811537,0,1509900,0,11401327,7000,0,28425117,0,676420558,717763902
11,2022-12-30,SKBM,EQUITY,1730103217.0,378,0,7070,0,106824963,85692578,0,1275376,0,11550,193811537,0,1509900,0,11401327,7000,0,28425117,0,676420558,717763902
12,2023-01-31,SKBM,EQUITY,1730103217.0,374,0,7070,0,106824963,85692578,0,1275376,0,11550,193811537,0,1509900,0,11401327,7000,0,28425117,0,676420558,717763902
