,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SKRN,EQUITY,1500000000.0,775,0,187500700,229600,0,82730600,0,0,0,0,270460900,0,0,0,1129100,410000,0,28000000,0,0,29539100
1,2022-02-25,SKRN,EQUITY,1500000000.0,790,0,187500700,229600,0,83667000,0,0,0,0,271397300,0,5000,0,187700,410000,0,28000000,0,0,28602700
2,2022-03-31,SKRN,EQUITY,1500000000.0,900,0,187500700,229600,0,83539100,0,0,0,0,271269400,0,0,0,320600,410000,0,28000000,0,0,28730600
3,2022-04-28,SKRN,EQUITY,1500000000.0,950,0,187500700,229600,0,83307600,0,16400,0,0,271054300,0,2900,0,532800,410000,0,28000000,0,0,28945700
4,2022-05-31,SKRN,EQUITY,1500000000.0,1245,0,187500700,229600,0,83249200,0,5600,0,0,270985100,0,0,0,684900,330000,0,28000000,0,0,29014900
5,2022-06-30,SKRN,EQUITY,1500000000.0,1180,0,187500700,229600,0,110944100,0,3600,0,0,298678000,0,0,0,992000,330000,0,0,0,0,1322000
6,2022-07-29,SKRN,EQUITY,1500000000.0,1270,0,187500700,229600,0,110904500,0,3600,0,0,298638400,0,0,0,1031600,330000,0,0,0,0,1361600
7,2022-08-31,SKRN,EQUITY,1500000000.0,1210,0,187500700,229600,0,111086800,0,3600,0,0,298820700,0,0,0,849300,330000,0,0,0,0,1179300
8,2022-09-30,SKRN,EQUITY,1500000000.0,1500,0,187500700,100000,0,111119500,0,0,0,0,298720200,0,0,0,469800,810000,0,0,0,0,1279800
9,2022-10-31,SKRN,EQUITY,1500000000.0,1920,0,187500700,38500,0,111220500,0,0,0,0,298759700,0,6600,0,123700,1110000,0,0,0,0,1240300
10,2022-11-30,SKRN,EQUITY,1500000000.0,2080,0,187500700,0,0,111376800,0,0,0,0,298877500,0,6600,0,5900,1110000,0,0,0,0,1122500
11,2022-12-30,SKRN,EQUITY,1500000000.0,2230,0,187500700,0,0,111379200,0,0,0,0,298879900,0,6600,0,3500,1110000,0,0,0,0,1120100
12,2023-01-31,SKRN,EQUITY,7500000000.0,480,0,937503500,0,0,556833200,0,0,0,0,1494336700,0,33000,0,80300,5550000,0,0,0,0,5663300
13,2023-02-28,SKRN,EQUITY,7500000000.0,585,0,937503500,0,0,559052700,0,0,0,0,1496556200,0,33000,0,3260800,150000,0,0,0,0,3443800
14,2023-03-31,SKRN,EQUITY,7500000000.0,488,0,937633500,0,0,561788600,0,0,0,0,1499422100,0,33000,0,494800,50100,0,0,0,0,577900
15,2023-04-28,SKRN,EQUITY,7500000000.0,530,0,937503500,0,0,560674100,0,0,0,0,1498177600,0,33000,0,1739400,50000,0,0,0,0,1822400
16,2023-05-31,SKRN,EQUITY,7500000000.0,470,0,937503500,0,0,557658000,0,0,0,0,1495161500,0,35900,0,3968700,60000,0,0,773900,0,4838500
17,2023-06-27,SKRN,EQUITY,7500000000.0,462,0,781503500,0,0,715645300,0,0,0,0,1497148800,0,33000,0,1981300,63000,0,0,773900,0,2851200
18,2023-07-31,SKRN,EQUITY,7500000000.0,630,0,537033674,0,0,786238620,174100,0,0,0,1323446394,0,172741106,0,1876600,67200,1094800,0,773900,0,176553606
19,2023-08-31,SKRN,EQUITY,7500000000.0,630,0,537133674,0,0,783745820,174100,0,0,0,1321053594,0,172741106,0,3893600,192800,1214400,0,0,904500,178946406
20,2023-09-29,SKRN,EQUITY,7500000000.0,615,0,537487574,0,0,785590120,174100,0,0,0,1323251794,0,172090606,0,4039500,94200,523900,0,0,0,176748206
21,2023-10-31,SKRN,EQUITY,7500000000.0,735,0,537103674,0,0,783441320,0,0,0,0,1320544994,0,172108706,0,7104700,241600,0,0,0,0,179455006
22,2023-11-30,SKRN,EQUITY,7500000000.0,590,0,537103674,0,0,787322820,0,0,0,0,1324426494,0,172108706,0,3352100,112700,0,0,0,0,175573506
23,2023-12-29,SKRN,EQUITY,7500000000.0,498,0,558769574,0,0,562218121,0,0,0,0,1120987695,0,375922205,0,2891800,198300,0,0,0,0,379012305
