,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-07-31,SLIS-W,WARRANT,128322231.0,9,0,0,0,0,127824286,0,145,0,0,127824431,0,0,0,0,497800,0,0,0,0,497800
1,2023-08-31,SLIS-W,WARRANT,162167231.0,17,0,0,0,0,161669231,0,200,0,0,161669431,0,0,0,0,497800,0,0,0,0,497800
2,2023-09-29,SLIS-W,WARRANT,162167231.0,11,0,100000,0,0,162067181,0,50,0,0,162167231,0,0,0,0,0,0,0,0,0,0
3,2023-10-31,SLIS-W,WARRANT,162167231.0,9,0,0,0,0,162167176,0,55,0,0,162167231,0,0,0,0,0,0,0,0,0,0
4,2023-11-30,SLIS-W,WARRANT,162167231.0,9,0,0,0,0,162167176,0,55,0,0,162167231,0,0,0,0,0,0,0,0,0,0
5,2023-12-29,SLIS-W,WARRANT,162167231.0,8,0,0,0,0,162167176,0,55,0,0,162167231,0,0,0,0,0,0,0,0,0,0
6,2024-01-31,SLIS-W,WARRANT,162167173.0,6,0,0,0,0,162167118,0,55,0,0,162167173,0,0,0,0,0,0,0,0,0,0
7,2024-02-29,SLIS-W,WARRANT,162167016.0,6,0,0,0,0,162166961,0,55,0,0,162167016,0,0,0,0,0,0,0,0,0,0
8,2024-03-28,SLIS-W,WARRANT,162166876.0,6,0,0,0,0,162166816,0,60,0,0,162166876,0,0,0,0,0,0,0,0,0,0
9,2024-04-30,SLIS-W,WARRANT,162166854.0,5,0,0,0,0,162166794,0,60,0,0,162166854,0,0,0,0,0,0,0,0,0,0
10,2024-05-31,SLIS-W,WARRANT,162166504.0,5,0,0,0,0,162166399,0,105,0,0,162166504,0,0,0,0,0,0,0,0,0,0
11,2024-06-28,SLIS-W,WARRANT,162166504.0,3,0,0,0,0,162166399,0,105,0,0,162166504,0,0,0,0,0,0,0,0,0,0
12,2024-07-31,SLIS-W,WARRANT,162166500.0,5,0,0,0,0,162166395,0,105,0,0,162166500,0,0,0,0,0,0,0,0,0,0
13,2024-08-30,SLIS-W,WARRANT,162166498.0,6,0,0,0,0,162166393,0,105,0,0,162166498,0,0,0,0,0,0,0,0,0,0
14,2024-09-30,SLIS-W,WARRANT,162166463.0,9,0,0,0,0,162166358,0,105,0,0,162166463,0,0,0,0,0,0,0,0,0,0
15,2024-10-31,SLIS-W,WARRANT,162166371.0,8,0,0,0,0,162166266,0,105,0,0,162166371,0,0,0,0,0,0,0,0,0,0
16,2024-11-29,SLIS-W,WARRANT,162166371.0,7,0,0,0,0,162166266,0,105,0,0,162166371,0,0,0,0,0,0,0,0,0,0
17,2024-12-30,SLIS-W,WARRANT,162166301.0,6,0,0,0,0,162166126,0,105,0,70,162166301,0,0,0,0,0,0,0,0,0,0
