,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-02-25,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,75000000000,3000000000,10000000000,185000000000,12500000000,339500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
1,2022-03-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
2,2022-04-28,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
3,2022-05-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
4,2022-06-30,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
5,2022-07-29,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
6,2022-08-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
7,2022-09-30,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
8,2022-10-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
9,2022-11-30,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,89000000000,3000000000,10000000000,185000000000,12500000000,325500000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
10,2022-12-30,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,185000000000,12500000000,324400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
11,2023-01-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,185000000000,12500000000,324400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
12,2023-02-28,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,185000000000,12500000000,324400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
13,2023-03-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,185000000000,12500000000,324400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
14,2023-04-28,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,185000000000,12500000000,324400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
15,2023-05-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,90100000000,3000000000,10000000000,195000000000,12500000000,314400000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
16,2023-06-27,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,91200000000,3000000000,10000000000,195000000000,12500000000,313300000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
17,2023-07-31,SMAR03BCN3,CORPORATE BOND,625000000000.0,1,92500000000,3000000000,10000000000,195000000000,12500000000,312000000000,0,0,0,625000000000,0,0,0,0,0,0,0,0,0,0
