,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SMDM,EQUITY,4772138237.0,167,500,2203975,0,0,88404585,62980300,13242,0,0,153602602,0,4252863595,0,15300,783300,0,870072,0,363841493,4618373760
1,2022-02-25,SMDM,EQUITY,4772138237.0,165,500,2203975,0,0,88416385,62980300,13242,0,0,153614402,0,4252863595,0,0,786800,0,870072,0,363841493,4618361960
2,2022-03-31,SMDM,EQUITY,4772138237.0,169,500,2203975,0,0,88396385,62980300,13242,0,0,153594402,0,4252863595,0,0,806800,363841493,870072,0,0,4618381960
3,2022-04-28,SMDM,EQUITY,4772138237.0,170,500,2203975,0,0,88416385,62980300,13242,0,0,153614402,0,4252863595,0,0,786800,363841493,870072,0,0,4618361960
4,2022-05-31,SMDM,EQUITY,4772138237.0,191,500,2203975,0,0,88416385,62980300,13242,0,0,153614402,0,4252863595,0,0,786800,363841493,870072,0,0,4618361960
5,2022-06-30,SMDM,EQUITY,4772138237.0,192,500,2203975,0,0,88746385,62980300,13242,0,0,153944402,0,4252863595,0,0,786800,363841493,540072,0,0,4618031960
6,2022-07-29,SMDM,EQUITY,4772138237.0,196,500,2203975,0,0,88746385,62980300,13242,0,0,153944402,0,4252863595,0,0,786800,363841493,540072,0,0,4618031960
7,2022-08-31,SMDM,EQUITY,4772138237.0,199,500,2203975,0,0,88746385,62980300,13242,0,0,153944402,0,4252863595,0,0,786800,363841493,540072,0,0,4618031960
8,2022-09-30,SMDM,EQUITY,4772138237.0,400,500,2203975,0,0,136749985,15565200,13242,0,0,154532902,0,4246921595,0,4706300,800400,363841493,1173672,0,0,4617443460
9,2022-10-31,SMDM,EQUITY,4772138237.0,284,500,2203975,0,0,137906185,4465200,13242,0,0,144589102,0,4246926995,0,12959900,795400,364786393,973672,0,944900,4627387260
