,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
1,2022-02-25,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
2,2022-03-31,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
3,2022-04-28,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
4,2022-05-31,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
5,2022-06-30,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,400000000,31000000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
6,2022-07-29,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,200000000,31200000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
7,2022-08-31,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,200000000,31200000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
8,2022-09-30,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,87000000000,200000000,31200000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
9,2022-10-31,SMFP06ACN1,CORPORATE BOND,200000000000.0,1,29600000000,0,15000000000,80000000000,200000000,38200000000,0,0,0,163000000000,0,0,0,0,0,0,0,0,37000000000,37000000000
