,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-05-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,74000000000,89270000000,1102500000000,17350000000,43000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
1,2023-06-27,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,74000000000,91270000000,1100500000000,17350000000,43000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
2,2023-07-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,74000000000,91270000000,1100500000000,17350000000,43000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
3,2023-08-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,74000000000,91270000000,1087500000000,17350000000,56000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
4,2023-09-29,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,72000000000,91270000000,1087500000000,17350000000,58000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
5,2023-10-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,72000000000,91270000000,1087500000000,17350000000,58000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
6,2023-11-30,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,72000000000,91270000000,1087500000000,17350000000,58000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
7,2023-12-29,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,72000000000,91270000000,1087500000000,17350000000,58000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
8,2024-01-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,505000000000,74000000000,91270000000,1087500000000,19350000000,54000000000,0,37500000000,45500000000,1914120000000,0,0,0,0,0,0,0,0,0,0
9,2024-02-29,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,91270000000,1083500000000,19350000000,54000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
10,2024-03-28,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,91270000000,1083500000000,19350000000,54000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
11,2024-04-30,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,91270000000,1083500000000,19350000000,54000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
12,2024-05-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
13,2024-06-28,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
14,2024-07-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
15,2024-08-30,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
16,2024-09-30,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
17,2024-10-31,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1083500000000,19350000000,59000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
18,2024-11-29,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1093500000000,19350000000,49000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
19,2024-12-30,SMII03BCN3,CORPORATE BOND,1914120000000.0,1,507000000000,74000000000,86270000000,1093500000000,19350000000,49000000000,0,37500000000,45500000000,1912120000000,0,0,0,2000000000,0,0,0,0,0,2000000000
