,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-05-31,SMIL,EQUITY,8750000000.0,152,0,279055500,6000,0,1467779100,0,0,0,0,1746840600,0,0,0,822000,2337400,0,0,0,0,3159400
1,2023-06-27,SMIL,EQUITY,8750000000.0,167,0,8906000,0,0,1728805000,0,0,0,0,1737711000,0,0,0,11931600,357400,0,0,0,0,12289000
2,2023-07-31,SMIL,EQUITY,8750000000.0,146,0,3626000,0,0,1698620800,0,0,0,0,1702246800,0,0,0,47414500,338700,0,0,0,0,47753200
3,2023-08-31,SMIL,EQUITY,8750000000.0,144,0,36100,0,0,1640661200,0,0,0,0,1640697300,0,4555600,0,104418500,328600,0,0,0,0,109302700
4,2023-09-29,SMIL,EQUITY,8750000000.0,143,0,1510100,0,0,1689272100,0,0,0,0,1690782200,0,0,0,58883800,334000,0,0,0,0,59217800
5,2023-10-31,SMIL,EQUITY,8750000000.0,121,0,6001200,0,0,1670500800,0,0,0,0,1676502000,0,12600,0,73270300,214500,0,600,0,0,73498000
6,2023-11-30,SMIL,EQUITY,8750005699.0,109,0,291938700,0,0,1439283499,0,0,0,0,1731222199,0,0,0,10288400,8492700,0,2400,0,0,18783500
7,2023-12-29,SMIL,EQUITY,8750014141.0,121,0,389285500,0,0,1289474541,0,10000,0,0,1678770041,0,0,0,71047600,194200,0,2300,0,0,71244100
8,2024-01-31,SMIL,EQUITY,8750020559.0,119,0,137005000,0,0,1517502159,0,0,0,0,1654507159,0,0,0,95305200,208200,0,0,0,0,95513400
9,2024-02-29,SMIL,EQUITY,8750021641.0,173,0,329475000,0,0,1330734241,0,20000,0,0,1660229241,0,0,0,89256800,207100,0,328500,0,0,89792400
10,2024-03-28,SMIL,EQUITY,8750028285.0,151,0,337990800,0,0,1315701545,0,40,0,0,1653692385,0,0,0,94915900,168600,0,1251400,0,0,96335900
11,2024-04-30,SMIL,EQUITY,8750092645.0,125,0,248375200,0,0,1383469905,0,50000040,0,0,1681845145,0,0,0,67897100,168600,0,181800,0,0,68247500
12,2024-05-31,SMIL,EQUITY,8750096730.0,159,0,206175900,0,0,1249056290,0,191000040,0,0,1646232230,0,0,0,89207700,167600,0,14489200,0,0,103864500
13,2024-06-28,SMIL,EQUITY,8750097278.0,216,0,238065500,0,0,1198049638,0,191000040,0,0,1627115178,0,0,0,109090800,167400,0,13723900,0,0,122982100
14,2024-07-31,SMIL,EQUITY,8750101928.0,296,0,316937000,0,0,1243870368,30000,60,0,0,1560837428,0,100,0,165385500,194300,0,23684600,0,0,189264500
15,2024-08-30,SMIL,EQUITY,8750102634.0,278,0,254506200,0,0,1269593374,0,60,0,0,1524099634,0,87000,0,203606400,152300,0,22157300,0,0,226003000
16,2024-09-30,SMIL,EQUITY,8750155366.0,206,0,79559000,0,0,1412148006,0,60,0,0,1491707066,0,808300,0,236812900,152300,0,20674800,0,0,258448300
17,2024-10-31,SMIL,EQUITY,8750157605.0,226,4082400,43979100,0,0,1438964945,3928400,2200060,0,0,1493154905,0,128400,0,243276500,152200,0,13445600,0,0,257002700
18,2024-11-29,SMIL,EQUITY,8750159119.0,192,4082400,73869000,0,0,1457378039,4022700,2200060,120,0,1541552319,0,120100,0,197900500,152200,0,10434000,0,0,208606800
19,2024-12-30,SMIL,EQUITY,8750170680.0,195,4082400,31404500,757500,0,1398595420,4022700,60,200,0,1438862780,0,14000000,0,288029300,149700,0,9128900,0,0,311307900
