,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,52000000000,500000000,9004000000,22200000000,1991000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
1,2023-09-29,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,52000000000,500000000,9133000000,22200000000,1862000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
2,2023-10-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,52000000000,500000000,9242000000,22200000000,1753000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
3,2023-11-30,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,9346000000,42200000000,1649000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
4,2023-12-29,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10024000000,42200000000,971000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
5,2024-01-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10062000000,42200000000,933000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
6,2024-02-29,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10215000000,42200000000,780000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
7,2024-03-28,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10269000000,42200000000,726000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
8,2024-04-30,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10437000000,42200000000,558000000,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
9,2024-05-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,32000000000,500000000,10995000000,42200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
10,2024-06-28,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
11,2024-07-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
12,2024-08-30,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
13,2024-09-30,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
14,2024-10-31,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
15,2024-11-29,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
16,2024-12-30,SMINKP03CCN2,SUKUK,87695000000.0,1,2000000000,0,7000000000,500000000,10995000000,67200000000,0,0,0,87695000000,0,0,0,0,0,0,0,0,0,0
