,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-08-31,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,325000000000,129685000000,2000000000,50000000000,267315000000,325000000000,0,0,0,1099000000000,0,0,0,0,3000000000,0,0,0,0,3000000000
1,2022-09-30,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,82500000000,2000000000,50000000000,893500000000,68000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
2,2022-10-31,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
3,2022-11-30,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
4,2022-12-30,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
5,2023-01-31,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
6,2023-02-28,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
7,2023-03-31,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
8,2023-04-28,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,81500000000,2000000000,50000000000,892500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
9,2023-05-31,SMMA02DCN2,CORPORATE BOND,1102000000000.0,1,0,97500000000,2000000000,50000000000,876500000000,70000000000,0,0,1000000000,1097000000000,0,0,0,0,5000000000,0,0,0,0,5000000000
