,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SOHO,EQUITY,1269168239.0,6400,0,6000,0,0,229934134,0,0,0,0,229940134,0,0,0,40800,300,0,9300,0,1039177705,1039228105
1,2022-02-25,SOHO,EQUITY,1269168239.0,6525,0,3500,0,0,229935034,0,0,0,0,229938534,0,2000,0,40200,300,0,9500,0,1039177705,1039229705
2,2022-03-31,SOHO,EQUITY,1269168239.0,6500,0,1800,0,0,229936834,0,0,0,0,229938634,0,2000,0,40100,300,0,9500,0,1039177705,1039229605
3,2022-04-28,SOHO,EQUITY,1269168239.0,6250,0,1800,200,0,229936934,0,0,0,0,229938934,0,2000,0,40100,0,0,9500,0,1039177705,1039229305
4,2022-05-31,SOHO,EQUITY,1269168239.0,6225,0,1800,1200,0,229930134,0,0,0,0,229933134,0,7800,0,40100,0,0,9500,0,1039177705,1039235105
5,2022-06-30,SOHO,EQUITY,1269168239.0,6200,0,1800,1200,0,229939134,0,0,0,0,229942134,0,7800,0,40100,0,0,500,0,1039177705,1039226105
6,2022-07-29,SOHO,EQUITY,1269168239.0,5950,0,1800,1200,0,229938834,0,0,0,0,229941834,0,7800,0,40100,0,0,800,0,1039177705,1039226405
7,2022-08-31,SOHO,EQUITY,1269168239.0,5850,0,1800,2100,0,229937934,0,0,0,0,229941834,0,7800,0,40100,0,0,800,0,1039177705,1039226405
8,2022-09-30,SOHO,EQUITY,1269168239.0,5750,0,1200,2100,0,229938534,0,0,0,0,229941834,0,7800,0,40100,0,0,800,0,1039177705,1039226405
9,2022-10-31,SOHO,EQUITY,1269168239.0,5850,0,200,2100,0,229938734,0,0,0,0,229941034,0,7800,0,40900,0,0,800,0,1039177705,1039227205
10,2022-11-30,SOHO,EQUITY,1269168239.0,5525,0,5600,2100,0,115535017,0,0,0,0,115542717,0,7800,0,40600,0,0,800,0,1153576322,1153625522
11,2022-12-30,SOHO,EQUITY,1269168239.0,5425,0,5600,2100,0,115533817,0,0,0,0,115541517,0,7900,0,40600,1100,0,800,0,1153576322,1153626722
12,2023-01-31,SOHO,EQUITY,1269168239.0,5625,0,5600,2100,0,115532717,0,0,0,0,115540417,0,8000,0,41600,1100,0,800,0,1153576322,1153627822
13,2023-02-28,SOHO,EQUITY,1269168239.0,5425,0,200,2100,0,115537317,0,0,0,0,115539617,0,8000,0,41700,1800,0,800,0,1153576322,1153628622
14,2023-03-31,SOHO,EQUITY,1269168239.0,5200,0,1200,2100,0,115536317,0,0,0,0,115539617,0,8000,0,41700,1800,0,800,0,1153576322,1153628622
15,2023-04-28,SOHO,EQUITY,1269168239.0,5225,0,1200,2100,0,115536117,0,0,0,0,115539417,0,8000,0,41900,1800,0,800,0,1153576322,1153628822
16,2023-05-31,SOHO,EQUITY,1269168239.0,5050,0,1200,2100,0,115536217,0,0,0,0,115539517,0,8000,0,41800,1800,0,800,0,1153576322,1153628722
17,2023-06-27,SOHO,EQUITY,1269168239.0,4910,0,1200,2100,0,115537317,0,0,0,0,115540617,0,8000,0,40700,1800,0,800,0,1153576322,1153627622
18,2023-07-31,SOHO,EQUITY,1269168239.0,4850,0,1200,0,0,115539417,0,0,0,0,115540617,0,8000,0,40700,1800,0,800,0,1153576322,1153627622
19,2023-08-31,SOHO,EQUITY,1269168239.0,4820,0,1200,0,0,115539417,0,0,0,0,115540617,0,8000,0,40700,1800,0,800,0,1153576322,1153627622
20,2023-09-29,SOHO,EQUITY,1269168239.0,5550,0,1200,0,0,115541617,0,0,0,0,115542817,0,8000,0,40300,0,0,800,0,1153576322,1153625422
21,2023-10-31,SOHO,EQUITY,1269168239.0,5325,0,1200,0,0,115541517,0,0,0,0,115542717,0,8000,0,40300,100,0,800,0,1153576322,1153625522
22,2023-11-30,SOHO,EQUITY,12691682390.0,580,0,11100,0,0,1155405070,0,0,0,0,1155416170,0,1131954000,0,403000,12000,0,8000,0,10403889220,11536266220
23,2023-12-29,SOHO,EQUITY,12691682390.0,500,0,11100,0,0,1155422670,0,0,0,0,1155433770,0,1131954000,0,397400,0,0,8000,0,10403889220,11536248620
