,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SOTS,EQUITY,1000000075.0,266,0,388865700,0,0,11132975,0,0,0,0,399998675,0,0,0,1400,0,0,0,0,0,1400
1,2022-02-25,SOTS,EQUITY,1000000075.0,274,0,388866200,0,0,11133875,0,0,0,0,400000075,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,SOTS,EQUITY,1000000075.0,244,0,388865700,0,0,11134375,0,0,0,0,400000075,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,SOTS,EQUITY,1000000075.0,258,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
4,2022-05-31,SOTS,EQUITY,1000000075.0,282,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
5,2022-06-30,SOTS,EQUITY,1000000075.0,302,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
6,2022-07-29,SOTS,EQUITY,1000000075.0,282,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
7,2022-08-31,SOTS,EQUITY,1000000075.0,298,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
8,2022-09-30,SOTS,EQUITY,1000000075.0,292,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
9,2022-10-31,SOTS,EQUITY,1000000075.0,272,0,388865700,0,0,11034375,0,0,0,0,399900075,0,0,0,100000,0,0,0,0,0,100000
10,2022-11-30,SOTS,EQUITY,1000000075.0,338,0,244890000,0,0,154998475,0,0,0,0,399888475,0,0,0,111600,0,0,0,0,0,111600
11,2022-12-30,SOTS,EQUITY,1000000075.0,314,0,244890000,0,0,153728475,0,0,0,1270000,399888475,0,0,0,111600,0,0,0,0,0,111600
12,2023-01-31,SOTS,EQUITY,1000000075.0,290,0,244890000,0,0,153731175,0,0,0,1267300,399888475,0,0,0,111600,0,0,0,0,0,111600
13,2023-02-28,SOTS,EQUITY,1000000075.0,288,0,244890000,0,0,153731775,0,0,0,1266600,399888375,0,0,0,111700,0,0,0,0,0,111700
14,2023-03-31,SOTS,EQUITY,1000000075.0,284,0,244890000,0,0,153731775,0,0,0,1266600,399888375,0,0,0,111700,0,0,0,0,0,111700
15,2023-04-28,SOTS,EQUITY,1000000075.0,278,0,244890000,0,0,153731775,0,0,0,1266600,399888375,0,0,0,111700,0,0,0,0,0,111700
16,2023-05-31,SOTS,EQUITY,1000000075.0,280,0,244890000,0,0,153731875,0,0,0,1266500,399888375,0,0,0,111700,0,0,0,0,0,111700
17,2023-06-27,SOTS,EQUITY,1000000075.0,268,0,244890000,0,0,153732075,0,0,0,1266500,399888575,0,0,0,111500,0,0,0,0,0,111500
18,2023-07-31,SOTS,EQUITY,1000000075.0,282,0,244890000,0,0,153743975,0,0,0,1266000,399899975,0,0,0,100100,0,0,0,0,0,100100
19,2023-08-31,SOTS,EQUITY,1000000075.0,244,0,244890000,0,0,153764675,0,0,0,1245300,399899975,0,0,0,100100,0,0,0,0,0,100100
20,2023-09-29,SOTS,EQUITY,1000000075.0,187,0,244894200,0,0,153840475,0,0,0,1164800,399899475,0,0,0,100600,0,0,0,0,0,100600
21,2023-10-31,SOTS,EQUITY,1000000075.0,133,0,244890000,0,0,154005475,0,0,0,1004500,399899975,0,0,0,100100,0,0,0,0,0,100100
22,2023-11-30,SOTS,EQUITY,1000000075.0,462,0,244890000,0,0,155005875,0,0,0,0,399895875,0,0,0,103200,1000,0,0,0,0,104200
23,2023-12-29,SOTS,EQUITY,1000003979.0,340,0,244890000,0,0,155009779,0,0,0,0,399899779,0,0,0,103200,1000,0,0,0,0,104200
24,2024-01-31,SOTS,EQUITY,1000003979.0,195,0,244890000,0,0,154949779,0,0,0,0,399839779,0,0,0,163200,1000,0,0,0,0,164200
25,2024-02-29,SOTS,EQUITY,1000003979.0,258,0,244890000,0,0,154945879,0,0,0,0,399835879,0,0,0,166600,1500,0,0,0,0,168100
