,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-01-31,SOUL-W,WARRANT,67500000.0,18,0,2850,0,0,67153050,0,5925,0,0,67161825,0,0,0,0,338175,0,0,0,0,338175
1,2023-02-28,SOUL-W,WARRANT,67500000.0,10,0,2850,0,0,67136775,0,2200,0,0,67141825,0,0,0,0,358175,0,0,0,0,358175
2,2023-03-31,SOUL-W,WARRANT,67500000.0,10,0,2850,0,0,67137375,0,1600,0,0,67141825,0,0,0,0,358175,0,0,0,0,358175
3,2023-04-28,SOUL-W,WARRANT,67500000.0,9,0,2850,0,0,67136500,0,1600,875,0,67141825,0,0,0,0,358175,0,0,0,0,358175
4,2023-05-31,SOUL-W,WARRANT,67500000.0,6,0,2850,0,0,67137000,0,975,1000,0,67141825,0,0,0,0,358175,0,0,0,0,358175
5,2023-06-27,SOUL-W,WARRANT,67500000.0,8,0,2850,0,0,67136700,0,1200,1075,0,67141825,0,0,0,0,358175,0,0,0,0,358175
6,2023-07-31,SOUL-W,WARRANT,67484915.0,6,0,2850,0,0,67121815,0,700,1075,300,67126740,0,0,0,0,358175,0,0,0,0,358175
7,2023-08-31,SOUL-W,WARRANT,67482318.0,7,0,2850,0,0,67185168,0,1175,1075,150,67190418,0,0,0,0,291900,0,0,0,0,291900
8,2023-09-29,SOUL-W,WARRANT,67481480.0,8,0,21350,0,0,67165955,0,725,1100,450,67189580,0,0,0,0,291900,0,0,0,0,291900
9,2023-10-31,SOUL-W,WARRANT,67478880.0,11,0,2850,0,0,67181980,0,875,1275,0,67186980,0,0,0,0,291900,0,0,0,0,291900
10,2023-11-30,SOUL-W,WARRANT,67478088.0,7,0,2850,0,0,66181188,0,775,1375,0,66186188,0,0,0,0,1291900,0,0,0,0,1291900
11,2023-12-29,SOUL-W,WARRANT,67477029.0,7,0,2850,0,0,65180154,0,750,1375,0,65185129,0,0,0,0,2291900,0,0,0,0,2291900
12,2024-01-31,SOUL-W,WARRANT,67476189.0,6,0,2850,0,0,65202014,0,800,1425,0,65207089,0,0,0,0,2269100,0,0,0,0,2269100
13,2024-02-29,SOUL-W,WARRANT,67475839.0,4,0,2850,0,0,65201864,0,600,1425,0,65206739,0,0,0,0,2269100,0,0,0,0,2269100
14,2024-03-28,SOUL-W,WARRANT,67475629.0,3,0,2850,0,0,65201979,0,275,1425,0,65206529,0,0,0,0,2269100,0,0,0,0,2269100
15,2024-04-30,SOUL-W,WARRANT,67475108.0,3,0,2850,0,0,64878265,0,515,1425,53,64883108,0,0,0,0,2592000,0,0,0,0,2592000
16,2024-05-31,SOUL-W,WARRANT,67474430.0,1,0,2850,0,0,64192640,0,215,1425,0,64197130,0,0,0,0,3277300,0,0,0,0,3277300
17,2024-06-28,SOUL-W,WARRANT,67473977.0,1,0,2850,0,0,64192137,0,215,1425,50,64196677,0,0,0,0,3277300,0,0,0,0,3277300
