,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SR014,SBSN,16705080000000.0,1,230000000000,0,0,22627000000,5003867000000,0,1416000000,400000000,0,5258310000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,SR014,SBSN,16705080000000.0,1,230000000000,0,0,23832000000,4919435000000,0,1805000000,400000000,0,5175472000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,SR014,SBSN,16705080000000.0,1,230000000000,0,0,38014000000,4778460000000,0,1895000000,400000000,0,5048769000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,SR014,SBSN,16705080000000.0,1,230000000000,0,0,52641000000,4681430000000,0,1962000000,400000000,0,4966433000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,SR014,SBSN,16705080000000.0,1,230000000000,0,0,40861000000,4660533000000,0,3517000000,400000000,0,4935311000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,SR014,SBSN,16705080000000.0,1,230000000000,0,0,15068000000,4619732000000,0,3510000000,4250000000,0,4872560000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,SR014,SBSN,16705080000000.0,1,230000000000,0,0,24522000000,4578013000000,0,2896000000,4250000000,0,4839681000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,SR014,SBSN,16705080000000.0,1,230000000000,0,0,21598000000,4503835000000,0,3286000000,4250000000,10000000000,4772969000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,SR014,SBSN,16705080000000.0,1,230000000000,0,0,26888000000,4450314000000,0,3501000000,4250000000,10000000000,4724953000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,SR014,SBSN,16705080000000.0,1,193000000000,285100000000,0,7458000000,4684739000000,0,3906000000,4250000000,10000000000,5188453000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,SR014,SBSN,16705080000000.0,1,193000000000,288500000000,0,6343000000,4714137000000,0,4748000000,4250000000,10000000000,5220978000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,SR014,SBSN,16705080000000.0,1,193000000000,292750000000,0,7058000000,4751340000000,0,818000000,4250000000,10000000000,5259216000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,SR014,SBSN,16705080000000.0,1,193000000000,292750000000,0,8311000000,4764864000000,0,917000000,4250000000,10000000000,5274092000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,SR014,SBSN,16705080000000.0,1,193000000000,293250000000,0,10236000000,4760227000000,0,375000000,4250000000,10000000000,5271338000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,SR014,SBSN,16705080000000.0,1,248000000000,293250000000,64150000000,22098000000,4724317000000,24000000000,563000000,4250000000,10000000000,5390628000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,SR014,SBSN,16705080000000.0,1,248000000000,293250000000,74150000000,26178000000,4718179000000,24000000000,680000000,4250000000,10000000000,5398687000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,SR014,SBSN,16705080000000.0,1,196000000000,293250000000,109150000000,30068000000,4697956000000,24000000000,756000000,400000000,10000000000,5361580000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,SR014,SBSN,16705080000000.0,1,216000000000,293450000000,109150000000,27643000000,4688652000000,24000000000,1082000000,400000000,10000000000,5370377000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,SR014,SBSN,16705080000000.0,1,228500000000,292950000000,109150000000,28083000000,4671595000000,38000000000,536000000,400000000,10000000000,5379214000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,SR014,SBSN,16705080000000.0,1,229900000000,292950000000,109150000000,43995000000,4657888000000,41000000000,128000000,400000000,10000000000,5385411000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,SR014,SBSN,16705080000000.0,1,204900000000,292950000000,110150000000,54091000000,4611447000000,57000000000,597000000,400000000,10000000000,5341535000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,SR014,SBSN,16705080000000.0,1,210300000000,292950000000,110150000000,80204000000,4544607000000,49500000000,708000000,400000000,10000000000,5298819000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,SR014,SBSN,16705080000000.0,1,203300000000,307050000000,110150000000,119785000000,4513537000000,49500000000,1147000000,400000000,10000000000,5314869000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,SR014,SBSN,16705080000000.0,1,203300000000,322050000000,110150000000,110575000000,4500720000000,45500000000,1220000000,400000000,10000000000,5303915000000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,SR014,SBSN,16705080000000.0,1,208821000000,322050000000,110150000000,45811000000,4490796000000,57500000000,1299000000,400000000,10000000000,5246827000000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,SR014,SBSN,16705080000000.0,1,212821000000,322050000000,110150000000,19611000000,4466902000000,53500000000,1416000000,400000000,10000000000,5196850000000,0,0,0,0,0,0,0,0,0,0
