,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SSTM,EQUITY,1170909181.0,805,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
1,2022-02-25,SSTM,EQUITY,1170909181.0,790,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
2,2022-03-31,SSTM,EQUITY,1170909181.0,770,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
3,2022-04-28,SSTM,EQUITY,1170909181.0,775,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
4,2022-05-31,SSTM,EQUITY,1170909181.0,785,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
5,2022-06-30,SSTM,EQUITY,1170909181.0,790,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
6,2022-07-29,SSTM,EQUITY,1170909181.0,735,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
7,2022-08-31,SSTM,EQUITY,1170909181.0,735,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
8,2022-09-30,SSTM,EQUITY,1170909181.0,775,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
9,2022-10-31,SSTM,EQUITY,1170909181.0,795,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
10,2022-11-30,SSTM,EQUITY,1170909181.0,790,181600,52000,0,500,169837834,35000,502382,0,0,170609316,0,0,0,0,10100,0,0,0,0,10100
11,2022-12-30,SSTM,EQUITY,1170909181.0,790,181600,52000,0,500,167237834,35000,502382,0,2600000,170609316,0,0,0,0,10100,0,0,0,0,10100
12,2023-01-31,SSTM,EQUITY,1170909181.0,765,181600,52000,0,500,167237934,35000,502382,0,2599900,170609316,0,0,0,0,10100,0,0,0,0,10100
